date1,close
2018-06-18,31.5
2018-06-19,33.05
2018-06-20,31
2018-06-21,29.45
2018-06-22,29.7
2018-06-25,28.8
2018-06-26,29
2018-06-27,27.4
2018-06-28,26.05
2018-06-29,27.35
2018-07-02,25.45
2018-07-03,26.6
2018-07-04,29.8
2018-07-05,29.75
2018-07-06,30.5
2018-07-09,30.65
2018-07-10,31
2018-07-11,31.85
2018-07-12,31.15
2018-07-13,31.3
2018-07-16,31.25
2018-07-17,31.5
2018-07-18,29.7
2018-07-19,30.15
2018-07-25,51.3
2018-07-26,53.2
2018-07-27,52.25
2018-07-30,57.55
2018-07-31,60.4
2018-08-01,63.4
2018-08-02,66.55
2018-08-03,69.85
2018-08-06,73.3
2018-08-07,69.65
2018-08-08,66.2
2018-08-09,62.9
2018-08-10,66
2018-08-13,62.7
2018-08-14,59.6
2018-08-16,56.65
2018-08-17,54.9
2018-08-20,57.4
2018-08-21,57.05
2018-08-23,57.3
2018-08-24,55
2018-08-27,55.1
2018-08-28,58.25
2018-08-29,61.15
2018-08-30,59.2
2018-08-31,57.15
2018-09-03,56.2
2018-09-04,53.9
2018-09-05,52.4
2018-09-06,54.85
2018-09-07,55.75
2018-09-10,54.2
2018-09-11,53.15
2018-09-12,52.5
2018-09-14,55.25
2018-09-17,54.2
2018-09-18,53.35
2018-09-19,51.7
2018-09-21,49.25
2018-09-28,40.85
2018-10-01,38.85
2018-10-03,37.25
2018-10-04,35.4
2018-10-05,33.65
2018-10-08,32
2018-10-09,30.4
2018-10-10,31.9
2018-10-11,33.45
2018-10-12,35.1
2018-10-15,36.85
2018-10-16,38.65
2018-10-17,39.6
2018-10-19,37.4
2018-10-22,35.7
2018-10-23,35.5
2018-10-24,37
2018-10-25,36.75
2018-10-26,36.05
2018-10-29,38
2018-10-30,38.95
2018-10-31,39.55
2018-11-01,40.9
2018-11-02,41.3
2018-11-05,43.35
2018-11-06,43.5
2018-11-09,45.05
2018-11-12,43
2018-11-13,42.1
2018-11-14,42.6
2018-11-15,43.6
2018-11-16,42.2
2018-11-19,41.2
2018-11-20,41.45
2018-11-21,43.5
2018-11-22,45.65
2018-11-26,47.9
2018-12-03,45.7
2018-12-04,45
2018-12-05,47
2018-12-06,45.25
2018-12-07,44.2
2018-12-10,41.35
2018-12-11,43.95
2018-12-12,45
2018-12-13,44.3
2018-12-14,44.3
2018-12-17,44.65
2018-12-18,44.35
2018-12-19,44.05
2018-12-20,44
2018-12-21,42.5
2018-12-24,42.15
2018-12-26,41.35
2018-12-27,41.9
2018-12-28,41.75
2018-12-31,41.95
2019-01-01,41.25
2019-01-02,40.9
2019-01-03,40.75
2019-01-04,40.8
2019-01-07,41.2
2019-01-08,40.7
2019-01-09,40.75
2019-01-10,40.5
2019-01-11,39.85
2019-01-14,39.65
2019-01-15,39
2019-01-16,39.2
2019-01-17,39.7
2019-01-18,38.75
2019-01-21,37.8
2019-01-22,37.75
2019-01-23,37.9
2019-01-24,37.2
2019-01-25,35.15
2019-01-28,32.5
2019-01-29,35.35
2019-01-30,37.55
2019-02-05,32.9
2019-02-06,33
2019-02-07,34.65
2019-02-08,34
2019-02-11,33
2019-02-12,32.5
2019-02-13,32.3
2019-02-14,32.2
2019-02-15,31
2019-02-18,30.2
2019-02-19,30.75
2019-02-20,31
2019-02-21,30.4
2019-02-22,32.75
2019-02-25,33
2019-02-26,33
2019-02-27,32.55
2019-02-28,33.2
2019-03-01,34.1
2019-03-05,36.35
2019-03-06,35.2
2019-03-07,35.7
2019-03-08,35.05
2019-03-11,36.1
2019-03-12,39.25
2019-03-13,39.65
2019-03-14,38.6
2019-03-15,37.65
2019-03-18,37.4
2019-03-19,37.15
2019-03-20,36.5
2019-03-22,36
2019-03-25,35.3
2019-03-26,36.15
2019-03-27,35.35
2019-03-28,35.95
2019-03-29,37.1
2019-04-01,38.75
2019-04-02,37.9
2019-04-03,37.3
2019-04-04,36.9
2019-04-05,36.8
2019-04-11,35.85
2019-04-12,37
2019-04-15,37.6
2019-04-16,44.4
2019-04-18,44.55
2019-04-22,44.9
2019-04-23,44.2
2019-04-24,44.85
2019-04-25,43.85
2019-04-26,42.95
2019-04-30,39.85
2019-05-02,42.05
2019-05-03,42
2019-05-06,40.2
2019-05-07,39.5
2019-05-08,38.1
2019-05-09,39.3
2019-05-10,39.25
2019-05-13,38
2019-05-14,37.9
2019-05-15,37.85
2019-05-16,37
2019-05-17,37.7
2019-05-20,43.5
2019-05-21,43.5
2019-05-22,44.1
2019-05-23,43.25
2019-05-24,42.6
2019-05-27,43.25
2019-05-28,45
2019-05-29,45
2019-05-30,44.7
2019-05-31,43.3
2019-06-03,44
2019-06-04,45.15
2019-06-06,44.45
2019-06-07,43.05
2019-06-17,41.55
2019-06-18,40.7
2019-06-19,39.5
2019-06-20,40.95
2019-06-21,41.05
2019-06-24,41.25
2019-06-25,41.3
2019-06-26,41.55
2019-06-27,43.05
2019-06-28,44.8
2019-07-01,45.65
2019-07-02,50.2
2019-07-03,52.05
2019-07-04,51
2019-07-05,47.45
2019-07-08,45
2019-07-09,49.5
2019-07-10,48.9
2019-07-11,49.25
2019-07-12,49.5
2019-07-15,48.6
2019-07-16,49.35
2019-07-17,48.4
2019-07-18,47.7
2019-07-19,46
2019-07-22,47
2019-07-23,48.8
2019-07-24,48.25
2019-07-25,48.7
2019-07-26,49.25
2019-07-29,48.9
2019-07-30,46.05
2019-07-31,46.7
2019-08-01,45.7
2019-08-02,46.8
2019-08-05,45.7
2019-08-06,47.6
2019-08-07,47.7
2019-08-08,47.2
2019-08-09,46.5
2019-08-13,46.4
2019-08-19,46.3
2019-08-20,45.9
2019-08-21,44.35
2019-08-22,43.85
2019-08-23,43.75
2019-08-26,43.6
2019-08-27,45
2019-08-28,43.8
2019-08-29,43.4
2019-08-30,45.75
2019-09-03,44.6
2019-09-04,43.95
2019-09-05,44.95
2019-09-06,45.05
2019-09-09,45.5
2019-09-11,48.5
2019-09-12,48.6
2019-09-13,50.4
2019-09-16,55.4
2019-09-17,54.5
2019-09-18,52.85
2019-09-19,50.3
2019-09-20,51.4
2019-09-23,51.95
2019-09-24,52.6
2019-09-25,52.55
2019-09-26,59.15
2019-09-27,57.3
2019-09-30,58.25
2019-10-01,56.7
2019-10-03,61.6
2019-10-04,64.35
2019-10-07,68
2019-10-09,71.4
2019-10-10,73.95
2019-10-11,79
2019-10-14,78.75
2019-10-15,80.5
2019-10-16,80
2019-10-17,88.15
2019-10-23,86.55
2019-10-24,86.2
2019-10-25,89.4
2019-10-29,89.2
2019-10-30,89.8
2019-10-31,89.65
2019-11-01,89.75
2019-11-04,92.95
2019-11-05,90.7
2019-11-06,90.2
2019-11-07,88.4
2019-11-08,86.8
2019-11-11,94.1
2019-11-13,95.6
2019-11-14,95.2
2019-11-15,95.85
2019-11-18,93.9
2019-11-19,96.2
2019-11-20,98.25
2019-11-21,97.25
2019-11-22,106.7
2019-11-25,113.8
2019-11-26,115
2019-11-27,126.65
2019-11-28,132.15
2019-11-29,137.15
2019-12-02,132.25
2019-12-03,124.75
2019-12-04,127.9
2019-12-05,129.25
2019-12-06,126
2019-12-09,123.25
2019-12-10,126.75
2019-12-11,133.2
2019-12-12,131.2
2019-12-13,132.5
2019-12-16,134
2019-12-17,135.2
2019-12-18,135
2019-12-19,134.25
2019-12-20,134.15
2019-12-27,150.9
2019-12-30,158.55
2019-12-31,166.45
2020-01-01,174.75
2020-01-02,183.45
2020-01-03,192.6
2020-01-06,202.2
2020-01-07,210.6
2020-01-08,221.1
2020-01-09,232.15
2020-01-10,220.55
2020-01-13,209.55
2020-01-14,199.1
2020-01-15,189.15
2020-01-16,179.7
2020-01-17,188.65
2020-01-20,198.05
2020-01-21,200.2
2020-01-22,197.6
2020-01-23,191.55
2020-01-24,189.25
2020-01-27,190.7
2020-01-28,189.95
2020-01-29,186.05
2020-01-30,180.6
2020-01-31,189.45
2020-02-01,185.75
2020-02-03,196.15
2020-02-04,198.2
2020-02-05,192.4
2020-02-06,202.9
2020-02-07,213
2020-02-10,212.5
2020-02-11,211
2020-02-12,208
2020-02-13,200
2020-02-14,206.85
2020-02-17,198.1
2020-02-18,189.15
2020-02-19,197.4
2020-02-20,195.1
2020-02-24,185.35
2020-03-02,159
2020-03-03,159.2
2020-03-04,151.55
2020-03-05,152
2020-03-06,144.9
2020-03-09,137.7
2020-03-11,130.85
2020-03-12,124.35
2020-03-13,130.55
2020-03-16,118.6
2020-03-17,123.55
2020-03-18,129.55
2020-03-19,135.85
2020-03-20,142.4
2020-03-23,135.25
2020-03-24,140.5
2020-03-25,148.25
2020-03-26,151.4
2020-03-27,148.5
2020-03-30,148
2020-03-31,154
2020-04-01,152.8
2020-04-03,151.5
2020-04-07,158.6
2020-04-08,166.85
2020-04-09,174.75
2020-04-13,183.3
2020-04-15,187.8
2020-04-16,193.85
2020-04-17,198.3
2020-04-20,202.15
2020-04-21,191.5
2020-04-22,197.8
2020-04-23,201
2020-04-24,196
2020-04-27,200.65
2020-04-28,202.9
2020-04-29,208.35
2020-05-05,210.2
2020-05-06,211
2020-05-07,210.5
2020-05-08,212.5
2020-05-11,222.85
2020-05-12,224.85
2020-05-13,229.55
2020-05-14,226.85
2020-05-15,230
2020-05-18,229.75
2020-05-19,232.25
2020-05-20,235
2020-05-21,236.4
2020-05-22,239.1
2020-05-26,238.6
2020-05-27,242.75
2020-05-28,246
2020-05-29,247
2020-06-01,261
2020-06-02,273.75
2020-06-03,277.95
2020-06-04,273.85
2020-06-05,283.15
2020-06-08,298.4
2020-06-09,312.6
2020-06-10,328.2
2020-06-11,332.9
2020-06-12,335
2020-06-15,351
2020-06-16,363.45
2020-06-17,381.6
2020-06-18,400.65
2020-06-19,420.65
2020-06-22,441.65
2020-06-23,463.7
2020-06-24,440.45
2020-06-25,418.45
2020-06-26,397.55
2020-06-29,377.7
2020-06-30,358.85
2020-07-01,340.95
2020-07-02,357.95
2020-07-03,375.8
2020-07-09,373.45
2020-07-10,373.45
2020-07-13,364
2020-07-14,347.2
2020-07-15,356.15
2020-07-16,348
2020-07-17,347.9
2020-07-20,350.45
2020-07-21,347.9
2020-07-22,337.4
2020-07-23,320.3
2020-07-24,336.3
2020-07-27,343.2
2020-07-28,338
2020-07-29,336.6
2020-07-30,341.3
