date1,close
2015-02-02,248.2
2015-02-03,244.35
2015-02-04,247.95
2015-02-05,246
2015-02-06,249.9
2015-02-09,245.5
2015-02-10,250.3
2015-02-11,251.4
2015-02-12,261
2015-02-13,264
2015-02-16,265.5
2015-02-18,270.5
2015-02-19,264.5
2015-02-20,264.2
2015-02-23,262
2015-02-24,256.7
2015-02-25,261.5
2015-02-26,260.3
2015-02-27,268.6
2015-02-28,272.25
2015-03-02,287
2015-03-09,264
2015-03-10,259.4
2015-03-11,259.75
2015-03-12,265
2015-03-13,256.85
2015-03-16,257.5
2015-03-17,258.7
2015-03-18,253.6
2015-03-19,251.55
2015-03-20,254.75
2015-03-23,256.2
2015-03-24,255.4
2015-03-25,247.9
2015-03-26,251.6
2015-03-27,250.45
2015-03-30,257.05
2015-03-31,254
2015-04-01,259.8
2015-04-06,262.1
2015-04-07,260.3
2015-04-08,258
2015-04-09,255.8
2015-04-10,258
2015-04-13,257.4
2015-04-15,259.5
2015-04-16,251.95
2015-04-17,246.9
2015-04-20,247.25
2015-04-21,240.5
2015-04-22,242.7
2015-04-23,236.1
2015-04-24,232.45
2015-04-27,229.25
2015-04-28,231
2015-04-29,239
2015-04-30,232.65
2015-05-04,243
2015-05-05,238.5
2015-05-06,226.2
2015-05-12,229.05
2015-05-13,234.15
2015-05-14,234.1
2015-05-15,234.55
2015-05-18,242.45
2015-05-19,238.25
2015-05-20,237.8
2015-05-21,240.7
2015-05-22,241.15
2015-05-25,232
2015-05-26,227
2015-05-27,229.3
2015-05-28,231.3
2015-05-29,238.2
2015-06-01,238.95
2015-06-02,230.2
2015-06-03,225.5
2015-06-04,229.5
2015-06-05,222
2015-06-08,222.3
2015-06-09,225.75
2015-06-10,227
2015-06-11,222.1
2015-06-12,219.2
2015-06-15,215.75
2015-06-16,220
2015-06-17,224
2015-06-18,222
2015-06-19,227.95
2015-06-22,229.45
2015-06-23,231
2015-06-24,227
2015-06-25,227.6
2015-06-26,226.65
2015-06-29,227.3
2015-06-30,229.8
2015-07-01,237.5
2015-07-02,239.05
2015-07-03,241.7
2015-07-06,245.85
2015-07-07,246.5
2015-07-08,241
2015-07-09,242
2015-07-10,241.35
2015-07-16,254
2015-07-17,250.7
2015-07-20,251.25
2015-07-21,241.65
2015-07-22,246.5
2015-07-23,244
2015-07-24,240.1
2015-07-27,233
2015-07-28,230
2015-07-29,232.5
2015-07-30,233
2015-07-31,232.95
2015-08-03,229.15
2015-08-04,229.2
2015-08-05,229.4
2015-08-06,229.95
2015-08-07,228.3
2015-08-10,225.15
2015-08-11,223.25
2015-08-12,224
2015-08-13,222.95
2015-08-14,225.4
2015-08-17,225.05
2015-08-18,227
2015-08-19,230.2
2015-08-20,223.8
2015-08-21,226.45
2015-08-24,213.7
2015-08-25,209.5
2015-08-26,200
2015-08-27,210.9
2015-08-28,206.5
2015-08-31,207.2
2015-09-01,207.5
2015-09-02,210.85
2015-09-03,217.7
2015-09-04,211.05
2015-09-07,207
2015-09-08,208.45
2015-09-09,212.6
2015-09-10,211.7
2015-09-11,206.95
2015-09-21,210
2015-09-22,207.8
2015-09-23,209.2
2015-09-24,206.9
2015-09-28,203
2015-09-29,203
2015-09-30,205.75
2015-10-01,210
2015-10-05,210
2015-10-06,209.9
2015-10-07,208.3
2015-10-08,209
2015-10-09,207.9
2015-10-12,209.8
2015-10-13,209.85
2015-10-14,209.95
2015-10-15,209.8
2015-10-16,211.75
2015-10-19,209.9
2015-10-20,209.75
2015-10-21,209.5
2015-10-23,208.9
2015-10-26,208.3
2015-10-27,206.1
2015-10-28,208.5
2015-10-29,207.4
2015-10-30,206.7
2015-11-02,209.95
2015-11-03,209.5
2015-11-04,208.75
2015-11-05,208.75
2015-11-06,210
2015-11-09,205.05
2015-11-10,197.35
2015-11-13,192.4
2015-11-16,195
2015-11-17,199
2015-11-23,200
2015-11-24,201.6
2015-11-26,203.15
2015-11-27,202.3
2015-11-30,199.65
2015-12-01,201.25
2015-12-02,200.4
2015-12-03,197.8
2015-12-04,196.75
2015-12-07,195.3
2015-12-08,194.2
2015-12-09,190.3
2015-12-10,189.5
2015-12-11,189.05
2015-12-14,193.95
2015-12-15,193.25
2015-12-16,194.7
2015-12-17,197.05
2015-12-18,199.25
2015-12-21,200.75
2015-12-22,199.8
2015-12-23,201.5
2015-12-24,203
2015-12-28,202
2015-12-29,206.05
2015-12-30,205.3
2015-12-31,203.5
2016-01-04,202.5
2016-01-05,203.65
2016-01-06,203.05
2016-01-07,197.6
2016-01-08,197.7
2016-01-11,197.6
2016-01-12,196.05
2016-01-13,198.5
2016-01-14,198.4
2016-01-15,196
2016-01-18,191.5
