date1,close
2015-02-02,809.2
2015-02-03,815.5
2015-02-04,802
2015-02-05,810.5
2015-02-06,798.05
2015-02-09,804
2015-02-10,825
2015-02-11,843
2015-02-12,820
2015-02-13,825.45
2015-02-16,834.85
2015-02-18,821.95
2015-02-19,832.9
2015-02-20,826
2015-02-23,809.4
2015-02-24,799.9
2015-02-25,813.85
2015-02-26,800.35
2015-02-27,808
2015-02-28,819.25
2015-03-02,829
2015-03-09,811
2015-03-10,808.15
2015-03-11,808.55
2015-03-12,807.65
2015-03-13,810.6
2015-03-16,834.2
2015-03-17,828.15
2015-03-18,815.2
2015-03-19,835.2
2015-03-20,811
2015-03-23,809.5
2015-03-24,815
2015-03-25,808.9
2015-03-26,798
2015-03-27,780.15
2015-03-30,808
2015-03-31,806
2015-04-01,820.25
2015-04-06,824.1
2015-04-07,838.25
2015-04-08,848
2015-04-09,853.7
2015-04-10,856.2
2015-04-13,858
2015-04-15,840
2015-04-16,821.2
2015-04-17,815.55
2015-04-20,807.2
2015-04-21,795
2015-04-22,789
2015-04-23,789
2015-04-24,772.5
2015-04-27,742.7
2015-04-28,763.1
2015-04-29,756.5
2015-04-30,765.05
2015-05-04,780
2015-05-05,783
2015-05-06,756
2015-05-11,770
2015-05-12,758.8
2015-05-13,761.1
2015-05-14,794.95
2015-05-15,787
2015-05-18,766
2015-05-19,775.1
2015-05-20,771.95
2015-05-21,775.7
2015-05-22,775
2015-05-25,762.5
2015-05-26,764.1
2015-05-27,760
2015-05-28,767
2015-05-29,790.5
2015-06-01,787.6
2015-06-02,756.6
2015-06-03,764.2
2015-06-04,760.5
2015-06-05,758
2015-06-08,748
2015-06-09,731.95
2015-06-10,737.95
2015-06-11,709.6
2015-06-12,708
2015-06-15,697
2015-06-16,705
2015-06-17,711.5
2015-06-18,727.5
2015-06-19,740.5
2015-06-22,747.65
2015-06-23,753.6
2015-06-24,750
2015-06-25,750.6
2015-06-26,751
2015-06-29,736.6
2015-06-30,758
2015-07-01,762.5
2015-07-02,762.3
2015-07-03,767
2015-07-06,785.45
2015-07-07,827
2015-07-08,798.9
2015-07-09,797.65
2015-07-10,793.85
2015-07-15,837.25
2015-07-16,848
2015-07-17,824.8
2015-07-20,852.5
2015-07-21,815.1
2015-07-22,841.5
2015-07-23,846.85
2015-07-24,851.95
2015-07-27,850.55
2015-07-28,828.15
2015-07-29,848
2015-07-30,861
2015-07-31,883
2015-08-03,876.5
2015-08-04,904
2015-08-05,921.9
2015-08-06,912.25
2015-08-07,902
2015-08-10,903
2015-08-11,884.85
2015-08-12,871.5
2015-08-13,877.45
2015-08-14,896.55
2015-08-17,899
2015-08-18,897.4
2015-08-19,897.95
2015-08-20,883
2015-08-21,884
2015-08-24,842.05
2015-08-25,856.4
2015-08-26,849.25
2015-08-27,853.6
2015-08-28,858
2015-08-31,847.4
2015-09-01,818.5
2015-09-02,810
2015-09-03,826
2015-09-04,813
2015-09-07,787
2015-09-08,792
2015-09-09,819
2015-09-10,810
2015-09-11,816.5
2015-09-18,835.15
2015-09-21,831.05
2015-09-22,806
2015-09-23,795.3
2015-09-24,806.5
2015-09-28,792.6
2015-09-29,808.8
2015-09-30,841.3
2015-10-01,839.05
2015-10-05,854.25
2015-10-06,852.6
2015-10-07,864.6
2015-10-08,874.95
2015-10-09,854.25
2015-10-12,862
2015-10-13,865.4
2015-10-14,862.9
2015-10-15,867.1
2015-10-16,884.8
2015-10-19,879
2015-10-20,874.5
2015-10-21,857
2015-10-23,858
2015-10-26,818.9
2015-10-27,829.05
2015-10-28,826.6
2015-10-29,830.2
2015-10-30,831.95
2015-11-02,830.95
2015-11-03,814
2015-11-04,801.5
2015-11-05,806
2015-11-06,801.25
2015-11-09,817
2015-11-10,797.9
2015-11-13,800
2015-11-16,801.2
2015-11-17,806.05
2015-11-23,850.85
2015-11-24,854.7
2015-11-26,863.35
2015-11-27,863.95
2015-11-30,839.9
2015-12-01,848
2015-12-02,848.95
2015-12-03,843.5
2015-12-04,835.1
2015-12-07,872
2015-12-08,859.5
2015-12-09,842.8
2015-12-10,859.35
2015-12-11,857.05
2015-12-14,877.75
2015-12-15,876.05
2015-12-16,864.95
2015-12-17,875.1
2015-12-18,882.1
2015-12-21,873
2015-12-22,881.25
2015-12-23,876.7
2015-12-24,881
2015-12-28,880.3
2015-12-29,879
2015-12-30,876
2015-12-31,882.55
2016-01-04,880.5
2016-01-05,901.4
2016-01-06,885.3
2016-01-07,871.1
2016-01-08,874
2016-01-11,873.95
2016-01-12,872.4
2016-01-13,869.8
2016-01-14,889.65
2016-01-15,882.3
2016-01-18,847
2016-01-19,846.15
2016-01-20,835.5
2016-01-21,845.95
2016-01-27,859
2016-01-28,857.1
2016-01-29,872.2
2016-02-01,884
2016-02-02,880.85
2016-02-03,862
2016-02-04,887
2016-02-05,897.6
2016-02-08,888.5
2016-02-09,884.8
2016-02-10,877
2016-02-11,856.2
2016-02-12,853
2016-02-15,859
2016-02-16,839.2
2016-02-17,855.5
2016-02-18,835
2016-02-19,856.8
2016-02-22,873
2016-02-23,874.3
2016-02-24,880.8
2016-02-25,862.55
2016-02-26,864
2016-02-29,847.15
2016-03-01,869.3
2016-03-02,871.6
2016-03-03,878.2
2016-03-04,866
2016-03-08,879
2016-03-09,875.75
2016-03-10,895
2016-03-11,898.4
2016-03-14,897.05
2016-03-15,884.55
2016-03-16,865.95
2016-03-17,872.4
2016-03-18,876.6
2016-03-21,858.2
2016-03-22,852.5
2016-03-23,849.5
2016-03-31,872
2016-04-01,868
2016-04-04,885
2016-04-05,865
2016-04-06,863.75
2016-04-07,857.05
2016-04-08,850.85
2016-04-11,861
2016-04-12,865.9
2016-04-13,874.75
2016-04-18,882.45
2016-04-20,886
2016-04-21,885.7
2016-04-22,870
2016-04-25,865.95
2016-04-26,878.5
2016-04-27,888.25
2016-04-28,879.65
2016-04-29,868
2016-05-02,865.7
2016-05-03,873.9
2016-05-04,872.45
2016-05-05,865
2016-05-06,889.45
2016-05-09,903.9
2016-05-10,897.4
2016-05-11,913
2016-05-12,930
2016-05-13,944.3
2016-05-16,953.5
2016-05-17,970.3
2016-05-18,965
2016-05-19,955
2016-05-20,955.15
2016-05-23,949
2016-05-24,959.95
2016-05-25,982.05
2016-05-26,994
2016-05-27,996.5
2016-05-30,988
2016-06-06,1030
2016-06-07,1031.6
2016-06-08,1019
2016-06-09,1001
2016-06-10,991
2016-06-13,995
2016-06-14,985
2016-06-15,996
2016-06-16,1005.5
2016-06-17,999.75
2016-06-20,993
2016-06-21,982.95
2016-06-22,985
2016-06-23,983
2016-06-24,990
2016-06-27,975.3
2016-06-28,981
2016-06-29,993.4
2016-06-30,998
2016-07-01,998.1
2016-07-04,999
2016-07-05,984.5
2016-07-07,985.6
2016-07-08,1010.55
2016-07-11,1024.05
2016-07-12,1021
2016-07-13,1007
2016-07-14,1016.65
2016-07-15,1025.7
2016-07-18,1029.95
2016-07-19,1028.05
2016-07-20,1025.3
2016-07-21,1041.05
2016-07-22,1047
2016-07-25,1072
2016-07-26,1062
2016-07-27,1064
2016-07-28,1128
2016-07-29,1113
2016-08-01,1120.85
2016-08-02,1126
2016-08-03,1146.95
2016-08-08,1148
2016-08-09,1143.9
2016-08-10,1132
2016-08-11,1146
2016-08-12,1137.1
2016-08-16,1129.8
2016-08-17,1114.9
2016-08-18,1105.1
2016-08-19,1115.7
2016-08-22,1113.15
2016-08-23,1129.05
2016-08-24,1120.55
2016-08-25,1105.2
2016-08-26,1123
2016-08-29,1108.55
2016-08-30,1146.55
2016-08-31,1160
2016-09-01,1160.95
2016-09-02,1162.95
2016-09-06,1212
2016-09-07,1178.5
2016-09-08,1180
2016-09-09,1168
2016-09-12,1155
2016-09-14,1165
2016-09-15,1173.7
2016-09-16,1157
2016-09-19,1163.95
2016-09-20,1163.3
2016-09-21,1170
2016-09-22,1189
2016-09-23,1192
2016-09-26,1181.5
2016-09-27,1195.9
2016-09-28,1193.5
2016-09-29,1185
2016-09-30,1159.55
2016-10-03,1197
2016-10-04,1184.75
2016-10-05,1206.25
2016-10-06,1210
2016-10-07,1186
2016-10-13,1214
2016-10-14,1205
2016-10-17,1185
2016-10-18,1175
2016-10-19,1171.2
2016-10-20,1165.25
2016-10-21,1153.7
2016-10-24,1130
2016-10-25,1153.15
2016-10-26,1119.55
2016-10-27,1084.75
2016-10-28,1070.1
2016-11-01,1076.5
2016-11-02,1060
2016-11-03,1036.25
2016-11-04,1042.15
2016-11-07,1037.15
2016-11-08,1054.2
2016-11-09,1055
2016-11-10,1012
2016-11-11,969
2016-11-15,892
2016-11-16,938
2016-11-17,918.1
2016-11-18,900.4
2016-11-21,901.2
2016-11-22,912
2016-11-23,940
2016-11-24,935
2016-11-25,944.05
2016-11-28,937
2016-11-29,958
2016-11-30,965.85
2016-12-01,940
2016-12-02,907
2016-12-05,939.25
2016-12-06,934.5
2016-12-07,935.5
2016-12-08,937.65
2016-12-09,940
2016-12-16,901.4
2016-12-19,879
2016-12-20,867.5
2016-12-21,866
