date1,close
2015-02-02,1406.5
2015-02-03,1420
2015-02-04,1411
2015-02-05,1415
2015-02-06,1419
2015-02-09,1388.05
2015-02-10,1400
2015-02-11,1395
2015-02-12,1400
2015-02-13,1385
2015-02-16,1380
2015-02-18,1380
2015-02-19,1380
2015-02-20,1395
2015-02-23,1400
2015-02-24,1390.1
2015-02-25,1374.95
2015-02-26,1363
2015-02-27,1394.95
2015-02-28,1420
2015-03-02,1396
2015-03-09,1328
2015-03-10,1371.6
2015-03-11,1379.7
2015-03-12,1382.45
2015-03-13,1370
2015-03-16,1339.95
2015-03-17,1365
2015-03-18,1355
2015-03-19,1375
2015-03-20,1320
2015-03-23,1305
2015-03-24,1309
2015-03-25,1300
2015-03-26,1310
2015-03-27,1300
2015-03-30,1290.5
2015-03-31,1298
2015-04-01,1304.75
2015-04-06,1288.3
2015-04-07,1310.05
2015-04-08,1325
2015-04-09,1305
2015-04-10,1299.2
2015-04-13,1288.25
2015-04-15,1280.05
2015-04-16,1293.2
2015-04-17,1295.65
2015-04-20,1291.1
2015-04-21,1268.3
2015-04-22,1273.5
2015-04-23,1269.5
2015-04-24,1252
2015-04-27,1255.5
2015-04-28,1286
2015-04-29,1284.3
2015-04-30,1294
2015-05-04,1300.05
2015-05-05,1294.95
2015-05-06,1279.8
2015-05-11,1298
2015-05-12,1295
2015-05-13,1298
2015-05-14,1300
2015-05-15,1300
2015-05-18,1311
2015-05-19,1305
2015-05-20,1300
2015-05-21,1301.2
2015-05-22,1325
2015-05-25,1316
2015-05-26,1305
2015-05-27,1336.05
2015-05-28,1317
2015-05-29,1329.5
2015-06-01,1320.15
2015-06-02,1323
2015-06-03,1310.05
2015-06-04,1335.05
2015-06-05,1321
2015-06-08,1327
2015-06-09,1345
2015-06-10,1347
2015-06-11,1326.1
2015-06-12,1328
2015-06-15,1330
2015-06-16,1322
2015-06-17,1330
2015-06-18,1344
2015-06-19,1321
2015-06-22,1354
2015-06-23,1405
2015-06-24,1449
2015-06-25,1461
2015-06-26,1439.9
2015-06-29,1448.6
2015-06-30,1457
2015-07-01,1459.75
2015-07-02,1475
2015-07-03,1485
2015-07-06,1510
2015-07-07,1504.95
2015-07-08,1500.5
2015-07-09,1465
2015-07-10,1448
2015-07-15,1395.1
2015-07-16,1402
2015-07-17,1416.75
2015-07-20,1400.2
2015-07-21,1387
2015-07-22,1383.7
2015-07-23,1430
2015-07-24,1401
2015-07-27,1436
2015-07-28,1421.35
2015-07-29,1454.9
2015-07-30,1495
2015-07-31,1463
2015-08-03,1479.2
2015-08-04,1500
2015-08-05,1525
2015-08-06,1553
2015-08-07,1566.75
2015-08-10,1577
2015-08-11,1580
2015-08-12,1575
2015-08-13,1613
2015-08-14,1646
2015-08-17,1650
2015-08-18,1665
2015-08-19,1668
2015-08-20,1660.1
2015-08-21,1664.95
2015-08-24,1620
2015-08-25,1625.45
2015-08-26,1585
2015-08-27,1600
2015-08-28,1634.8
2015-08-31,1592
2015-09-01,1614.4
2015-09-02,1560
2015-09-03,1608.95
2015-09-04,1606.6
2015-09-07,1553
2015-09-08,1495
2015-09-09,1500
2015-09-10,1600
2015-09-11,1622.1
2015-09-18,1610
2015-09-21,1563
2015-09-22,1571
2015-09-23,1595
2015-09-24,1584.4
2015-09-28,1564
2015-09-29,1560
2015-09-30,1575.05
2015-10-01,1591
2015-10-05,1599.95
2015-10-06,1592
2015-10-07,1583
2015-10-08,1584
2015-10-09,1587
2015-10-12,1574.7
2015-10-13,1575
2015-10-14,1570.1
2015-10-15,1579.9
2015-10-16,1566.3
2015-10-19,1590
2015-10-20,1600
2015-10-21,1635
2015-10-23,1623
2015-10-26,1626
2015-10-27,1662.7
2015-10-28,1650
2015-10-29,1653.85
2015-10-30,1664.9
2015-11-02,1665
2015-11-03,1655
2015-11-04,1662
2015-11-05,1677
2015-11-06,1665
2015-11-09,1652
2015-11-10,1651.5
2015-11-13,1655
2015-11-16,1656
2015-11-17,1666
2015-11-23,1672
2015-11-24,1685
2015-11-26,1695
2015-11-27,1700.55
2015-11-30,1712
2015-12-01,1716
2015-12-02,1734
2015-12-03,1725
2015-12-04,1726.25
2015-12-07,1720.5
2015-12-08,1733.1
2015-12-09,1720
2015-12-10,1699.7
2015-12-11,1688
2015-12-14,1615.05
2015-12-15,1650.1
2015-12-16,1666
2015-12-17,1674
2015-12-18,1715
2015-12-21,1715
2015-12-22,1678
2015-12-23,1636
2015-12-24,1619
2015-12-28,1661.1
2015-12-29,1650
2015-12-30,1650
2015-12-31,1668
2016-01-04,1660
2016-01-05,1650
2016-01-06,1659
2016-01-07,1660
2016-01-08,1670
2016-01-11,1646.9
2016-01-12,1631.95
2016-01-13,1635
2016-01-14,1630
2016-01-15,1609.9
2016-01-18,1530
2016-01-19,1507.05
2016-01-20,1482.95
2016-01-21,1417.35
2016-01-27,1452
2016-01-28,1479
2016-01-29,1498
2016-02-01,1476.9
2016-02-02,1430
2016-02-03,1432.55
2016-02-04,1460
2016-02-05,1480
2016-02-08,1433
2016-02-09,1430
2016-02-10,1378
2016-02-11,1343
2016-02-12,1352
2016-02-15,1417
2016-02-16,1380
2016-02-17,1382
2016-02-18,1410
2016-02-19,1385
2016-02-22,1390.2
2016-02-23,1385.1
2016-02-24,1384
2016-02-25,1412
2016-02-26,1420
2016-02-29,1350
2016-03-01,1408
2016-03-02,1420
2016-03-03,1418
2016-03-04,1425
2016-03-08,1420
2016-03-09,1422
2016-03-10,1439
2016-03-11,1426
2016-03-14,1443
2016-03-15,1420.05
2016-03-16,1400
2016-03-17,1452
2016-03-18,1425
2016-03-21,1427
2016-03-22,1425.7
2016-03-23,1433
2016-03-31,1465
2016-04-01,1494
2016-04-04,1466.7
2016-04-05,1432.3
2016-04-06,1435.05
2016-04-07,1430
2016-04-08,1454
2016-04-11,1450
2016-04-12,1458
2016-04-13,1505
2016-04-18,1510
2016-04-20,1505
2016-04-21,1494
2016-04-22,1485
2016-04-25,1480
2016-04-26,1472
2016-04-27,1460
2016-04-28,1437
2016-04-29,1439.9
2016-05-02,1432
2016-05-03,1431.05
2016-05-04,1419
2016-05-05,1413.95
2016-05-06,1439
2016-05-09,1449.85
2016-05-10,1498
2016-05-11,1485
2016-05-12,1508
2016-05-13,1522
2016-05-16,1543
2016-05-17,1508
2016-05-18,1539.9
2016-05-19,1520
2016-05-20,1494
2016-05-23,1480
2016-05-24,1509.8
2016-05-25,1507
2016-05-26,1537
2016-05-27,1534
2016-05-30,1511.85
2016-06-06,1545
2016-06-07,1540
2016-06-08,1540
2016-06-09,1545
2016-06-10,1543
2016-06-13,1544.5
2016-06-14,1528.2
2016-06-15,1527
2016-06-16,1533
2016-06-17,1558.3
2016-06-20,1580
2016-06-21,1589.5
2016-06-22,1595
2016-06-23,1560
2016-06-24,1545
2016-06-27,1579.85
2016-06-28,1590
2016-06-29,1645
2016-06-30,1658.95
2016-07-01,1683.2
2016-07-04,1665
2016-07-05,1618.95
2016-07-07,1605.5
2016-07-08,1600
2016-07-11,1661
2016-07-12,1631
2016-07-13,1625
2016-07-14,1620
2016-07-15,1610.1
2016-07-18,1627.35
2016-07-19,1629.3
2016-07-20,1664.95
2016-07-21,1707
2016-07-22,1775.1
2016-07-25,1824
2016-07-26,1826
2016-07-27,1850
2016-07-28,1810
2016-07-29,1810
2016-08-01,1855
2016-08-02,1784
2016-08-03,1785
2016-08-08,1810
2016-08-09,1810.05
2016-08-10,1819
2016-08-11,1805
2016-08-12,1822
2016-08-16,1800
2016-08-17,1797.65
2016-08-18,1800
2016-08-19,1805
2016-08-22,1790.1
2016-08-23,1792
2016-08-24,1790
2016-08-25,1799
2016-08-26,1800.1
2016-08-29,1782.25
2016-08-30,1800
2016-08-31,1804
2016-09-01,1834
2016-09-02,1872.75
2016-09-06,1870
2016-09-07,1863
2016-09-08,1900
2016-09-09,1870
2016-09-12,1837
2016-09-14,1845
2016-09-15,1870
2016-09-16,1829
2016-09-19,1847
2016-09-20,1840
2016-09-21,1852
2016-09-22,1849
2016-09-23,1867
2016-09-26,1879.75
