date1,close
2018-03-27,470
2018-03-28,470
2018-04-02,477.15
2018-04-03,484
2018-04-04,485.65
2018-04-05,514.4
2018-04-06,505.8
2018-04-09,514.4
2018-04-10,518
2018-04-11,534
2018-04-12,531
2018-04-13,528.5
2018-04-16,516.8
2018-04-17,505.1
2018-04-18,504.1
2018-04-19,505.2
2018-04-20,495
2018-04-23,497.5
2018-04-24,490
2018-04-25,494
2018-04-26,494.6
2018-04-27,503.5
2018-04-30,513.75
2018-05-02,515.8
2018-05-03,502
2018-05-04,503.05
2018-05-07,493
2018-05-08,493.7
2018-05-09,488.8
2018-05-10,485.5
2018-05-11,483.5
2018-05-14,480.15
2018-05-15,479
2018-05-21,467.75
2018-05-22,470.05
2018-05-23,495.25
2018-05-24,477.25
2018-05-25,484.15
2018-05-28,483.5
2018-05-29,479
2018-05-30,469.65
2018-05-31,470
2018-06-01,475
2018-06-04,474.2
2018-06-05,468.9
2018-06-06,495.75
2018-06-07,498.3
2018-06-08,496.2
2018-06-11,510
2018-06-12,521.05
2018-06-13,539.25
2018-06-14,544.5
2018-06-15,552
2018-06-18,548.85
2018-06-19,533
2018-06-20,541.15
2018-06-21,538.15
2018-06-22,533.15
2018-06-25,535.5
2018-06-26,529.3
2018-06-27,523.15
2018-06-28,512.25
2018-06-29,529.15
2018-07-02,527.65
2018-07-03,554
2018-07-04,545.6
2018-07-05,540
2018-07-06,544.35
2018-07-09,558
2018-07-10,581
2018-07-11,565.1
2018-07-12,560
2018-07-13,569.3
2018-07-16,557.5
2018-07-17,559.5
2018-07-18,599.5
2018-07-19,623.6
2018-07-24,709.9
2018-07-25,694.5
2018-07-26,665
2018-07-27,688.5
2018-07-30,688.15
2018-07-31,699
2018-08-01,706
2018-08-02,700
2018-08-03,696
2018-08-06,688.05
2018-08-07,674.2
2018-08-08,690
2018-08-09,729.8
2018-08-10,707.2
2018-08-13,686.5
2018-08-14,697.25
2018-08-16,701.15
2018-08-17,703.9
2018-08-20,699
2018-08-21,685.95
2018-08-23,667.95
2018-08-24,675
2018-08-27,689
2018-08-28,698.5
2018-08-29,683
2018-08-30,676.45
2018-08-31,696
2018-09-03,672.4
2018-09-04,633
2018-09-05,645.55
2018-09-06,642.9
2018-09-07,656.6
2018-09-10,644.95
2018-09-11,618
2018-09-12,613
2018-09-14,625.35
2018-09-17,627
2018-09-18,618.1
2018-09-19,601.95
2018-09-21,575
2018-09-27,567.35
2018-09-28,566
2018-10-01,452.2
2018-10-03,440.1
2018-10-04,458.6
2018-10-05,458
2018-10-08,471.95
2018-10-09,491.95
2018-10-10,514.25
2018-10-11,469
2018-10-12,464.5
2018-10-15,470.65
2018-10-16,463.9
2018-10-17,454.5
2018-10-19,415.9
2018-10-22,411
2018-10-23,399.4
2018-10-24,391.95
2018-10-25,378.9
2018-10-26,384.55
2018-10-29,398.45
2018-10-30,383.5
2018-10-31,390.8
2018-11-01,413
2018-11-02,428.9
2018-11-05,440.5
2018-11-06,437.3
2018-11-09,431.55
2018-11-12,424.6
2018-11-13,432.15
2018-11-14,434
2018-11-15,463.5
2018-11-16,474.8
2018-11-19,477
2018-11-20,460.9
2018-11-21,468.5
2018-11-22,452.8
2018-11-26,452.65
2018-12-03,493.9
2018-12-04,487
2018-12-05,476.5
2018-12-06,470.3
2018-12-07,471.6
2018-12-10,472.5
2018-12-11,465.5
2018-12-12,474
2018-12-13,504
2018-12-14,533.8
2018-12-17,572
2018-12-18,568.05
2018-12-19,555.5
2018-12-20,536
2018-12-21,531
2018-12-24,524.1
2018-12-26,547.6
