date1,close
2015-02-02,25050
2015-02-03,24450
2015-02-04,23450
2015-02-05,23730
2015-02-06,23060.55
2015-02-09,22384.95
2015-02-10,22970
2015-02-11,23900
2015-02-12,25395
2015-02-13,24960
2015-02-16,25635
2015-02-18,27150
2015-02-19,26245
2015-02-20,26580
2015-02-23,26088
2015-02-24,26500
2015-02-25,26200
2015-02-26,26060
2015-02-27,25755.3
2015-02-28,25800
2015-03-02,25798.95
2015-03-09,26400
2015-03-10,26695.05
2015-03-11,26455
2015-03-12,27312.1
2015-03-13,26660
2015-03-16,26250
2015-03-17,26601
2015-03-18,27434.85
2015-03-19,27724.95
2015-03-20,27410
2015-03-23,26868
2015-03-24,26233.1
2015-03-25,25655.75
2015-03-26,25584.8
2015-03-27,25350
2015-03-30,25480
2015-03-31,25299.5
2015-04-01,25655.5
2015-04-06,25350
2015-04-07,25299
2015-04-08,25815.05
2015-04-09,25689
2015-04-10,26100
2015-04-13,26500
2015-04-15,26260
2015-04-16,26225
2015-04-17,25501.05
2015-04-20,24650
2015-04-21,24200.05
2015-04-22,23599.85
2015-04-23,23649
2015-04-24,21800
2015-04-27,20868
2015-04-28,21649.2
2015-04-29,21640
2015-04-30,22579
2015-05-04,22700.5
2015-05-05,22449
2015-05-06,21794
2015-05-11,22104.3
2015-05-12,21500
2015-05-13,22620
2015-05-14,22800
2015-05-15,22820
2015-05-18,22940
2015-05-19,23129.05
2015-05-20,23255.85
2015-05-21,23382.5
2015-05-22,23239
2015-05-25,23401.55
2015-05-26,23130
2015-05-27,23110
2015-05-28,23052.1
2015-05-29,23600.1
2015-06-01,23305.05
2015-06-02,22640
2015-06-03,21789
2015-06-04,22180
2015-06-05,21919
2015-06-08,21200
2015-06-09,20698
2015-06-10,21230
2015-06-11,20350
2015-06-12,20323
2015-06-15,20300.05
2015-06-16,20390
2015-06-17,20829
2015-06-18,21100
2015-06-19,21100
2015-06-22,21850
2015-06-23,21976.95
2015-06-24,21850
2015-06-25,21890
2015-06-26,21765.5
2015-06-29,21847.95
2015-06-30,21802
2015-07-01,21980.45
2015-07-02,22901
2015-07-03,22872.45
2015-07-06,23151
2015-07-07,22875
2015-07-08,22550
2015-07-09,22848.8
2015-07-10,23001.15
2015-07-15,23473.85
2015-07-16,23674.9
2015-07-17,23790
2015-07-20,23755.55
2015-07-21,23350
2015-07-22,23850
2015-07-23,23600
2015-07-24,23200
