date1,close
2015-02-02,249.47
2015-02-03,242.12
2015-02-04,239.65
2015-02-05,248.72
2015-02-06,243.5
2015-02-09,237.62
2015-02-10,232.83
2015-02-11,238.22
2015-02-12,234.63
2015-02-13,240.83
2015-02-16,242.19
2015-02-18,242.9
2015-02-19,248
2015-02-20,247.97
2015-02-23,246.75
2015-02-24,252.5
2015-02-25,249.35
2015-02-26,248
2015-02-27,247.53
2015-02-28,248.1
2015-03-02,259.67
2015-03-09,256.33
2015-03-10,254.67
2015-03-11,250.5
2015-03-12,249.77
2015-03-13,244.2
2015-03-16,245.65
2015-03-17,248.33
2015-03-18,258.33
2015-03-19,250.67
2015-03-20,242.52
2015-03-23,238.8
2015-03-24,246.42
2015-03-25,250.33
2015-03-26,251.4
2015-03-27,249.33
2015-03-30,256.65
2015-03-31,269.67
2015-04-01,268
2015-04-06,266.67
2015-04-07,265.33
2015-04-08,273.03
2015-04-09,270.97
2015-04-10,273
2015-04-13,272.33
2015-04-15,267.23
2015-04-16,266.57
2015-04-17,266.67
2015-04-20,267.4
2015-04-21,266.3
2015-04-22,268.33
2015-04-23,267.65
2015-04-24,258.73
2015-04-27,242
2015-04-28,253.2
2015-04-29,252.02
2015-04-30,254.7
2015-05-04,263.33
2015-05-05,258
2015-05-06,248.25
2015-05-11,250.17
2015-05-12,242.33
2015-05-13,245.83
2015-05-14,252.33
2015-05-15,255.02
2015-05-18,264.4
2015-05-19,260.95
2015-05-20,261.99
2015-05-21,259.1
2015-05-22,261.67
2015-05-25,264.17
2015-05-26,260.67
2015-05-27,266.05
2015-05-28,274.17
2015-05-29,282.73
2015-06-01,285.99
2015-06-02,282.77
2015-06-03,280.32
2015-06-04,289.67
2015-06-05,285.1
2015-06-08,280.5
2015-06-09,283.13
2015-06-10,281.33
2015-06-11,281.33
2015-06-12,279.97
2015-06-15,278.33
2015-06-16,274
2015-06-17,270.67
2015-06-18,277.59
2015-06-19,278.59
2015-06-22,281.93
2015-06-23,286.97
2015-06-24,283.13
2015-06-25,286
2015-06-26,287
2015-06-29,290.23
2015-06-30,292.7
2015-07-01,296.67
2015-07-02,299.87
2015-07-03,301.33
2015-07-06,311
2015-07-07,311
2015-07-08,303.1
2015-07-09,289.37
2015-07-10,294.33
2015-07-15,307.33
2015-07-16,313.67
2015-07-17,313.3
2015-07-20,321.67
2015-07-21,317.22
2015-07-22,323.52
2015-07-23,323.67
2015-07-24,321.33
2015-07-27,317.75
2015-07-28,315.25
2015-07-29,316.03
2015-07-30,314.95
2015-07-31,311
2015-08-03,303
2015-08-04,311.9
2015-08-05,309.23
2015-08-06,313.2
2015-08-07,319.33
2015-08-10,314.37
2015-08-11,309.33
2015-08-12,289.33
2015-08-13,295.77
2015-08-14,291.23
2015-08-17,288.12
2015-08-18,298.69
2015-08-19,295.67
2015-08-20,301.67
2015-08-21,297.7
2015-08-24,274.67
2015-08-25,289.6
2015-08-26,279.67
2015-08-27,292.75
2015-08-28,287.85
2015-08-31,294.65
2015-09-01,287.33
2015-09-02,283.72
2015-09-03,280
2015-09-04,283.43
2015-09-07,276.65
2015-09-08,273.83
2015-09-09,273.33
2015-09-10,279.33
2015-09-11,284.8
2015-09-18,289.43
2015-09-21,291
2015-09-22,288
2015-09-23,294.37
2015-09-24,294
2015-09-28,295
2015-09-29,282.83
2015-09-30,283.07
2015-10-01,284.72
2015-10-05,286.5
2015-10-06,291.67
2015-10-07,288.05
2015-10-08,284.75
2015-10-09,283
2015-10-12,283.05
2015-10-13,287.5
2015-10-14,287.39
2015-10-15,298.82
2015-10-16,303.6
2015-10-19,305.83
2015-10-20,304
2015-10-21,299.89
2015-10-23,303.42
2015-10-26,302
2015-10-27,305.52
2015-10-28,304
2015-10-29,292.83
2015-10-30,290.27
2015-11-02,290.17
2015-11-03,292.42
2015-11-04,295.3
2015-11-05,296
2015-11-06,298.33
2015-11-09,301.83
2015-11-10,292
2015-11-13,302
2015-11-16,299.73
2015-11-17,292.53
2015-11-23,301.4
2015-11-24,302.45
2015-11-26,301.63
2015-11-27,300.67
2015-11-30,301.2
2015-12-01,310.99
2015-12-02,309.83
2015-12-03,307.67
2015-12-04,302.67
2015-12-07,303.15
2015-12-08,303.3
2015-12-09,293
2015-12-10,301.57
2015-12-11,297.02
2015-12-14,296.73
2015-12-15,296.33
2015-12-16,301.67
2015-12-17,301.17
2015-12-18,301
2015-12-21,300
2015-12-22,301.67
2015-12-23,299.7
2015-12-24,301.13
2015-12-28,301.42
2015-12-29,300.83
2015-12-30,296.33
2015-12-31,297.32
2016-01-04,295.17
2016-01-05,301.17
2016-01-06,303.73
2016-01-07,293.97
2016-01-08,301.99
2016-01-11,296.17
2016-01-12,296.22
2016-01-13,297.67
2016-01-14,302.75
2016-01-15,310.2
2016-01-18,298.2
2016-01-19,299.15
2016-01-20,296.33
2016-01-21,291.02
2016-01-27,290.39
2016-01-28,289.03
2016-01-29,296.67
