date1,close
2015-02-02,922.1
2015-02-03,919.53
2015-02-04,910.8
2015-02-05,932
2015-02-06,935.65
2015-02-09,919.98
2015-02-10,913.08
2015-02-11,923.65
2015-02-12,929.53
2015-02-13,952.6
2015-02-16,957.98
2015-02-18,962.05
2015-02-19,950.05
2015-02-20,964.45
2015-02-23,986
2015-02-24,980.08
2015-02-25,972.45
2015-02-26,961.15
2015-02-27,963.08
2015-02-28,973.75
2015-03-02,990
2015-03-09,1051.98
2015-03-10,1042.53
2015-03-11,1055
2015-03-12,1055
2015-03-13,1031.73
2015-03-16,1019
2015-03-17,1031.05
2015-03-18,1012.5
2015-03-19,1014.03
2015-03-20,1002.35
2015-03-23,989.95
2015-03-24,1028
2015-03-25,1016
2015-03-26,1002.35
2015-03-27,999.55
2015-03-30,1012.4
2015-03-31,999.45
2015-04-01,998.58
2015-04-06,1022
2015-04-07,1050.1
2015-04-08,1045.5
2015-04-09,1087.23
2015-04-10,1068.05
2015-04-13,1072.5
2015-04-15,1069.5
2015-04-16,1059.13
2015-04-17,1044.8
2015-04-20,1003
2015-04-21,991
2015-04-22,979.4
2015-04-23,1002.93
2015-04-24,1017
2015-04-27,991.9
2015-04-28,1004.53
2015-04-29,1001.05
2015-04-30,1000
2015-05-04,1017
2015-05-05,1036.45
2015-05-06,1002.5
2015-05-11,1037
2015-05-12,1024.75
2015-05-13,1017.53
2015-05-14,1022.3
2015-05-15,1031.2
2015-05-18,1037.48
2015-05-19,1033
2015-05-20,1009.75
2015-05-21,1010
2015-05-22,1000
2015-05-25,993.63
2015-05-26,999.5
2015-05-27,978.03
2015-05-28,998
2015-05-29,1000.2
2015-06-01,994.13
2015-06-02,976.38
2015-06-03,957.5
2015-06-04,962.5
2015-06-05,950.55
2015-06-08,935
2015-06-09,950.5
2015-06-10,946.5
2015-06-11,939.88
2015-06-12,947.5
2015-06-15,953.5
2015-06-16,967.5
2015-06-17,982.98
2015-06-18,982.53
2015-06-19,980.03
2015-06-22,981.5
2015-06-23,977.58
2015-06-24,1000.45
2015-06-25,996
2015-06-26,1004.63
2015-06-29,997.65
2015-06-30,1020.25
2015-07-01,1030
2015-07-02,1018.75
2015-07-03,1021.5
2015-07-06,1027
2015-07-07,1029.08
2015-07-08,1021
2015-07-09,1010.05
2015-07-10,995.5
2015-07-15,1008
2015-07-16,1018.13
2015-07-17,1017.83
2015-07-20,1017.53
2015-07-21,1027
2015-07-22,1035
2015-07-23,1033.13
2015-07-24,1028.63
2015-07-27,1023.6
2015-07-28,1026.45
2015-07-29,1038.5
2015-07-30,1032.5
2015-07-31,985
2015-08-03,991.5
2015-08-04,990.1
2015-08-05,990.38
2015-08-06,1017
2015-08-07,1023.73
2015-08-10,1018
2015-08-11,1006.58
2015-08-12,994
2015-08-13,998.3
2015-08-14,991
2015-08-17,991.95
2015-08-18,997
2015-08-19,995.75
2015-08-20,998
2015-08-21,998.45
2015-08-24,967.5
2015-08-25,954.48
2015-08-26,956
2015-08-27,971
2015-08-28,970.98
2015-08-31,978.48
2015-09-01,965
2015-09-02,966.03
2015-09-03,955.5
2015-09-04,942
2015-09-07,926
2015-09-08,903
2015-09-09,919.5
2015-09-10,912.5
2015-09-11,924.5
2015-09-18,974
2015-09-21,984
2015-09-22,1934
2015-09-23,943
2015-09-24,966
2015-09-28,946
2015-09-29,941
2015-09-30,964
2015-10-01,961
2015-10-05,965.4
2015-10-06,959
2015-10-07,941
2015-10-08,924.5
2015-10-09,932
2015-10-12,921
2015-10-13,915.5
2015-10-14,910.5
2015-10-15,908.1
2015-10-16,907
2015-10-19,937.6
2015-10-20,937
2015-10-21,942.55
2015-10-23,939
2015-10-26,933.15
2015-10-27,947.1
2015-10-28,980.5
2015-10-29,975
2015-10-30,955
2015-11-02,940.3
2015-11-03,945.8
2015-11-04,942.5
2015-11-05,939.2
2015-11-06,937.9
2015-11-09,962
2015-11-10,951.5
2015-11-13,948
2015-11-16,948
2015-11-17,947.25
2015-11-23,958.2
2015-11-24,945.5
2015-11-26,966.95
2015-11-27,964.55
2015-11-30,966.15
2015-12-01,975.05
2015-12-02,980.9
2015-12-03,972
2015-12-04,976
2015-12-07,992.75
2015-12-08,982.35
2015-12-09,960
2015-12-10,981
2015-12-11,979
2015-12-14,983
2015-12-15,1000.65
2015-12-16,993
2015-12-17,998.95
2015-12-18,990.15
2015-12-21,1004
2015-12-22,989.5
2015-12-23,986.05
2015-12-24,982.5
2015-12-28,982.95
2015-12-29,973.75
2015-12-30,973.5
2015-12-31,968.55
2016-01-04,974.65
2016-01-05,969
2016-01-06,946.9
2016-01-07,917
2016-01-08,925
2016-01-11,907
2016-01-12,908.15
2016-01-13,935
2016-01-14,945
2016-01-15,921
2016-01-18,913.8
2016-01-19,912
2016-01-20,918.85
2016-01-21,910
2016-01-27,855.1
2016-01-28,848.15
2016-01-29,860.2
2016-02-01,860
2016-02-02,855
2016-02-03,843
2016-02-04,831
2016-02-05,852
2016-02-08,854
2016-02-09,848
2016-02-10,844.25
2016-02-11,825.95
2016-02-12,839.65
2016-02-15,846
2016-02-16,838.8
2016-02-17,838.75
2016-02-18,843.05
2016-02-19,832.8
2016-02-22,829
2016-02-23,821
2016-02-24,818
2016-02-25,820.15
2016-02-26,830.3
2016-02-29,821
2016-03-01,824
2016-03-02,833
2016-03-03,834.5
2016-03-04,846
2016-03-08,823.5
2016-03-09,823.4
2016-03-10,807.95
2016-03-11,814.45
2016-03-14,844.95
2016-03-15,841.5
2016-03-16,832.2
2016-03-17,836
2016-03-18,850.7
2016-03-21,847.3
2016-03-22,854.8
2016-03-23,839
2016-03-31,825.05
2016-04-01,835
2016-04-04,839
2016-04-05,831.05
2016-04-06,827.15
2016-04-07,822
2016-04-08,819
2016-04-11,813.6
2016-04-12,820
2016-04-13,835.05
2016-04-18,847
2016-04-20,850
2016-04-21,850
2016-04-22,850.55
2016-04-25,842
2016-04-26,843
2016-04-27,850
2016-04-28,845.05
2016-04-29,842
2016-05-02,848
2016-05-03,851.95
2016-05-04,842
2016-05-05,845
2016-05-06,850.8
2016-05-09,848
2016-05-10,847
2016-05-11,836
2016-05-12,837
2016-05-13,836
2016-05-16,825
2016-05-17,828.25
2016-05-18,829
2016-05-19,820.6
2016-05-20,810
2016-05-23,814
2016-05-24,839.7
2016-05-25,834.6
2016-05-26,835.55
2016-05-27,840
2016-05-30,854.65
2016-06-06,855
2016-06-07,853.05
2016-06-08,866
2016-06-09,855.2
2016-06-10,872
2016-06-13,862.2
2016-06-14,862.8
2016-06-15,859.95
2016-06-16,860.05
2016-06-17,856.45
2016-06-20,867
2016-06-21,883.5
2016-06-22,881.35
2016-06-23,880
2016-06-24,883.5
2016-06-27,885.15
2016-06-28,896.45
2016-06-29,907.6
2016-06-30,917
2016-07-01,919.9
2016-07-04,923.5
2016-07-05,943
2016-07-07,943
2016-07-08,947
2016-07-11,941.05
2016-07-12,933.35
2016-07-13,922
2016-07-14,929.25
2016-07-15,927
2016-07-18,928.1
2016-07-19,943
2016-07-20,949
2016-07-21,963
2016-07-22,955
2016-07-25,960
2016-07-26,966
2016-07-27,942.9
2016-07-28,928.65
2016-07-29,934
2016-08-01,952
2016-08-02,972.5
2016-08-03,938
2016-08-08,1009.9
2016-08-09,972.7
2016-08-10,961.05
2016-08-11,963
2016-08-12,955.35
2016-08-16,958
2016-08-17,974.05
2016-08-18,965.15
2016-08-19,958
2016-08-22,946
2016-08-23,937.6
2016-08-24,952
2016-08-25,949.7
2016-08-26,947.95
2016-08-29,936.2
2016-08-30,954
2016-08-31,946
2016-09-01,953
2016-09-02,952.5
2016-09-06,977
2016-09-07,991.5
2016-09-08,990.05
2016-09-09,980.15
2016-09-12,981.45
2016-09-14,974.8
2016-09-15,965
