date1,close
2017-03-21,648.05
2017-03-22,636.75
2017-03-23,634.5
2017-03-24,615.25
2017-03-27,617.95
2017-03-28,625.55
2017-03-29,624
2017-03-30,634.1
2017-03-31,638
2017-04-03,635
2017-04-05,632.1
2017-04-06,663.9
2017-04-07,758.05
2017-04-10,777.7
2017-04-11,778
2017-04-12,758
2017-04-13,780.5
2017-04-17,773.75
2017-04-18,732
2017-04-19,735.9
2017-04-20,753.1
2017-04-25,735.2
2017-04-26,746
2017-04-27,739.25
2017-04-28,736.15
2017-05-02,749.7
2017-05-03,758.5
2017-05-04,772
2017-05-05,806.55
2017-05-08,780
2017-05-09,780
2017-05-10,789
2017-05-11,763
2017-05-12,751.55
2017-05-15,750.2
2017-05-16,751.4
2017-05-17,743.65
2017-05-18,730
2017-05-19,726.95
2017-05-22,720.7
2017-05-23,708
2017-05-24,715.05
2017-05-25,712.5
2017-05-26,713
2017-05-29,715
2017-05-30,729.1
2017-05-31,749.2
2017-06-01,781
2017-06-02,780
2017-06-05,792.5
2017-06-06,776
2017-06-07,775
2017-06-08,789
2017-06-09,802
2017-06-12,806
2017-06-13,799.8
2017-06-14,799.8
2017-06-15,799.4
2017-06-16,801.5
2017-06-19,796
2017-06-20,824
2017-06-21,815.4
2017-06-22,802.5
2017-06-23,802.1
2017-06-29,815
2017-06-30,809.5
2017-07-03,839.95
2017-07-04,835.5
2017-07-05,845.5
2017-07-06,879.1
2017-07-07,895
2017-07-10,940.1
2017-07-11,911
2017-07-12,909
2017-07-13,912
2017-07-14,889.8
2017-07-17,913.5
2017-07-18,912.55
2017-07-19,911.1
2017-07-20,908
2017-07-21,914
2017-07-24,912.45
2017-07-25,929.25
2017-07-26,906
2017-07-27,894.5
2017-07-28,898
2017-07-31,920.4
2017-08-01,914
2017-08-02,903
2017-08-03,897.05
2017-08-04,920
2017-08-07,922.1
2017-08-08,901
2017-08-09,888
2017-08-10,885.75
2017-08-11,890
2017-08-14,900.7
2017-08-16,905.5
2017-08-17,922
2017-08-18,924
2017-08-21,930
2017-08-22,967
2017-08-23,985
2017-08-24,993
2017-08-28,1053
2017-09-04,1024
2017-09-05,1075
2017-09-06,1064
2017-09-07,1074
2017-09-08,1070
2017-09-11,1089.7
2017-09-12,1089.3
2017-09-13,1091.45
2017-09-14,1090
2017-09-15,1083.7
2017-09-18,1089.45
2017-09-19,1076.1
2017-09-20,1084.5
2017-09-21,1069.1
2017-09-22,1039.2
2017-09-25,1035
2017-09-26,1107.85
2017-09-27,1075.15
2017-09-28,1037.8
2017-09-29,1086
2017-10-03,1102
2017-10-04,1097.25
2017-10-05,1108
2017-10-06,1106
2017-10-09,1116.4
2017-10-10,1193
2017-10-11,1222.15
2017-10-12,1279.05
2017-10-13,1234.65
2017-10-16,1237
2017-10-17,1221.8
2017-10-18,1162.8
2017-10-23,1127
2017-10-24,1090.65
2017-10-25,1156
2017-10-26,1142.05
2017-10-27,1138
2017-10-30,1147.9
2017-10-31,1139.95
2017-11-01,1149.5
2017-11-06,1125.05
2017-11-07,1101
2017-11-08,1105
2017-11-09,1120
2017-11-10,1168
2017-11-13,1160.3
2017-11-14,1122
2017-11-15,1098
2017-11-16,1114
2017-11-17,1108
2017-11-20,1105.95
2017-11-21,1109
2017-11-22,1138.5
2017-11-23,1146.3
2017-11-24,1147
2017-11-27,1129
2017-11-28,1135.45
2017-11-29,1124
2017-11-30,1114
2017-12-01,1118.8
2017-12-04,1155
2017-12-05,1131.2
2017-12-06,1120
2017-12-07,1145
2017-12-08,1130
2017-12-11,1125.5
2017-12-12,1114.8
2017-12-13,1110
2017-12-14,1104.5
2017-12-15,1121.5
2017-12-18,1137
2017-12-19,1143.5
2017-12-20,1142.55
2017-12-21,1154
2017-12-22,1150
2017-12-26,1150
2017-12-27,1143
2017-12-28,1150.05
2017-12-29,1178.5
2018-01-01,1172
2018-01-02,1160.7
2018-01-03,1184
2018-01-04,1199.5
2018-01-05,1243
2018-01-10,1249
2018-01-11,1247
2018-01-12,1236
2018-01-15,1225.1
2018-01-16,1186
2018-01-17,1163.8
2018-01-18,1133.1
2018-01-19,1143.7
2018-01-22,1179
2018-01-23,1166.25
2018-01-24,1147
2018-01-25,1166
2018-01-29,1179.45
2018-01-30,1183.35
2018-01-31,1179.4
2018-02-01,1176.5
2018-02-02,1134
2018-02-05,1119
2018-02-06,1105.15
2018-02-07,1120.4
2018-02-08,1173
2018-02-09,1180
2018-02-12,1185.4
2018-02-14,1193
2018-02-15,1184.05
2018-02-16,1174
2018-02-19,1169.5
2018-02-20,1185
2018-02-21,1248
2018-02-22,1240
2018-02-23,1301.95
2018-02-26,1291.2
2018-02-27,1365
2018-02-28,1354
