date1,close
2015-02-02,3137
2015-02-03,3086.95
2015-02-04,3096
2015-02-05,3077
2015-02-06,3049
2015-02-09,3108
2015-02-10,3134
2015-02-11,3173.5
2015-02-12,3343
2015-02-13,3338.9
2015-02-16,3344.5
2015-02-18,3350.05
2015-02-19,3385.05
2015-02-20,3390
2015-02-23,3375
2015-02-24,3364
2015-02-25,3279.2
2015-02-26,3248
2015-02-27,3268
2015-02-28,3370
2015-03-02,3382.2
2015-03-09,3464.7
2015-03-10,3442.7
2015-03-11,3477.05
2015-03-12,3429.25
2015-03-13,3384
2015-03-16,3320.95
2015-03-17,3432
2015-03-18,3429.9
2015-03-19,3427.1
2015-03-20,3435
2015-03-23,3456.25
2015-03-24,3513
2015-03-25,3504.05
2015-03-26,3437
2015-03-27,3414
2015-03-30,3431.6
2015-03-31,3485.2
2015-04-01,3550
2015-04-06,3694.5
2015-04-07,3675
2015-04-08,3742
2015-04-09,3739
2015-04-10,3781.25
2015-04-13,3779
2015-04-15,3747.35
2015-04-16,3676
2015-04-17,3644
2015-04-20,3577.7
2015-04-21,3470.3
2015-04-22,3564
2015-04-23,3523.35
2015-04-24,3491.7
2015-04-27,3382
2015-04-28,3403.95
2015-04-29,3375
2015-04-30,3316
2015-05-04,3397.3
2015-05-05,3400
2015-05-06,3350
2015-05-11,3368.15
2015-05-12,3475.05
2015-05-13,3495.2
2015-05-14,3516.95
2015-05-15,3492
2015-05-18,3625
2015-05-19,3633
2015-05-20,3607
2015-05-21,3612
2015-05-22,3640
2015-05-25,3583
2015-05-26,3553.5
2015-05-27,3586.8
2015-05-28,3548
2015-05-29,3528
2015-06-01,3525
2015-06-02,3466
2015-06-03,3427
2015-06-04,3433
2015-06-05,3422
2015-06-08,3405
2015-06-09,3327
2015-06-10,3365
2015-06-11,3315
2015-06-12,3317
2015-06-15,3320
2015-06-16,3281
2015-06-17,3351
2015-06-18,3395.05
2015-06-19,3380
2015-06-22,3429
2015-06-23,3445
2015-06-24,3425.05
2015-06-25,3477.75
2015-06-26,3525.05
2015-06-29,3541
2015-06-30,3555.7
2015-07-01,3570
2015-07-02,3536.4
2015-07-03,3588
2015-07-06,3718.85
2015-07-07,3739.9
2015-07-08,3730.05
2015-07-09,3738
2015-07-10,3750
2015-07-15,3811.1
2015-07-16,3865.1
2015-07-17,3883
2015-07-20,3930.05
2015-07-21,3850
2015-07-22,3850
2015-07-23,3925
2015-07-24,3912.95
2015-07-27,3862.9
2015-07-28,3757.7
2015-07-29,3724.4
2015-07-30,3930
2015-07-31,4087.9
2015-08-03,4163.65
2015-08-04,4165
2015-08-05,4210
2015-08-06,4284.95
2015-08-07,4255
2015-08-10,4260
2015-08-11,4221
2015-08-12,4279.9
2015-08-13,4284.1
2015-08-14,4248.1
2015-08-17,4169.35
2015-08-18,4185.65
2015-08-19,4235
2015-08-20,4301
2015-08-21,4230.5
2015-08-24,4060
2015-08-25,4105
2015-08-26,4052.95
2015-08-27,4138.9
2015-08-28,4185
2015-08-31,4298.25
2015-09-01,4241.5
2015-09-02,4193.95
2015-09-03,4206.55
2015-09-04,4065
2015-09-07,3938.8
2015-09-08,4008.8
2015-09-09,4029.6
2015-09-10,3985
2015-09-11,4010
2015-09-18,4000
2015-09-21,3955
2015-09-22,3920
2015-09-23,3936
2015-09-24,3967.6
2015-09-28,4177.9
2015-09-29,4089.2
2015-09-30,4160
2015-10-01,4224.95
2015-10-05,4179.7
2015-10-06,4244.1
2015-10-07,4196
2015-10-08,4226
2015-10-09,4252.5
2015-10-12,4192
2015-10-13,4233.1
2015-10-14,4200
2015-10-15,4209
2015-10-16,4264.65
2015-10-19,4334
2015-10-20,4315.6
2015-10-21,4170.5
2015-10-23,4185.1
2015-10-26,4205
2015-10-27,4180
2015-10-28,4122
2015-10-29,4205
2015-10-30,4285
2015-11-02,4295
2015-11-03,4338
2015-11-04,4320
2015-11-05,4252
2015-11-06,3631
2015-11-09,3504.25
2015-11-10,3303.35
2015-11-13,3375
2015-11-16,3510
2015-11-17,3440
2015-11-23,3412.05
2015-11-24,3386.2
2015-11-26,3110
2015-11-27,3100.05
2015-11-30,3113
2015-12-01,3210
