date1,close
2015-02-02,1650
2015-02-03,1627.5
2015-02-04,1586
2015-02-05,1580.1
2015-02-06,1558
2015-02-09,1512.5
2015-02-10,1519
2015-02-11,1619.95
2015-02-12,1650.5
2015-02-13,1624
2015-02-16,1602
2015-02-18,1703
2015-02-19,1663.1
2015-02-20,1633.1
2015-02-23,1601.4
2015-02-24,1580
2015-02-25,1559.5
2015-02-26,1529.9
2015-02-27,1577
2015-02-28,1625
2015-03-02,1620
2015-03-09,1567.2
2015-03-10,1604.75
2015-03-11,1601.4
2015-03-12,1624
2015-03-13,1590
2015-03-16,1580.2
2015-03-17,1589.5
2015-03-18,1595
2015-03-19,1616
2015-03-20,1608
2015-03-23,1584.15
2015-03-24,1547.5
2015-03-25,1560
2015-03-26,1548
2015-03-27,1553
2015-03-30,1606
2015-03-31,1592.5
2015-04-01,1597
2015-04-06,1583
2015-04-07,1599
2015-04-08,1652.75
2015-04-09,1627.5
2015-04-10,1619.4
2015-04-13,1602
2015-04-15,1582.9
2015-04-16,1576
2015-04-17,1522.4
2015-04-20,1478
2015-04-21,1426.5
2015-04-22,1440
2015-04-23,1463.5
2015-04-24,1469.5
2015-04-27,1481.5
2015-04-28,1521.55
2015-04-29,1522.5
2015-04-30,1532
2015-05-04,1534
2015-05-05,1554
2015-05-06,1505.95
2015-05-11,1682.5
2015-05-12,1723.3
2015-05-13,1805
2015-05-14,1820
2015-05-15,1870
2015-05-18,1867.5
2015-05-19,1813.1
2015-05-20,1854
2015-05-21,1837
2015-05-22,1866
2015-05-25,1916.5
2015-05-26,1902
2015-05-27,1832.1
2015-05-28,1800
2015-05-29,1830
2015-06-01,1879
2015-06-02,1807
2015-06-03,1820
2015-06-04,1735.8
2015-06-05,1740.2
2015-06-08,1724
2015-06-09,1712.5
2015-06-10,1761.8
2015-06-11,1721.9
2015-06-12,1744
2015-06-15,1807
2015-06-16,1852.5
2015-06-17,1922.9
2015-06-18,1951
2015-06-19,1923.8
2015-06-22,1942.5
2015-06-23,1925.05
2015-06-24,1915
2015-06-25,1950
2015-06-26,1952.5
2015-06-29,1923
2015-06-30,1967
2015-07-01,2042.5
2015-07-02,2130
2015-07-03,2030
2015-07-06,2030
2015-07-07,2040.2
2015-07-08,2045
2015-07-09,2069
2015-07-10,2071.6
2015-07-15,2077.85
2015-07-16,2107
2015-07-17,2113
2015-07-20,2124.5
2015-07-21,2135
2015-07-22,2118.1
2015-07-23,2049
2015-07-24,2007
2015-07-27,1929
2015-07-28,1950
2015-07-29,1916.1
2015-07-30,1901.7
2015-07-31,1910
2015-08-03,1905
2015-08-04,2029.6
2015-08-05,2048.85
2015-08-06,2055.85
2015-08-07,2061
2015-08-10,2026.55
2015-08-11,2012.5
2015-08-12,1983
2015-08-13,2000
2015-08-14,2060
2015-08-17,2066
2015-08-18,2092.5
2015-08-19,2118.1
2015-08-20,2102
2015-08-21,2040
2015-08-24,1880
2015-08-25,1880
2015-08-26,1860.1
2015-08-27,1876.85
2015-08-28,1895.1
2015-08-31,1887
2015-09-01,1822
2015-09-02,1838
2015-09-03,1840
2015-09-04,1816.15
2015-09-07,1749
2015-09-08,1712.7
2015-09-09,1796
2015-09-10,1860.1
2015-09-11,1866.1
2015-09-18,1822
2015-09-21,1854
2015-09-22,1827
2015-09-23,1828.5
2015-09-24,1783
2015-09-28,1724.45
2015-09-29,1741
2015-09-30,1780
2015-10-01,1828
2015-10-05,1878.5
2015-10-06,1860
2015-10-07,1892.1
2015-10-08,1862.15
2015-10-09,1831.5
2015-10-12,1799.5
2015-10-13,1789
2015-10-14,1814
2015-10-15,1833.5
2015-10-16,1829.7
2015-10-19,1822.5
2015-10-20,1812.9
2015-10-21,1819
2015-10-23,1813.5
2015-10-26,1792.7
2015-10-27,1763.7
2015-10-28,1743.8
2015-10-29,1746.3
2015-10-30,1772.1
2015-11-02,1800
2015-11-03,1800
2015-11-04,1775
2015-11-05,1765
2015-11-06,1658.2
2015-11-09,1593.1
2015-11-10,1583
2015-11-13,1562.5
2015-11-16,1525.6
2015-11-17,1550.5
2015-11-23,1672
2015-11-24,1662
2015-11-26,1647
2015-11-27,1651.05
2015-11-30,1677
2015-12-01,1621
2015-12-02,1634.5
2015-12-03,1668.65
2015-12-04,1642.7
2015-12-07,1622.2
2015-12-08,1627.5
2015-12-09,1578.9
2015-12-10,1603.5
2015-12-11,1553
2015-12-14,1540.9
2015-12-15,1585
2015-12-16,1608.4
2015-12-17,1635.9
2015-12-18,1619.05
2015-12-21,1602
2015-12-22,1608.6
2015-12-23,1616.5
2015-12-24,1619.95
2015-12-28,1659
2015-12-29,1670
2015-12-30,1646.05
2015-12-31,1685
2016-01-04,1746
2016-01-05,1715.15
2016-01-06,1748
2016-01-07,1691.95
2016-01-08,1721
2016-01-11,1726.5
2016-01-12,1707
2016-01-13,1705
2016-01-14,1694.8
2016-01-15,1618
2016-01-18,1525
2016-01-19,1590.1
2016-01-20,1570
2016-01-21,1568
2016-01-27,1618
2016-01-28,1600
2016-01-29,1662.5
2016-02-01,1709
2016-02-02,1713
2016-02-03,1670.1
2016-02-04,1705
2016-02-05,1817.5
2016-02-08,1832
2016-02-09,1820
2016-02-10,1785.9
2016-02-11,1765
2016-02-12,1801
2016-02-15,1871
2016-02-16,1867.5
2016-02-17,1879
2016-02-18,1864
2016-02-19,1863.5
2016-02-22,1888
2016-02-23,1893.7
2016-02-24,1913.3
2016-02-25,1890
2016-02-26,1886.5
2016-02-29,1892
2016-03-01,1918.05
2016-03-02,1928.5
2016-03-03,1932.5
2016-03-04,1926
2016-03-08,1999.35
2016-03-09,1992.5
2016-03-10,1977
2016-03-11,2000
2016-03-14,1980.05
2016-03-15,1952.1
2016-03-16,1869.5
2016-03-17,1800.3
2016-03-18,1847
2016-03-21,1843.8
2016-03-22,1819.95
2016-03-23,1847.5
2016-03-31,1920
2016-04-01,1923.5
2016-04-04,1945
2016-04-05,1871.9
2016-04-06,1917
2016-04-07,1880
2016-04-08,1925.2
2016-04-11,1939.9
2016-04-12,1950.9
2016-04-13,1990.8
2016-04-18,2029
2016-04-20,2046
2016-04-21,2020
2016-04-22,2013.3
2016-04-25,1995
2016-04-26,2015
2016-04-27,2007.5
2016-04-28,2025
2016-04-29,1995.5
2016-05-02,1990
2016-05-03,1994
2016-05-04,1970
2016-05-05,1972.1
2016-05-06,2024.9
2016-05-09,2048
2016-05-10,2020
2016-05-11,2000.5
2016-05-12,1971.65
2016-05-13,1896
2016-05-16,1903.5
2016-05-17,1860.6
2016-05-18,1869.9
2016-05-19,1810
2016-05-20,1828.8
2016-05-23,1820
2016-05-24,1818.5
2016-05-25,1850
2016-05-26,1840
2016-05-27,1870
2016-05-30,1862
2016-06-06,1900
2016-06-07,1885.4
2016-06-08,1878
2016-06-09,1854.5
2016-06-10,1866.4
2016-06-13,1840.5
2016-06-14,1875.3
2016-06-15,1861.2
2016-06-16,1875
2016-06-17,1872.5
2016-06-20,1866.5
2016-06-21,1868.8
2016-06-22,1879.65
2016-06-23,1862.3
2016-06-24,1863.8
2016-06-27,1872.5
2016-06-28,1916.8
2016-06-29,1912.4
2016-06-30,1915.1
