date1,close
2020-11-20,1828
2020-11-23,2092
2020-11-24,2059.4
2020-11-25,2050
2020-11-26,2119.7
2020-11-27,2120
2020-12-01,2201.75
2020-12-02,2183
2020-12-03,2205
2020-12-04,2178
2020-12-07,2358
2020-12-08,2306.05
2020-12-09,2275.5
2020-12-10,2251.2
2020-12-11,2241.5
2020-12-14,2228
2020-12-15,2199
2020-12-16,2200
2020-12-17,2167.15
2020-12-18,2224
2020-12-21,2325.15
2020-12-22,2348.9
2020-12-23,2350.05
2020-12-24,2425
2020-12-28,2395
2020-12-29,2340.1
2020-12-30,2351
2020-12-31,2338
2021-01-01,2378.9
2021-01-04,2458
2021-01-05,2460.95
2021-01-06,2415
2021-01-07,2395.5
2021-01-08,2370.5
2021-01-11,2330
2021-01-12,2243
2021-01-13,2204
2021-01-14,2257
2021-01-19,2288
2021-01-20,2275
2021-01-21,2200
2021-01-22,2288.25
2021-01-25,2271
2021-01-27,2181.95
2021-01-28,2136
2021-01-29,2109.5
2021-02-01,2080
2021-02-02,2100
2021-02-03,2133
2021-02-04,2140
2021-02-05,2300
2021-02-08,2321.5
2021-02-09,2271
2021-02-10,2301
2021-02-11,2281.7
2021-02-12,2198
2021-02-15,2167.5
2021-02-16,2200
2021-02-17,2358
2021-02-18,2469.95
2021-02-19,2403
2021-02-22,2384
2021-02-23,2366.25
2021-02-25,2414.9
2021-02-26,2386.05
2021-03-01,2359
2021-03-02,2351
2021-03-03,2420
2021-03-04,2641.15
2021-03-05,2554.95
2021-03-08,2556.95
2021-03-09,2501.9
2021-03-10,2491.75
2021-03-12,2474
2021-03-15,2542
2021-03-16,2665
2021-03-17,2536.2
2021-03-18,2465
2021-03-19,2548
2021-03-25,2439.95
2021-03-26,2414.65
2021-03-30,2484.6
2021-03-31,2465
2021-04-01,2452
2021-04-05,2501
2021-04-06,2479
2021-04-07,2503
2021-04-08,2510
2021-04-09,2535
2021-04-12,2639.75
2021-04-13,2529
2021-04-15,2475
2021-04-16,2644.85
2021-04-19,2745
2021-04-20,2640
2021-04-22,2660
2021-04-23,2670
2021-04-26,2654
2021-04-27,2653.55
2021-04-28,2680.05
2021-04-29,2647.65
2021-04-30,2775
2021-05-03,2730
2021-05-04,2655
2021-05-05,2610
2021-05-06,2630.2
2021-05-07,2643
2021-05-10,2789.75
2021-05-11,2846.6
2021-05-12,2861
2021-05-14,2904
2021-05-17,2795
2021-05-18,3050
2021-05-19,3296.15
2021-05-20,3163
2021-05-21,3189
2021-05-24,3132
2021-05-31,3150
2021-06-01,3065.5
2021-06-02,3162
2021-06-03,3180
2021-06-04,3131
2021-06-07,3114
2021-06-08,3113.8
2021-06-09,3091.35
2021-06-10,3146.7
2021-06-11,3151
2021-06-14,3156
2021-06-15,3141
2021-06-16,3135
2021-06-17,3096.1
2021-06-18,3060
2021-06-21,3063.9
2021-06-22,3151.3
2021-06-23,3167
2021-06-24,3144
2021-06-25,3189.85
2021-06-28,3247
2021-06-29,3376.3
2021-06-30,3409
2021-07-01,3369.9
2021-07-02,3459
2021-07-05,3492.1
2021-07-06,3380
2021-07-07,3500
2021-07-08,3541.35
2021-07-09,3636
2021-07-12,3580
2021-07-13,3690
2021-07-14,3855
2021-07-15,3760
2021-07-16,3923
2021-07-19,3870
2021-07-20,3800
2021-07-22,4148.5
2021-07-23,4014.65
2021-07-26,4020
2021-07-27,3920
2021-07-28,3900.3
2021-08-02,3935
2021-08-03,3950
2021-08-04,3923
2021-08-05,4057.1
2021-08-06,4002
2021-08-09,4040
2021-08-10,4220
2021-08-11,4125
2021-08-12,4310
2021-08-13,4275
2021-08-16,4100
2021-08-17,4135
2021-08-18,4070.05
2021-08-20,3945
2021-08-23,3874
2021-08-24,3793.85
2021-08-25,3849
2021-08-26,3891.85
2021-08-27,3929.3
2021-08-30,3885.05
2021-08-31,3890
2021-09-01,3907
2021-09-02,3900
2021-09-03,3988.95
2021-09-06,3987
2021-09-07,3985
2021-09-08,3950
2021-09-09,3866.05
2021-09-13,3815
2021-09-14,3813
2021-09-15,4020
2021-09-16,4039.8
2021-09-17,3930
2021-09-20,3903
2021-09-21,3867
2021-09-22,3870
2021-09-23,3902
2021-09-24,3838
2021-09-27,3855.25
2021-09-28,3680
2021-09-29,3716.05
2021-09-30,3715
2021-10-01,3731
2021-10-06,3899
2021-10-07,3872
2021-10-08,3852.9
2021-10-11,3825
2021-10-12,3791.9
2021-10-13,3782
2021-10-14,3792
2021-10-18,3755
2021-10-19,3737
2021-10-20,3561
2021-10-21,3575
2021-10-22,3720
2021-10-25,3735
2021-10-26,3590
2021-10-27,3528
2021-10-28,3600
2021-10-29,3673
2021-11-01,3685
2021-11-02,3690.25
2021-11-03,3690.15
2021-11-08,3660
2021-11-09,3630
2021-11-10,3589
2021-11-11,3552
2021-11-12,3440
2021-11-15,3622.05
2021-11-16,3505
2021-11-17,3485
2021-11-18,3412.85
2021-11-22,3480
2021-11-23,3525
2021-11-24,3511
2021-11-25,3535.25
2021-11-26,3478
2021-11-29,3580.05
2021-11-30,3561
2021-12-01,3610
2021-12-02,3628
2021-12-03,3647
2021-12-10,3600
2021-12-13,3574
2021-12-14,3620
2021-12-15,3527.05
2021-12-16,3684
2021-12-17,3660
2021-12-20,3593
2021-12-21,3690
2021-12-22,3746
2021-12-23,3846.1
2021-12-24,3880
2021-12-27,3880.35
2021-12-28,3875
2021-12-29,3898
2021-12-30,3868
2021-12-31,3850
2022-01-03,3845
2022-01-04,3886
2022-01-05,3949.95
2022-01-06,3924
2022-01-07,3918
2022-01-10,3857
2022-01-11,3764
2022-01-12,3720.55
2022-01-13,3728
2022-01-14,3718
2022-01-17,3696.25
2022-01-18,3665
2022-01-19,3660
2022-01-20,3628
2022-01-21,3565
2022-01-24,3250
2022-01-25,3385
2022-01-27,3375
2022-01-28,3285
2022-01-31,3400
2022-02-01,3507.95
2022-02-02,3467.9
2022-02-03,3560
2022-02-04,3510
2022-02-07,3460.75
2022-02-08,3460
2022-02-14,3473.85
2022-02-15,3395
2022-02-16,3393.25
2022-02-17,3384.9
2022-02-18,3222
2022-02-21,3229.7
2022-02-22,3245
2022-02-23,3350
2022-02-24,3270.25
2022-02-25,3312
2022-02-28,3257.1
2022-03-02,3230
2022-03-03,3240.6
2022-03-04,3230
2022-03-07,3195.6
2022-03-08,3174.95
2022-03-09,3299
2022-03-10,3337
2022-03-11,3330
2022-03-14,3300
2022-03-15,3280.05
2022-03-16,3300
2022-03-17,3294
2022-03-21,3270.2
2022-03-22,3200
2022-03-23,3264
2022-03-24,3228
2022-03-25,3194.65
2022-03-28,3265
2022-03-29,3269.8
2022-03-30,3231
2022-03-31,3275
2022-04-01,3316
2022-04-04,3375.2
2022-04-05,3390
2022-04-06,3325
2022-04-07,3298.95
2022-04-08,3265
2022-04-11,3264
2022-04-12,3225.5
2022-04-13,3185
2022-04-19,3180
2022-04-20,3290
2022-04-21,3467.8
2022-04-22,3345
2022-04-25,3300
2022-04-26,3125.6
2022-04-27,3136.05
2022-04-28,3210.05
2022-04-29,3200
2022-05-02,3210.15
2022-05-04,3135.05
2022-05-05,3150
2022-05-06,3054
2022-05-09,3038
2022-05-10,2950
2022-05-11,2898
2022-05-12,2900
2022-05-13,3000
2022-05-16,3105
2022-05-17,3100
2022-05-18,3105.2
2022-05-19,3111
2022-05-20,3066.6
2022-05-23,2970
2022-05-24,2876.9
2022-05-25,2782
2022-05-26,2853
2022-05-27,2905
2022-05-30,2914.95
2022-05-31,2849
2022-06-01,2804.95
2022-06-02,2816.8
2022-06-03,2840
2022-06-06,2837.05
2022-06-07,2800
2022-06-08,2799.15
2022-06-09,2801.95
2022-06-10,2775
2022-06-13,2733
2022-06-14,2675
2022-06-15,2655
2022-06-16,2671
2022-06-17,2567
2022-06-23,2592
2022-06-24,2630
2022-06-27,2660
2022-06-28,2675
2022-06-29,2652
2022-06-30,2698.8
2022-07-01,2649
2022-07-04,2585
2022-07-05,2533
2022-07-06,2568.85
2022-07-07,2560.8
2022-07-08,2517
2022-07-11,2495.5
2022-07-12,2484
2022-07-13,2449
2022-07-14,2430
2022-07-15,2467
2022-07-18,2468.8
2022-07-19,2465
2022-07-20,2473
2022-07-21,2342.05
2022-07-22,2271
2022-07-25,2223
2022-07-26,2206
2022-07-27,2207.9
2022-07-28,2278
2022-07-29,2259.85
2022-08-01,2263.4
2022-08-02,2265.1
2022-08-03,2260
2022-08-04,2309
2022-08-05,2260.05
2022-08-08,2326
2022-08-10,2302.6
2022-08-11,2343.35
2022-08-12,2360.1
2022-08-16,2341
2022-08-17,2372
2022-08-18,2400
2022-08-19,2415.5
2022-08-22,2366.2
2022-08-29,2348.2
2022-08-30,2361.55
2022-09-01,2498.15
