date1,close
2015-02-02,760
2015-02-03,777
2015-02-04,777.02
2015-02-05,777.05
2015-02-06,760.78
2015-02-09,744
2015-02-10,762.31
2015-02-11,766.8
2015-02-12,765.41
2015-02-13,772.89
2015-02-16,772.6
2015-02-18,773
2015-02-19,754.2
2015-02-20,750.2
2015-02-23,732.52
2015-02-24,737
2015-02-25,734.98
2015-02-26,720.2
2015-02-27,754.6
2015-02-28,756.44
2015-03-02,795.62
2015-03-09,741.79
2015-03-10,740.6
2015-03-11,740.54
2015-03-12,747.56
2015-03-13,739
2015-03-16,737.03
2015-03-17,740
2015-03-18,731.2
2015-03-19,720
2015-03-20,724
2015-03-23,720.4
2015-03-24,722
2015-03-25,715
2015-03-26,710
2015-03-27,714.8
2015-03-30,725.33
2015-03-31,725
2015-04-01,740.4
2015-04-06,738.25
2015-04-07,755.02
2015-04-08,758.42
2015-04-09,752.67
2015-04-10,758
2015-04-13,757.23
2015-04-15,761.6
2015-04-16,744.6
2015-04-17,726
2015-04-20,723.76
2015-04-21,729
2015-04-22,730.41
2015-04-23,728
2015-04-24,738.74
2015-04-27,721.5
2015-04-28,722.09
2015-04-29,725
2015-04-30,717.34
2015-05-04,726
2015-05-05,717
2015-05-06,695
2015-05-11,710.2
2015-05-12,697.78
2015-05-13,700.27
2015-05-14,706.2
2015-05-15,710
2015-05-18,710
2015-05-19,716
2015-05-20,718.01
2015-05-21,737
2015-05-22,727
2015-05-25,713.22
2015-05-26,716.39
2015-05-27,715.22
2015-05-28,702.01
2015-05-29,729.55
2015-06-01,722.04
2015-06-02,700.43
2015-06-03,682.77
2015-06-04,689
2015-06-05,681.98
2015-06-08,682
2015-06-09,686.43
2015-06-10,690
2015-06-11,673
2015-06-12,673.2
2015-06-15,669.8
2015-06-16,673.6
2015-06-17,673
2015-06-18,672.6
2015-06-19,676
2015-06-22,679.4
2015-06-23,687.5
2015-06-24,679.8
2015-06-25,683.2
2015-06-26,680.79
2015-06-29,674
2015-06-30,691
2015-07-01,704
2015-07-02,692.6
2015-07-03,701
2015-07-06,714.4
2015-07-07,715.95
2015-07-08,701.46
2015-07-09,706
2015-07-10,720
2015-07-15,737.8
2015-07-16,738.4
2015-07-17,739.6
2015-07-20,754.05
2015-07-21,735.05
2015-07-22,746
2015-07-23,740
2015-07-24,735
2015-07-27,732.21
2015-07-28,734.01
2015-07-29,730
2015-07-30,744.4
2015-07-31,743
2015-08-03,746.2
2015-08-04,753
2015-08-05,753
2015-08-06,748
2015-08-07,761.6
2015-08-10,753.22
2015-08-11,744.02
2015-08-12,727.97
2015-08-13,722
2015-08-14,742.56
2015-08-17,738.66
2015-08-18,742.7
2015-08-19,745
2015-08-20,735.2
2015-08-21,725.94
2015-08-24,689.78
2015-08-25,694
2015-08-26,678
2015-08-27,703
2015-08-28,691.8
2015-08-31,689.04
2015-09-01,679
2015-09-02,680.41
2015-09-03,685.6
2015-09-04,677.74
2015-09-07,674.81
2015-09-08,685.98
2015-09-09,702.4
2015-09-10,693.78
2015-09-11,689.5
2015-09-18,695
2015-09-21,690.8
2015-09-22,684.95
2015-09-23,686.31
2015-09-24,687.58
2015-09-28,690.4
2015-09-29,686.04
2015-09-30,705.8
2015-10-01,710
2015-10-05,724.8
2015-10-06,719.6
2015-10-07,729
2015-10-08,730
2015-10-09,728.03
2015-10-12,724.41
2015-10-13,727.27
2015-10-14,726.32
2015-10-15,727.13
2015-10-16,728.05
2015-10-19,720
2015-10-20,721.06
2015-10-21,728.48
2015-10-23,730
2015-10-26,737
2015-10-27,736.27
2015-10-28,739.13
2015-10-29,732.2
2015-10-30,742.01
2015-11-02,736.6
2015-11-03,738.4
2015-11-04,737
2015-11-05,736.42
2015-11-06,738.56
2015-11-09,731.2
2015-11-10,724
2015-11-13,725
2015-11-16,736
2015-11-17,723.4
2015-11-23,733.25
2015-11-24,740.4
2015-11-26,745.01
2015-11-27,745.73
2015-11-30,748.27
2015-12-01,747.8
2015-12-02,750
2015-12-03,746.03
2015-12-04,744
2015-12-07,754.4
2015-12-08,748.2
