date1,close
2015-02-02,473.4
2015-02-03,475
2015-02-04,475.7
2015-02-05,493.5
2015-02-06,490
2015-02-09,497
2015-02-10,485.4
2015-02-11,489.7
2015-02-12,496.55
2015-02-13,499
2015-02-16,496.95
2015-02-18,509.5
2015-02-19,512.5
2015-02-20,500
2015-02-23,490
2015-02-24,493.95
2015-02-25,495.25
2015-02-26,494.25
2015-02-27,504.75
2015-02-28,506.25
2015-03-02,506.25
2015-03-09,513.75
2015-03-10,511.85
2015-03-11,515.25
2015-03-12,513.75
2015-03-13,506.25
2015-03-16,514.55
2015-03-17,509.25
2015-03-18,502.25
2015-03-19,488.25
2015-03-20,490.25
2015-03-23,483.5
2015-03-24,481.45
2015-03-25,504
2015-03-26,492.5
2015-03-27,482
2015-03-30,490
2015-03-31,491.4
2015-04-01,471.7
2015-04-06,467
2015-04-07,468.4
2015-04-08,482.65
2015-04-09,480.3
2015-04-10,479.5
2015-04-13,487.85
2015-04-15,470.55
2015-04-16,476.5
2015-04-17,470.2
2015-04-20,458.5
2015-04-21,447.5
2015-04-22,442.5
2015-04-23,446
2015-04-24,451.95
2015-04-27,441
2015-04-28,433
2015-04-29,443.5
2015-04-30,442.55
2015-05-04,462
2015-05-05,456.65
2015-05-06,445.6
2015-05-11,471.15
2015-05-12,456.5
2015-05-13,468.15
2015-05-14,462.85
2015-05-15,457.15
2015-05-18,466.3
2015-05-19,468
2015-05-20,478.8
2015-05-21,484.15
2015-05-22,492.65
2015-05-25,499.3
2015-05-26,497
2015-05-27,493.5
2015-05-28,488.35
2015-05-29,497.5
2015-06-01,486.15
2015-06-02,480.65
2015-06-03,476.7
2015-06-04,470.8
2015-06-05,465
2015-06-08,459
2015-06-09,454.45
2015-06-10,469.6
2015-06-11,457.75
2015-06-12,450.55
2015-06-15,453.5
2015-06-16,451.8
2015-06-17,453.8
2015-06-18,456.05
2015-06-19,458.2
2015-06-22,466.4
2015-06-23,464.25
2015-06-24,468.2
2015-06-25,465.95
2015-06-26,478.25
2015-06-29,463.55
2015-06-30,460.05
2015-07-01,472.5
2015-07-02,476.5
2015-07-03,482
2015-07-06,484.5
2015-07-07,469.25
2015-07-08,464.55
2015-07-09,458.8
2015-07-10,462.1
2015-07-15,473.75
2015-07-16,479.3
2015-07-17,477.75
2015-07-20,473.95
2015-07-21,485.5
2015-07-22,491.5
2015-07-23,483.25
2015-07-24,477.85
2015-07-27,466.25
2015-07-28,462.95
2015-07-29,475.55
2015-07-30,479.5
2015-07-31,501
2015-08-03,471
2015-08-04,466
2015-08-05,469.1
2015-08-06,472.65
2015-08-07,469.5
2015-08-10,470
2015-08-11,470.5
2015-08-12,486
2015-08-13,481.35
2015-08-14,487.05
2015-08-17,484.45
2015-08-18,485
2015-08-19,494
2015-08-20,481.2
2015-08-21,482
2015-08-24,463.5
2015-08-25,457.75
2015-08-26,455
2015-08-27,456.1
2015-08-28,476.05
2015-08-31,486.5
2015-09-01,476
2015-09-02,476.5
2015-09-03,481.05
2015-09-04,470
2015-09-07,460.6
2015-09-08,466.85
2015-09-09,469.95
2015-09-10,459.1
2015-09-11,459.5
2015-09-18,472.45
2015-09-21,471
2015-09-22,466.5
2015-09-23,464
2015-09-24,478
2015-09-28,474
2015-09-29,474.25
2015-09-30,492.15
2015-10-01,430.45
2015-10-05,430.35
2015-10-06,427
2015-10-07,410.15
2015-10-08,413.15
2015-10-09,425
2015-10-12,428
2015-10-13,414.5
2015-10-14,416.4
2015-10-15,417.5
2015-10-16,420.65
2015-10-19,429.5
2015-10-20,432.45
2015-10-21,431.05
2015-10-23,426
2015-10-26,432.6
2015-10-27,433.35
2015-10-28,439
2015-10-29,437.5
2015-10-30,435.2
2015-11-02,437.95
2015-11-03,438.5
2015-11-04,440.3
2015-11-05,438.6
2015-11-06,442.5
2015-11-09,440.1
2015-11-10,425.5
2015-11-13,420.5
2015-11-16,420.3
2015-11-17,426.7
2015-11-23,432.75
2015-11-24,432
2015-11-26,431.25
2015-11-27,437.45
2015-11-30,435.5
2015-12-01,438.45
2015-12-02,430.05
2015-12-03,426
2015-12-04,419.05
2015-12-07,425.45
2015-12-08,426.35
2015-12-09,422.1
2015-12-10,424.1
2015-12-11,420.45
2015-12-14,422
2015-12-15,424.5
2015-12-16,423
2015-12-17,431.5
2015-12-18,422.45
2015-12-21,428
2015-12-22,425.25
2015-12-23,428.6
2015-12-24,429.95
2015-12-28,431.05
2015-12-29,426.25
2015-12-30,419.45
2015-12-31,429
2016-01-04,423.45
2016-01-05,422
2016-01-06,420.5
2016-01-07,412.75
2016-01-08,415.5
2016-01-11,407.5
2016-01-12,405.5
2016-01-13,414.5
2016-01-14,415
2016-01-15,420.05
2016-01-18,424
2016-01-19,420
2016-01-20,419.5
2016-01-21,416.15
2016-01-27,419.5
2016-01-28,422.05
2016-01-29,433.2
2016-02-01,438.35
2016-02-02,435.5
2016-02-03,427
2016-02-04,433.4
2016-02-05,434.25
2016-02-08,425
2016-02-09,407.5
2016-02-10,415.95
2016-02-11,403.35
2016-02-12,399.75
2016-02-15,414.95
2016-02-16,413.35
2016-02-17,413
2016-02-18,421
2016-02-19,421.25
2016-02-22,422.75
2016-02-23,414
2016-02-24,405.55
2016-02-25,406.95
2016-02-26,413
2016-02-29,408
2016-03-01,414
2016-03-02,425.1
2016-03-03,428.5
2016-03-04,419
2016-03-08,406.35
2016-03-09,408
2016-03-10,408.05
2016-03-11,412
2016-03-14,412.25
2016-03-15,405.35
2016-03-16,407.7
2016-03-17,405.5
2016-03-18,411.9
2016-03-21,412.45
2016-03-22,413.9
2016-03-23,408.5
2016-03-31,406.7
2016-04-01,411.25
2016-04-04,420
2016-04-05,420.35
2016-04-06,420.05
2016-04-07,414.05
2016-04-08,417.25
2016-04-11,418.7
2016-04-12,420
2016-04-13,418
2016-04-18,426.45
2016-04-20,420.95
2016-04-21,423
2016-04-22,422.5
2016-04-25,423.65
2016-04-26,425.45
2016-04-27,417.4
2016-04-28,399.65
2016-04-29,375
2016-05-02,371.25
2016-05-03,364.05
2016-05-04,367.5
2016-05-05,365.25
2016-05-06,360.5
2016-05-09,359.65
2016-05-10,358.75
2016-05-11,353.65
2016-05-12,356.9
2016-05-13,360.75
2016-05-16,359
2016-05-17,365.75
2016-05-18,370.5
2016-05-19,364.05
2016-05-20,368.35
2016-05-23,366.1
2016-05-24,369.8
2016-05-25,374.25
2016-05-26,370.85
2016-05-27,378
2016-05-30,374
2016-06-06,362.6
2016-06-07,363.75
2016-06-08,372
2016-06-09,375.55
2016-06-10,375
2016-06-13,377
2016-06-14,375.05
2016-06-15,377.6
2016-06-16,373.2
2016-06-17,376.5
2016-06-20,384.95
2016-06-21,385
2016-06-22,385
2016-06-23,385.2
2016-06-24,371
2016-06-27,368
2016-06-28,356.45
2016-06-29,364.45
2016-06-30,364.85
2016-07-01,365
2016-07-04,373.65
2016-07-05,369
2016-07-07,358.65
2016-07-08,361.25
2016-07-11,359.1
2016-07-12,361.15
2016-07-13,359.85
2016-07-14,364.75
2016-07-15,357.7
2016-07-18,361.85
2016-07-19,365.5
2016-07-20,365.45
2016-07-21,362.5
2016-07-22,364.75
2016-07-25,370
2016-07-26,373.3
2016-07-27,376.7
2016-07-28,373.5
2016-07-29,376.05
2016-08-01,389
2016-08-02,399.75
2016-08-03,412.85
2016-08-08,409
2016-08-09,409.25
2016-08-10,408.95
2016-08-11,412.5
