date1,close
2018-08-06,1815.25
2018-08-07,1768
2018-08-08,1776
2018-08-09,1744
2018-08-10,1746
2018-08-13,1707
2018-08-14,1727
2018-08-16,1708.95
2018-08-17,1718
2018-08-20,1747
2018-08-21,1768
2018-08-23,1828.3
2018-08-24,1896.9
2018-08-27,1943.95
2018-08-28,1863
2018-08-29,1816
2018-08-30,1839
2018-08-31,1814.9
2018-09-03,1740.2
2018-09-04,1739.8
2018-09-05,1681.65
2018-09-06,1689
2018-09-07,1670
2018-09-10,1637.75
2018-09-11,1610
2018-09-12,1631
2018-09-14,1628.8
2018-09-17,1596.9
2018-09-18,1532
2018-09-19,1403.95
2018-09-21,1389
2018-09-27,1370
2018-09-28,1326.5
2018-10-01,1295.2
2018-10-03,1290
2018-10-04,1285
2018-10-05,1294.9
2018-10-08,1277.7
2018-10-09,1268.2
2018-10-10,1331
2018-10-11,1348
2018-10-12,1372
2018-10-15,1390
2018-10-16,1386
2018-10-17,1356.1
2018-10-19,1331
2018-10-22,1350
2018-10-23,1368
2018-10-24,1375
2018-10-25,1344.45
2018-10-26,1353
2018-10-29,1377.05
2018-10-30,1367.8
2018-10-31,1400.25
2018-11-01,1428.75
2018-11-02,1433
2018-11-05,1426
2018-11-06,1400.1
2018-11-09,1403.5
2018-11-12,1400.5
2018-11-13,1393.95
2018-11-14,1401
2018-11-15,1400
2018-11-16,1400.8
2018-11-19,1401
2018-11-20,1405.7
2018-11-21,1418
2018-11-22,1424
2018-11-26,1475
2018-12-03,1563.1
2018-12-04,1574
2018-12-05,1570
2018-12-06,1559
2018-12-07,1545
2018-12-10,1509.95
2018-12-11,1534
2018-12-12,1569.35
2018-12-13,1551.05
2018-12-14,1564.95
2018-12-17,1571
2018-12-18,1590
2018-12-19,1565
2018-12-20,1550
2018-12-21,1531
2018-12-24,1492.65
2018-12-26,1470
2018-12-27,1485.75
2018-12-28,1520
2018-12-31,1495.1
2019-01-01,1518
2019-01-02,1510
2019-01-03,1512.2
2019-01-04,1524
2019-01-07,1508.7
2019-01-08,1490
2019-01-09,1504
2019-01-10,1510
2019-01-11,1495.95
2019-01-14,1476.5
2019-01-15,1477.6
2019-01-16,1474
2019-01-17,1475
2019-01-18,1484.8
2019-01-21,1480
2019-01-22,1480
2019-01-23,1458
2019-01-24,1458
2019-01-25,1423
2019-01-28,1385
2019-01-29,1398.05
2019-01-30,1375
2019-02-04,1353
2019-02-05,1363
2019-02-06,1346
2019-02-07,1349.65
2019-02-08,1344
2019-02-11,1331
2019-02-12,1323
2019-02-13,1340
2019-02-14,1320
2019-02-15,1319
2019-02-18,1323
2019-02-19,1307
2019-02-20,1333
2019-02-21,1350
2019-02-22,1344.5
2019-02-25,1335.1
2019-02-26,1348.3
2019-02-27,1351.45
2019-02-28,1370
2019-03-01,1412
2019-03-05,1475
2019-03-06,1504.65
2019-03-07,1497
2019-03-08,1491
2019-03-11,1497
2019-03-12,1502.05
2019-03-13,1502
2019-03-14,1507.95
2019-03-15,1510.2
2019-03-18,1500
2019-03-19,1492.35
2019-03-20,1480
2019-03-22,1487
2019-03-25,1469
2019-03-26,1469
2019-03-27,1480
2019-03-28,1538
2019-03-29,1533
2019-04-01,1557.05
2019-04-02,1575
2019-04-03,1563
2019-04-04,1559.55
2019-04-05,1552
2019-04-10,1540
2019-04-11,1559.8
2019-04-12,1579.1
2019-04-15,1583
2019-04-16,1580
2019-04-18,1586.2
2019-04-22,1576
2019-04-23,1580
2019-04-24,1590.85
2019-04-25,1607.4
2019-04-26,1610
2019-04-30,1690
2019-05-02,1700
2019-05-03,1660
2019-05-06,1647
