date1,close
2017-09-27,680.1
2017-09-28,686.3
2017-09-29,680.3
2017-10-03,686
2017-10-04,680.3
2017-10-05,667
2017-10-06,680
2017-10-09,685
2017-10-10,687
2017-10-11,687.5
2017-10-12,701
2017-10-13,695
2017-10-16,696.05
2017-10-17,716.35
2017-10-18,713.9
2017-10-23,694.5
2017-10-24,704.95
2017-10-25,678.55
2017-10-26,684
2017-10-27,683
2017-10-30,681
2017-10-31,682
2017-11-01,680
2017-11-06,680
2017-11-07,680.15
2017-11-08,681
2017-11-09,679.85
2017-11-10,680.5
2017-11-13,686.8
2017-11-14,686.8
2017-11-15,686
2017-11-16,679.55
2017-11-17,686
2017-11-20,684.75
2017-11-21,695
2017-11-22,699
2017-11-23,696
2017-11-24,702
2017-11-27,700
2017-11-28,706
2017-11-29,712
2017-11-30,714
2017-12-01,721
2017-12-04,717
2017-12-05,727.85
2017-12-06,725
2017-12-07,735
2017-12-08,766.5
2017-12-11,766.15
2017-12-12,786.3
2017-12-13,775.3
2017-12-14,781
2017-12-15,788.85
2017-12-18,793
2017-12-19,790
2017-12-20,779.65
2017-12-21,777
2017-12-22,780.9
2017-12-26,786.5
2017-12-27,781
2017-12-28,793
2017-12-29,784.4
2018-01-01,795
2018-01-02,800
2018-01-03,800.3
2018-01-04,809
2018-01-05,824
2018-01-10,782
2018-01-11,788.5
2018-01-12,788
2018-01-15,795.05
2018-01-16,805.3
2018-01-17,849.75
2018-01-18,845
2018-01-19,822
2018-01-22,851.4
2018-01-23,826
2018-01-24,840
2018-01-25,824
2018-01-29,824.5
2018-01-30,803
2018-01-31,788
2018-02-01,831
2018-02-02,820
2018-02-05,817.95
2018-02-06,810
2018-02-07,819.25
2018-02-08,809
2018-02-09,815.8
2018-02-12,817.95
2018-02-14,813.5
2018-02-15,799.8
2018-02-16,812
2018-02-19,817
2018-02-20,818
2018-02-21,815
2018-02-22,807
2018-02-23,820
2018-02-26,819
2018-02-27,818
2018-02-28,800.25
2018-03-01,786.95
2018-03-05,780
2018-03-06,794.5
2018-03-07,790
2018-03-08,800
2018-03-09,812.1
2018-03-16,770
2018-03-19,769.9
2018-03-20,749.85
2018-03-21,730.55
2018-03-22,727.85
2018-03-23,745.6
2018-03-26,762
2018-03-27,794
2018-03-28,791
2018-04-02,786
2018-04-03,789
2018-04-04,778.15
2018-04-05,786.2
2018-04-06,798
2018-04-09,768.25
2018-04-10,775
2018-04-11,770.5
2018-04-12,765.15
2018-04-13,778
2018-04-16,778
2018-04-17,765
2018-04-18,772.1
2018-04-19,770.25
2018-04-20,765
