date1,close
2016-09-29,295.75
2016-09-30,309.3
2016-10-03,308.35
2016-10-04,303.95
2016-10-05,314
2016-10-06,317.25
2016-10-07,317.5
2016-10-13,317.05
2016-10-14,326.95
2016-10-17,326.9
2016-10-18,330.6
2016-10-19,325.05
2016-10-20,323.6
2016-10-21,326.85
2016-10-24,323.65
2016-10-25,323.5
2016-10-26,319.6
2016-10-27,312.75
2016-10-28,307.2
2016-11-01,311
2016-11-02,305.5
2016-11-03,304
2016-11-04,303.5
2016-11-07,303.55
2016-11-08,303.65
2016-11-09,298
2016-11-10,312.9
2016-11-11,304.85
2016-11-15,297
2016-11-16,298.1
2016-11-17,293.55
2016-11-18,285.75
2016-11-21,285.5
2016-11-22,290.1
2016-11-23,294.5
2016-11-24,295.7
2016-11-25,301.7
2016-11-28,308.5
2016-11-29,313.7
2016-11-30,309
2016-12-01,304.05
2016-12-02,298.35
2016-12-05,293.1
2016-12-06,293.5
2016-12-07,293
2016-12-08,297.15
2016-12-09,294.95
2016-12-16,310.05
2016-12-19,314.55
2016-12-20,317.55
2016-12-21,314.95
2016-12-22,306.8
2016-12-23,300.3
2016-12-26,295
2016-12-27,295.3
2016-12-28,294.55
2016-12-29,300
2016-12-30,301
2017-01-02,307.7
2017-01-03,313.65
2017-01-04,320
2017-01-05,326.9
2017-01-06,330.8
2017-01-09,329
2017-01-10,335.35
2017-01-11,337.15
2017-01-12,333.25
2017-01-13,332.1
2017-01-16,330.2
2017-01-17,331
2017-01-18,339.25
2017-01-19,348.05
2017-01-20,359.1
2017-01-23,358.6
2017-01-24,357.8
2017-01-25,353.75
2017-01-27,353
2017-01-30,349
2017-01-31,342.5
2017-02-01,356.6
2017-02-02,357.25
2017-02-03,356.8
2017-02-06,366.1
2017-02-07,362.5
2017-02-08,356.9
2017-02-09,357.35
2017-02-10,349.3
2017-02-13,351
2017-02-14,356
2017-02-20,357.65
2017-02-21,356
2017-02-22,351.9
2017-02-23,357.9
2017-02-27,362.5
2017-02-28,362.25
2017-03-01,363.5
2017-03-02,362.7
2017-03-03,361.7
2017-03-06,370
2017-03-07,368
2017-03-08,373.25
2017-03-09,370.8
2017-03-10,370.75
2017-03-14,374.5
2017-03-15,374.95
2017-03-16,370.1
2017-03-17,369.9
2017-03-20,368
2017-03-21,370
2017-03-22,363.5
2017-03-23,367.6
2017-03-24,373
2017-03-27,374
2017-03-28,371.1
2017-03-29,368.8
2017-03-30,374.2
2017-03-31,384.1
2017-04-03,384.9
2017-04-05,397.55
2017-04-06,391.2
2017-04-07,400.8
2017-04-10,395
2017-04-11,392.75
2017-04-12,399.65
2017-04-13,404.3
2017-04-17,402.6
2017-04-18,402.05
2017-04-19,400
2017-04-20,398.05
2017-04-25,418.8
2017-04-26,401.15
2017-04-27,399
2017-04-28,406.45
2017-05-02,399.4
2017-05-03,398.2
2017-05-04,393.5
2017-05-05,393.6
2017-05-08,414.15
2017-05-09,410
2017-05-10,410
2017-05-11,411.05
2017-05-12,411
2017-05-15,417.5
2017-05-16,415.5
2017-05-17,416
2017-05-18,412.75
2017-05-19,410.25
2017-05-22,404.75
2017-05-23,410
2017-05-24,403
2017-05-25,400.35
2017-05-26,399.55
2017-05-29,394.6
2017-05-30,400
2017-05-31,405.4
2017-06-01,403
2017-06-02,409
2017-06-05,405.8
2017-06-06,401.65
2017-06-07,421.1
2017-06-08,423
2017-06-09,433.15
2017-06-12,423.65
2017-06-13,428.7
2017-06-14,437.5
2017-06-15,442
2017-06-16,444
2017-06-19,443.9
2017-06-20,438
2017-06-21,441.8
2017-06-22,443.8
2017-06-23,440.05
2017-06-29,473.85
2017-06-30,471.6
2017-07-03,472
2017-07-04,489.75
2017-07-05,496.2
2017-07-06,491.6
2017-07-07,484.8
2017-07-10,484.8
2017-07-11,489.45
2017-07-12,485.95
2017-07-13,486.5
2017-07-14,483.65
2017-07-17,474
2017-07-18,477
2017-07-19,474.4
2017-07-20,461.4
2017-07-21,464.35
2017-07-24,468.75
2017-07-25,468.2
2017-07-26,451
2017-07-27,440.05
2017-07-28,448.7
2017-07-31,459.3
2017-08-01,445.7
2017-08-02,443.9
2017-08-03,440.5
2017-08-04,439.05
2017-08-07,437.3
2017-08-08,433.35
2017-08-09,426
2017-08-10,417.5
2017-08-11,428.2
2017-08-14,435.35
2017-08-16,435.95
2017-08-17,425
2017-08-18,428.15
2017-08-21,420.5
2017-08-22,419.25
2017-08-23,421.5
2017-08-24,422.9
2017-08-28,432
2017-09-04,439.05
2017-09-05,446.9
