date1,close
2015-11-10,877.5
2015-11-13,1019.5
2015-11-16,988.75
2015-11-17,1049
2015-11-23,1047
2015-11-24,1086
2015-11-26,1086.1
2015-11-27,1092.55
2015-11-30,1109
2015-12-01,1087
2015-12-02,1096.2
2015-12-03,1111
2015-12-04,1081.5
2015-12-07,1042
2015-12-08,1010.9
2015-12-09,1015
2015-12-10,997.3
2015-12-11,1041
2015-12-14,1091
2015-12-15,1185.1
2015-12-16,1194
2015-12-17,1193.7
2015-12-18,1141.25
2015-12-21,1080.15
2015-12-22,1164.4
2015-12-23,1182.1
2015-12-24,1162.05
2015-12-28,1188.25
2015-12-29,1188
2015-12-30,1186
2015-12-31,1238
2016-01-04,1257
2016-01-05,1251.6
2016-01-06,1236
2016-01-07,1259.2
2016-01-08,1270.2
2016-01-11,1234.9
2016-01-12,1249.05
2016-01-13,1234.05
2016-01-14,1198.3
2016-01-15,1174.5
2016-01-18,1133.05
2016-01-19,1204.2
2016-01-20,1203.05
2016-01-21,1195
2016-01-27,936.95
2016-01-28,903.5
2016-01-29,870
2016-02-01,876.7
2016-02-02,847.45
2016-02-03,837
2016-02-04,810.05
2016-02-05,834.5
2016-02-08,822.7
2016-02-09,786
2016-02-10,771
2016-02-11,725
2016-02-12,782.1
2016-02-15,848
2016-02-16,837.4
2016-02-17,840
2016-02-18,846.5
2016-02-19,840
2016-02-22,815.3
2016-02-23,811.3
2016-02-24,804.9
2016-02-25,790
2016-02-26,835.1
2016-02-29,813.9
2016-03-01,833.9
2016-03-02,868
2016-03-03,851.5
2016-03-04,868
2016-03-08,857
2016-03-09,810
2016-03-10,804
2016-03-11,818
2016-03-14,804.95
2016-03-15,800
2016-03-16,799.5
2016-03-17,805.8
2016-03-18,812.2
2016-03-21,852.2
2016-03-22,839.5
2016-03-23,894
2016-04-01,910
2016-04-04,968.05
2016-04-05,968.4
2016-04-06,992.5
2016-04-07,991.6
2016-04-08,954.05
2016-04-11,992
2016-04-12,1003.95
2016-04-13,1027
2016-04-18,1062
2016-04-20,1017
2016-04-21,999.25
2016-04-22,997.3
2016-04-25,1018.1
2016-04-26,1030.8
2016-04-27,1048
2016-04-28,1068
2016-04-29,1068
2016-05-02,1024
2016-05-03,1060
2016-05-04,1071.8
2016-05-05,1086
2016-05-06,1071
2016-05-09,1072.7
2016-05-10,1073
2016-05-11,1057.5
2016-05-12,1043.7
2016-05-13,1037
2016-05-16,1031.5
2016-05-17,1050
2016-05-18,1021.95
2016-05-19,1009
2016-05-20,964
2016-05-23,992.1
2016-05-24,977.95
2016-05-25,985.5
2016-05-26,990
2016-05-27,1038.95
2016-05-30,1060
2016-06-06,1016.95
2016-06-07,1008
2016-06-08,991.5
2016-06-09,1007.5
2016-06-10,1001
2016-06-13,981
2016-06-14,989.4
2016-06-15,1008
2016-06-16,1011.3
2016-06-17,1015
2016-06-20,1079.8
2016-06-21,1036.05
2016-06-22,1024.2
2016-06-23,1000
2016-06-24,1005.65
2016-06-27,1017
2016-06-28,1015.05
2016-06-29,1016.65
2016-06-30,1015.05
2016-07-01,1009.9
2016-07-04,1043.8
2016-07-05,1017.45
2016-07-07,1011.2
2016-07-08,1019.75
2016-07-11,1010.95
2016-07-12,1011.7
2016-07-13,996
2016-07-14,986.5
2016-07-15,967.2
2016-07-18,943.25
2016-07-19,947.15
2016-07-20,950.2
2016-07-21,944.95
2016-07-22,951.4
2016-07-25,950
2016-07-26,943
2016-07-27,937
2016-07-28,952.4
2016-07-29,989.95
2016-08-01,965.2
2016-08-02,863
2016-08-03,857.2
2016-08-09,812
2016-08-10,796.5
2016-08-11,790.8
2016-08-12,801
2016-08-16,827
2016-08-17,860.65
2016-08-18,881
2016-08-19,883.1
2016-08-22,903.6
2016-08-23,894.25
2016-08-24,878
2016-08-25,882
2016-08-26,856.5
2016-08-29,870.25
2016-08-30,879
2016-08-31,884.05
2016-09-01,877
2016-09-02,868
2016-09-06,871
2016-09-07,870.1
2016-09-08,866.8
2016-09-09,863.5
2016-09-12,863.5
2016-09-14,860.3
2016-09-15,871
2016-09-16,864.1
2016-09-19,863.5
2016-09-20,855.25
2016-09-21,884.5
2016-09-22,890.25
2016-09-23,920.5
2016-09-26,938.2
2016-09-27,925
2016-09-28,924.5
2016-09-29,908
2016-09-30,918.15
2016-10-03,945.3
2016-10-04,949.9
2016-10-05,949
2016-10-06,938
2016-10-07,950
2016-10-13,931
2016-10-14,931.2
2016-10-17,939
2016-10-18,937
2016-10-19,947
2016-10-20,934.95
2016-10-21,933
2016-10-24,935
2016-10-25,926
2016-10-26,930
2016-10-27,938.65
2016-10-28,930.4
2016-11-01,939
2016-11-02,939
2016-11-03,932.05
2016-11-04,920.1
2016-11-07,925.15
2016-11-08,921
2016-11-09,938
2016-11-10,937.55
2016-11-11,923
2016-11-15,884
2016-11-16,834
2016-11-17,862
2016-11-18,841.8
2016-11-21,854.9
2016-11-22,860
2016-11-23,871
2016-11-24,868.5
2016-11-25,872
2016-11-28,885
2016-11-29,872
2016-11-30,859
2016-12-01,840
2016-12-02,848.5
2016-12-05,851
2016-12-06,850
2016-12-07,849
2016-12-08,850
2016-12-09,849
2016-12-19,835
2016-12-20,832.5
2016-12-21,830
2016-12-22,828.5
2016-12-23,825.95
2016-12-26,831.5
2016-12-27,832.9
2016-12-28,828.6
2016-12-29,814
2016-12-30,820
2017-01-02,822
2017-01-03,821
2017-01-04,840.55
2017-01-05,841.25
2017-01-06,840
2017-01-09,850
2017-01-10,859.5
2017-01-11,865
2017-01-12,880.5
2017-01-13,875
2017-01-16,875
2017-01-17,875
2017-01-18,882
2017-01-19,903.15
2017-01-20,928.95
2017-01-23,934
2017-01-24,930
2017-01-25,925.05
2017-01-27,927.1
2017-01-30,938
2017-01-31,900
2017-02-01,834
2017-02-02,851
2017-02-03,859.25
2017-02-06,862
2017-02-07,846
2017-02-08,849
2017-02-09,844.15
2017-02-10,836.2
2017-02-13,827.95
2017-02-14,817.8
2017-02-20,827.4
2017-02-21,838
2017-02-22,844
2017-02-23,837
2017-02-27,863
2017-02-28,860.95
2017-03-01,872
2017-03-02,859.9
2017-03-03,859.5
2017-03-06,862.4
2017-03-07,859
2017-03-08,874
2017-03-09,874.7
2017-03-10,869
2017-03-14,875.1
2017-03-15,883.55
2017-03-16,895
2017-03-17,925
2017-03-20,923
2017-03-21,934.9
2017-03-22,935
2017-03-23,975
2017-03-24,1020.4
2017-03-27,1048.85
2017-03-28,1036
2017-03-29,1025.55
2017-03-30,1051
2017-03-31,1050.5
2017-04-03,1043.55
2017-04-05,1045
2017-04-06,1050.9
2017-04-07,1038.3
2017-04-10,1095.95
2017-04-11,1097.3
2017-04-12,1096.5
2017-04-13,1093
2017-04-17,1090.7
2017-04-18,1080
2017-04-19,1089
2017-04-20,1158.5
2017-04-26,1117
2017-04-27,1122
2017-04-28,1105
2017-05-02,1123.95
2017-05-03,1119.6
2017-05-04,1104
2017-05-05,1115.1
2017-05-08,1118.9
2017-05-09,1141.1
2017-05-10,1119
2017-05-11,1098.85
2017-05-12,1088.3
2017-05-15,1115.85
2017-05-16,1109
2017-05-17,1106
2017-05-18,1090
2017-05-19,1072
2017-05-22,1049
2017-05-23,1047.1
2017-05-24,1054
2017-05-25,1071
2017-05-26,1089.25
2017-05-29,1078.05
2017-05-30,1060.5
2017-05-31,1107.6
2017-06-01,1131.9
2017-06-02,1119.6
2017-06-05,1137
2017-06-06,1108
2017-06-07,1135.1
2017-06-08,1144.95
2017-06-09,1147.2
2017-06-12,1137.95
2017-06-13,1145.7
2017-06-14,1154.7
2017-06-15,1185
2017-06-16,1207
2017-06-19,1205
2017-06-20,1233.75
2017-06-21,1250
2017-06-22,1250
2017-06-23,1243
2017-06-30,1162.1
2017-07-03,1188
2017-07-04,1192
2017-07-05,1222
2017-07-06,1228.3
2017-07-07,1250
2017-07-10,1239.5
2017-07-11,1223.8
2017-07-12,1263
2017-07-13,1275.95
2017-07-14,1276
2017-07-17,1281
2017-07-18,1276
2017-07-19,1254.95
2017-07-20,1243.5
2017-07-21,1247.5
2017-07-24,1229.95
2017-07-25,1245.15
2017-07-26,1232.1
