date1,close
2015-02-02,876.7
2015-02-03,860
2015-02-04,859
2015-02-05,861.3
2015-02-06,842.1
2015-02-09,823
2015-02-10,845
2015-02-11,853.2
2015-02-12,872.55
2015-02-13,871.8
2015-02-16,858.55
2015-02-18,866.75
2015-02-19,856
2015-02-20,872.2
2015-02-23,858
2015-02-24,860
2015-02-25,855.7
2015-02-26,840.4
2015-02-27,865.9
2015-02-28,918.15
2015-03-02,942
2015-03-09,894.1
2015-03-10,903.6
2015-03-11,889.95
2015-03-12,889.4
2015-03-13,875
2015-03-16,880.8
2015-03-17,907
2015-03-18,902.5
2015-03-19,879
2015-03-20,886.05
2015-03-23,887.5
2015-03-24,884
2015-03-25,870.3
2015-03-26,860
2015-03-27,885.95
2015-03-30,886.9
2015-03-31,887.1
2015-04-01,928.65
2015-04-06,913.95
2015-04-07,909.55
2015-04-08,901.1
2015-04-09,946
2015-04-10,941.65
2015-04-13,947.15
2015-04-15,948.5
2015-04-16,929.25
2015-04-17,874
2015-04-20,847.95
2015-04-21,840
2015-04-22,850
2015-04-23,855.8
2015-04-24,833.05
2015-04-27,821
2015-04-28,826.1
2015-04-29,830.5
2015-04-30,827.3
2015-05-04,841.3
2015-05-05,835.6
2015-05-06,800.25
2015-05-11,818.9
2015-05-12,801.1
2015-05-13,817
2015-05-14,816
2015-05-15,830.65
2015-05-18,849.5
2015-05-19,843.1
2015-05-20,852
2015-05-21,849.1
2015-05-22,851
2015-05-25,850.3
2015-05-26,856.75
2015-05-27,864.5
2015-05-28,852.5
2015-05-29,873.15
2015-06-01,881.7
2015-06-02,844.85
2015-06-03,850.9
2015-06-04,848
2015-06-05,830.25
2015-06-08,812
2015-06-09,809.8
2015-06-10,819
2015-06-11,796
2015-06-12,810.9
2015-06-15,793.2
2015-06-16,823.75
2015-06-17,819
2015-06-18,829
2015-06-19,833.75
2015-06-22,838.5
2015-06-23,835
2015-06-24,843.95
2015-06-25,868.4
2015-06-26,883
2015-06-29,857.9
2015-06-30,870.2
2015-07-01,875.1
2015-07-02,870.5
2015-07-03,894.1
2015-07-06,897.45
2015-07-07,895.5
2015-07-08,890.85
2015-07-09,896.95
2015-07-10,893.2
2015-07-15,927.15
2015-07-16,933
2015-07-17,936.55
2015-07-20,947.35
2015-07-21,939.95
2015-07-22,957.85
2015-07-23,948.45
2015-07-24,954.05
2015-07-27,942
2015-07-28,949
2015-07-29,950
2015-07-30,974
2015-07-31,975
2015-08-03,970.05
2015-08-04,952.45
2015-08-05,952
2015-08-06,950.55
2015-08-07,945.55
2015-08-10,944.3
2015-08-11,951.1
2015-08-12,908.4
2015-08-13,928.3
2015-08-14,958
2015-08-17,950
2015-08-18,964
2015-08-19,958
2015-08-20,930.25
2015-08-21,907.8
2015-08-24,866.95
2015-08-25,879.4
2015-08-26,856.5
2015-08-27,854.1
2015-08-28,846.2
2015-08-31,862.75
2015-09-01,827.4
2015-09-02,824.05
2015-09-03,854.95
2015-09-04,839.25
2015-09-07,815.5
2015-09-08,841
2015-09-09,855
2015-09-10,870
2015-09-11,865.55
2015-09-18,921
2015-09-21,916
2015-09-22,879.9
2015-09-23,907
2015-09-24,928.15
2015-09-28,917.3
2015-09-29,939.35
2015-09-30,940.9
2015-10-01,956.15
2015-10-05,957
2015-10-06,950.5
2015-10-07,950
2015-10-08,945.15
2015-10-09,938
2015-10-12,945
2015-10-13,947
2015-10-14,949.9
2015-10-15,961
2015-10-16,964.45
2015-10-19,961.15
2015-10-20,957.55
2015-10-21,955
2015-10-23,960.9
2015-10-26,957.9
2015-10-27,957
2015-10-28,923.9
2015-10-29,912
2015-10-30,910
2015-11-02,912.5
2015-11-03,908.5
2015-11-04,909.25
2015-11-05,911
2015-11-06,923
2015-11-09,920
2015-11-10,892
2015-11-13,892.25
2015-11-16,912
2015-11-17,903
2015-11-23,920
2015-11-24,917.55
2015-11-26,915
2015-11-27,924.65
2015-11-30,938.95
2015-12-01,943.45
2015-12-02,943.9
2015-12-03,946.55
2015-12-04,943
2015-12-07,952.9
2015-12-08,943.8
2015-12-09,924.6
2015-12-10,932.15
2015-12-11,916.25
2015-12-14,914
2015-12-15,914.55
2015-12-16,932.6
2015-12-17,947.2
2015-12-18,934.7
2015-12-21,947.95
2015-12-22,933
2015-12-23,940.95
2015-12-24,943.65
2015-12-28,956.35
2015-12-29,959.1
2015-12-30,968.1
2015-12-31,964
2016-01-04,935.1
2016-01-05,936.35
2016-01-06,946
2016-01-07,930.45
2016-01-08,945.1
2016-01-11,936.4
2016-01-12,909
2016-01-13,936.1
2016-01-14,918
2016-01-15,919
2016-01-18,898.9
2016-01-19,895
2016-01-20,869.55
2016-01-21,876
2016-01-27,907
2016-01-28,905.1
2016-01-29,935
2016-02-01,925.7
2016-02-02,905
2016-02-03,904
2016-02-04,913.3
2016-02-05,910.4
2016-02-08,880.05
2016-02-09,870
2016-02-10,832.3
2016-02-11,814.6
2016-02-12,813
2016-02-15,827
2016-02-16,826.9
