date1,close
2015-02-02,369.85
2015-02-03,377
2015-02-04,377
2015-02-05,378
2015-02-06,380
2015-02-09,374.95
2015-02-10,370.35
2015-02-11,361.35
2015-02-12,367.9
2015-02-13,358.1
2015-02-16,367.3
2015-02-18,364.1
2015-02-19,372.95
2015-02-20,361.1
2015-02-23,366
2015-02-24,371
2015-02-25,373
2015-02-26,366.95
2015-02-27,367.85
2015-02-28,368
2015-03-02,359
2015-03-09,363
2015-03-10,370
2015-03-11,378.35
2015-03-12,388.8
2015-03-13,389.25
2015-03-16,383.4
2015-03-17,385.5
2015-03-18,378.5
2015-03-19,384
2015-03-20,375.75
2015-03-23,384.95
2015-03-24,388
2015-03-25,392
2015-03-26,381
2015-03-27,374.2
2015-03-30,384.55
2015-03-31,385
2015-04-01,384.1
2015-04-06,380
2015-04-07,385
2015-04-08,372
2015-04-09,382.5
2015-04-10,373.9
2015-04-13,384.95
2015-04-15,378.8
2015-04-16,380.55
2015-04-17,377.1
2015-04-20,370.95
2015-04-21,368.05
2015-04-22,365.95
2015-04-23,373
2015-04-24,373.2
2015-04-27,397
2015-04-28,404.05
2015-04-29,395
2015-04-30,402
2015-05-04,400
2015-05-05,391
2015-05-06,381
2015-05-11,384
2015-05-12,383.7
2015-05-13,395
2015-05-14,401.7
2015-05-15,410
2015-05-18,419
2015-05-19,441.5
2015-05-20,449.95
2015-05-21,432.1
2015-05-22,436.6
2015-05-25,448.6
2015-05-26,460
2015-05-27,437.2
2015-05-28,442.65
2015-05-29,478
2015-06-01,470
2015-06-02,452.75
2015-06-03,420
2015-06-04,426.9
2015-06-05,449
2015-06-08,447.05
2015-06-09,447
2015-06-10,441.5
2015-06-11,450.95
2015-06-12,439.75
2015-06-15,459
2015-06-16,460.15
2015-06-17,474.9
2015-06-18,457
2015-06-19,473.35
2015-06-22,485
2015-06-23,479
2015-06-24,462.25
2015-06-25,452.75
2015-06-26,434
2015-06-29,454
2015-06-30,448.8
2015-07-01,440.45
2015-07-02,475.55
2015-07-03,464
2015-07-06,449
2015-07-07,436.5
2015-07-08,448
2015-07-09,440.2
2015-07-10,440.6
2015-07-15,447.15
2015-07-16,453.2
2015-07-17,470.1
2015-07-20,464.95
2015-07-21,448
2015-07-22,460
2015-07-23,452.8
2015-07-24,425
2015-07-27,428
2015-07-28,438
2015-07-29,446
2015-07-30,444.95
2015-07-31,447.8
2015-08-03,479.8
2015-08-04,478.55
2015-08-05,460.25
2015-08-06,454.15
2015-08-07,438.05
2015-08-10,443.15
2015-08-11,440
2015-08-12,436
2015-08-13,435
2015-08-14,410.8
2015-08-17,414.5
2015-08-18,416
2015-08-19,402
2015-08-20,402
2015-08-21,401.65
2015-08-24,375.9
2015-08-25,394.9
2015-08-26,385.5
2015-08-27,392
2015-08-28,390
2015-08-31,398.95
2015-09-01,405
2015-09-02,396.5
2015-09-03,408.5
2015-09-04,407.9
2015-09-07,405
2015-09-08,398.75
2015-09-09,407.75
2015-09-10,392.7
2015-09-11,372.75
2015-09-18,390
2015-09-21,399.2
2015-09-22,418
2015-09-23,395.6
2015-09-24,394.5
2015-09-28,375.4
2015-09-29,356
2015-09-30,355.85
2015-10-01,395.5
2015-10-05,411.05
2015-10-06,426.7
2015-10-07,430.3
2015-10-08,409.3
2015-10-09,403.15
2015-10-12,385.5
2015-10-13,401
2015-10-14,409.5
2015-10-15,400
2015-10-16,401.45
2015-10-19,414.5
2015-10-20,406
2015-10-21,408.6
2015-10-23,386.85
2015-10-26,379.65
2015-10-27,387.1
2015-10-28,391.1
2015-10-29,387.1
2015-10-30,389.7
2015-11-02,386
2015-11-03,385.7
2015-11-04,379
2015-11-05,376.1
2015-11-06,380.5
2015-11-09,379.45
2015-11-10,380.7
2015-11-13,375.1
2015-11-16,368.95
2015-11-17,386.25
2015-11-23,380.5
2015-11-24,378.45
2015-11-26,403.8
2015-11-27,400
2015-11-30,387.95
2015-12-01,390.5
2015-12-02,400.25
2015-12-03,392.7
2015-12-04,398.15
2015-12-07,403.5
2015-12-08,403.05
2015-12-09,400
2015-12-10,399.4
2015-12-11,390.6
2015-12-14,389.6
2015-12-15,389.15
2015-12-16,390.1
2015-12-17,391.9
2015-12-18,398.5
2015-12-21,398.2
2015-12-22,402
2015-12-23,418.5
2015-12-24,414.3
2015-12-28,420
2015-12-29,415.3
2015-12-30,427.1
2015-12-31,425.6
2016-01-04,429.8
2016-01-05,420.45
2016-01-06,410.55
2016-01-07,403.8
2016-01-08,396.2
2016-01-11,395.95
2016-01-12,397
2016-01-13,398.05
2016-01-14,395.4
2016-01-15,387.6
2016-01-18,365.9
2016-01-19,372.6
2016-01-20,357.85
2016-01-21,367
2016-01-27,379.8
2016-01-28,371
2016-01-29,362.35
2016-02-01,370
2016-02-02,364.2
2016-02-03,356.6
2016-02-04,356.05
2016-02-05,364.6
2016-02-08,366.8
2016-02-09,358.55
2016-02-10,355.05
2016-02-11,357.95
2016-02-12,383.9
2016-02-15,386.3
2016-02-16,361.2
2016-02-17,353
2016-02-18,365
2016-02-19,372.45
2016-02-22,375
2016-02-23,377.5
2016-02-24,360
2016-02-25,362.7
2016-02-26,367
2016-02-29,354.8
2016-03-01,374.6
2016-03-02,368
2016-03-03,368
2016-03-04,370.9
2016-03-08,379.45
2016-03-09,379.75
2016-03-10,379.8
2016-03-11,377.3
2016-03-14,381.5
2016-03-15,368.5
2016-03-16,368
2016-03-17,370
2016-03-18,379.95
2016-03-21,390
2016-03-22,393.5
2016-03-23,383.65
2016-03-31,392
2016-04-01,386.2
2016-04-04,381.2
2016-04-05,374.55
2016-04-06,372
2016-04-07,372
2016-04-08,368.5
2016-04-11,382.5
2016-04-12,385.5
2016-04-13,384.5
2016-04-18,395.75
2016-04-20,385.45
2016-04-21,371.05
2016-04-22,372.6
2016-04-25,367.85
2016-04-26,362.9
2016-04-27,375.45
2016-04-28,371.9
2016-04-29,374.6
2016-05-02,375.3
2016-05-03,384
2016-05-04,375.5
2016-05-05,369.3
2016-05-06,369.6
2016-05-09,376.15
2016-05-10,378
2016-05-11,371.55
2016-05-12,372.25
2016-05-13,375.8
2016-05-16,387.8
2016-05-17,385
2016-05-18,382.4
2016-05-19,387
2016-05-20,378.75
2016-05-23,384.9
2016-05-24,386.4
2016-05-25,394.3
2016-05-26,387.95
2016-05-27,385.9
2016-05-30,385.55
2016-06-06,376
2016-06-07,373.25
2016-06-08,376.5
2016-06-09,374.55
2016-06-10,376
2016-06-13,378
2016-06-14,379
2016-06-15,365.2
2016-06-16,349.55
2016-06-17,337.7
2016-06-20,341.9
2016-06-21,346.5
2016-06-22,337.1
2016-06-23,322
2016-06-24,322
2016-06-27,327.45
2016-06-28,338.55
2016-06-29,344
2016-06-30,346.2
2016-07-01,351.2
2016-07-04,355.7
2016-07-05,358.55
2016-07-07,352.1
2016-07-08,346.75
2016-07-11,352.05
2016-07-12,349.9
2016-07-13,353
2016-07-14,352.6
2016-07-15,353.7
2016-07-18,356.55
2016-07-19,357.3
2016-07-20,355
2016-07-21,352.5
2016-07-22,360.9
2016-07-25,366
2016-07-26,361.05
2016-07-27,381.3
2016-07-28,400.15
2016-07-29,396
2016-08-01,396.4
2016-08-02,388
2016-08-03,396
2016-08-08,381.2
2016-08-09,384.5
2016-08-10,377.35
2016-08-11,368.8
2016-08-12,368.05
2016-08-16,350.75
2016-08-17,348.45
2016-08-18,347.55
2016-08-19,341.9
2016-08-22,339
2016-08-23,345.3
2016-08-24,347
2016-08-25,340.15
2016-08-26,345.5
2016-08-29,338.7
2016-08-30,344.05
2016-08-31,350.55
2016-09-01,344
2016-09-02,343.7
2016-09-06,346.4
2016-09-07,349.35
2016-09-08,355.7
2016-09-09,351.8
2016-09-12,343.75
2016-09-14,343.95
2016-09-15,344.95
2016-09-16,349.85
2016-09-19,349.85
2016-09-20,355.95
2016-09-21,372.5
2016-09-22,375.1
2016-09-23,370.75
2016-09-26,365.9
2016-09-27,361
2016-09-28,362.1
2016-09-29,375.4
2016-09-30,367.7
2016-10-03,363.5
2016-10-04,369.5
2016-10-05,374.4
2016-10-06,379.55
2016-10-07,369.55
2016-10-13,373.15
2016-10-14,364.5
2016-10-17,358.5
2016-10-18,354.05
2016-10-19,358.05
2016-10-20,367
2016-10-21,363.3
2016-10-24,371.5
2016-10-25,378.85
2016-10-26,368.05
2016-10-27,354.4
2016-10-28,345.8
2016-11-01,355.55
2016-11-02,365.05
2016-11-03,380
2016-11-04,363.5
2016-11-07,356.1
2016-11-08,360.3
2016-11-09,365.45
2016-11-10,386.35
2016-11-11,362.5
2016-11-15,363
2016-11-16,360.05
2016-11-17,358.05
2016-11-18,352
2016-11-21,358.8
2016-11-22,359.05
2016-11-23,360.1
2016-11-24,360.15
2016-11-25,356
2016-11-28,363.45
2016-11-29,370.1
2016-11-30,375
2016-12-01,384
2016-12-02,385.15
2016-12-05,385.05
2016-12-06,377.5
2016-12-07,378.45
2016-12-08,370
2016-12-09,359.4
2016-12-16,355.1
2016-12-19,344.95
2016-12-20,346
2016-12-21,336.25
2016-12-22,337.55
2016-12-23,336.7
2016-12-26,327.35
2016-12-27,331
2016-12-28,339.9
2016-12-29,343
2016-12-30,344.5
2017-01-02,344
