date1,close
2015-02-02,154.15
2015-02-03,151.75
2015-02-04,153.9
2015-02-05,145.5
2015-02-06,141.5
2015-02-09,141
2015-02-10,142.4
2015-02-11,152
2015-02-12,146.65
2015-02-13,151.55
2015-02-16,152.35
2015-02-18,154.6
2015-02-19,199.8
2015-02-20,194.1
2015-02-23,188.15
2015-02-24,181
2015-02-25,183
2015-02-26,184.9
2015-02-27,193
2015-02-28,196.5
2015-03-02,187.7
2015-03-09,193.8
2015-03-10,189.65
2015-03-11,191
2015-03-12,193.5
2015-03-13,186.7
2015-03-16,192
2015-03-17,174.6
2015-03-18,174.8
2015-03-19,174
2015-03-20,165.2
2015-03-23,154.4
2015-03-24,156.55
2015-03-25,153
2015-03-26,151.2
2015-03-27,156.95
2015-03-30,156.6
2015-03-31,155.9
2015-04-01,155.3
2015-04-06,154.2
2015-04-07,164.8
2015-04-08,163.2
2015-04-09,160.8
2015-04-10,157
2015-04-13,158
2015-04-15,158.05
2015-04-16,157.5
2015-04-17,159.1
2015-04-20,154.65
2015-04-21,153.15
2015-04-22,152.25
2015-04-23,152.85
2015-04-24,149.25
2015-04-27,146.35
2015-04-28,142.65
2015-04-29,145.95
2015-04-30,139.65
2015-05-04,142.7
2015-05-05,145.75
2015-05-06,135.05
2015-05-11,135.5
2015-05-12,130.1
2015-05-13,134.6
2015-05-14,138.9
2015-05-15,136
2015-05-18,136.8
2015-05-19,138.3
2015-05-20,137.3
2015-05-21,135.7
2015-05-22,138.05
2015-05-25,135.2
2015-05-26,134.05
2015-05-27,128.5
2015-05-28,118.15
2015-05-29,118.8
2015-06-01,117
2015-06-02,113.55
2015-06-03,107.1
2015-06-04,105.7
2015-06-05,106.25
2015-06-08,103.8
2015-06-09,101.25
2015-06-10,103.5
2015-06-11,95.45
2015-06-12,95
2015-06-15,96.4
2015-06-16,95.5
2015-06-17,95.75
2015-06-18,93.6
2015-06-19,91.55
2015-06-22,91.3
2015-06-23,93.7
2015-06-24,90
2015-06-25,90.7
2015-06-26,90.2
2015-06-29,86.1
2015-06-30,85.55
2015-07-01,87.75
2015-07-02,89.15
2015-07-03,84.4
2015-07-06,83.6
2015-07-07,82.05
2015-07-08,80.4
2015-07-09,81.85
2015-07-10,85.15
2015-07-15,81
2015-07-16,80.3
2015-07-17,80.9
2015-07-20,78.6
2015-07-21,77.45
2015-07-22,77.3
2015-07-23,78.9
2015-07-24,75.85
2015-07-27,75.4
2015-07-28,75
2015-07-29,75.25
2015-07-30,78
2015-07-31,78.3
2015-08-03,75.85
2015-08-04,78.1
2015-08-05,78.55
2015-08-06,78.35
2015-08-07,78.8
2015-08-10,82
2015-08-11,81.15
2015-08-12,76.65
2015-08-13,68
2015-08-14,71.9
2015-08-17,70.95
2015-08-18,71.1
2015-08-19,73.8
2015-08-20,67.75
2015-08-21,71.3
2015-08-24,67.85
2015-08-25,68.55
2015-08-26,67.65
2015-08-27,70.75
2015-08-28,67.45
2015-08-31,69
2015-09-01,65.25
2015-09-02,64.15
2015-09-03,65.25
2015-09-04,62.05
2015-09-07,59.4
2015-09-08,60.4
2015-09-09,62.4
2015-09-10,60.85
2015-09-11,61.5
2015-09-18,63.6
2015-09-21,64.8
2015-09-22,61.55
2015-09-23,60.55
2015-09-24,59.75
2015-09-28,58.25
2015-09-29,59
2015-09-30,60.6
2015-10-01,60.2
2015-10-05,70.2
2015-10-06,73.8
2015-10-07,69.8
2015-10-08,70.3
2015-10-09,69.15
2015-10-12,72.8
2015-10-13,74.15
2015-10-14,74.15
2015-10-15,75.45
2015-10-16,75.1
2015-10-19,74.8
2015-10-20,75.3
2015-10-21,75.9
2015-10-23,76.5
2015-10-26,74.85
2015-10-27,75.65
2015-10-28,77.2
2015-10-29,77.35
2015-10-30,79.5
2015-11-02,78.45
2015-11-03,75.85
2015-11-04,75.9
2015-11-05,73.8
2015-11-06,71.8
2015-11-09,72.25
2015-11-10,71.9
2015-11-13,78.5
2015-11-16,81.8
2015-11-17,82.15
2015-11-23,83.35
2015-11-24,86.4
2015-11-26,90
2015-11-27,90.25
2015-11-30,90.85
2015-12-01,95
2015-12-02,95.1
2015-12-03,91.8
2015-12-04,93.55
2015-12-07,93.5
2015-12-08,89.3
2015-12-09,85.2
2015-12-10,88.2
2015-12-11,86.7
2015-12-14,91.4
2015-12-15,90.6
2015-12-16,89.95
2015-12-17,92
2015-12-18,91.25
2015-12-21,91.6
2015-12-22,90.7
2015-12-23,92.35
2015-12-24,92.4
2015-12-28,90.8
2015-12-29,90.7
2015-12-30,94.4
2015-12-31,96.55
2016-01-04,92.7
2016-01-05,95.65
2016-01-06,93.1
2016-01-07,83.5
2016-01-08,84.5
2016-01-11,83.75
2016-01-12,80
2016-01-13,77.75
2016-01-14,71.55
2016-01-15,62.7
2016-01-18,59.4
2016-01-19,63.6
2016-01-20,61.6
2016-01-21,63.15
2016-01-27,65.8
2016-01-28,64.2
2016-01-29,64
2016-02-01,63.75
2016-02-02,60.15
2016-02-03,55.65
2016-02-04,57.8
2016-02-05,63.75
2016-02-08,61.2
2016-02-09,60.85
2016-02-10,59.75
2016-02-11,55.75
2016-02-12,55.4
2016-02-15,62.6
2016-02-16,59.5
2016-02-17,56.85
2016-02-18,57.05
2016-02-19,57.2
2016-02-22,57.05
2016-02-23,56.3
2016-02-24,58.1
2016-02-25,54.25
2016-02-26,53.4
2016-02-29,53.15
2016-03-01,56
2016-03-02,57.2
2016-03-03,63.1
2016-03-04,63.25
2016-03-08,66.1
2016-03-09,64.7
2016-03-10,65.75
2016-03-11,62.7
2016-03-14,59.6
2016-03-15,60.65
2016-03-16,58.7
2016-03-17,58.45
2016-03-18,60.65
2016-03-21,60.05
2016-03-22,61.5
2016-03-23,62
2016-03-31,60.5
2016-04-01,63.3
2016-04-04,63.3
2016-04-05,60.15
2016-04-06,62
2016-04-07,60.1
2016-04-08,66.4
2016-04-11,65.85
2016-04-12,65.3
2016-04-13,68.15
2016-04-18,69.15
2016-04-20,74.4
2016-04-21,72.85
2016-04-22,72.7
2016-04-25,72.8
2016-04-26,73.8
2016-04-27,76.4
2016-04-28,74.75
2016-04-29,69.35
2016-05-02,70.8
2016-05-03,69.1
2016-05-04,66.5
2016-05-05,65.9
2016-05-06,64.15
2016-05-09,65.15
2016-05-10,64.5
2016-05-11,63.5
2016-05-12,64.15
2016-05-13,62.45
2016-05-16,61.2
2016-05-17,60.25
2016-05-18,61.5
2016-05-19,60.6
2016-05-20,59.9
2016-05-23,59.2
2016-05-24,58.2
2016-05-25,59.7
2016-05-26,60.95
2016-05-27,61.5
2016-05-30,62.05
2016-06-06,61.9
2016-06-07,62.2
2016-06-08,64.35
2016-06-09,64.3
2016-06-10,64.4
2016-06-13,62.05
2016-06-14,65.1
2016-06-15,64.75
2016-06-16,65.4
2016-06-17,66.05
2016-06-20,67.4
2016-06-21,66.4
2016-06-22,65.35
2016-06-23,65.25
2016-06-24,62.2
2016-06-27,63.75
2016-06-28,66.35
2016-06-29,66.6
2016-06-30,68.05
2016-07-01,70.45
2016-07-04,72.25
2016-07-05,72.8
2016-07-07,71.2
2016-07-08,69.5
2016-07-11,68.9
2016-07-12,74.45
2016-07-13,73.15
2016-07-14,74.2
2016-07-15,72.2
2016-07-18,68.95
2016-07-19,68.9
2016-07-20,69.7
2016-07-21,67.9
2016-07-22,69.4
2016-07-25,70.3
2016-07-26,79.95
2016-07-27,87.65
2016-07-28,84.95
2016-07-29,83.6
2016-08-01,88.35
2016-08-02,84
2016-08-03,80.05
2016-08-08,84.45
2016-08-09,82.35
2016-08-10,80.05
2016-08-11,80.5
2016-08-12,81.05
2016-08-16,80.45
2016-08-17,82.25
2016-08-18,85.4
2016-08-19,87.75
2016-08-22,85.7
2016-08-23,87.3
2016-08-24,87.65
2016-08-25,87.2
2016-08-26,85.4
2016-08-29,85.45
2016-08-30,87.75
2016-08-31,85.35
2016-09-01,84.5
2016-09-02,81.4
2016-09-06,82.55
2016-09-07,85.2
2016-09-08,86.2
2016-09-09,84.25
2016-09-12,81
2016-09-14,81.75
2016-09-15,83.3
2016-09-16,81.35
2016-09-19,81.6
2016-09-20,81.6
2016-09-21,80.95
2016-09-22,82.15
2016-09-23,82.35
2016-09-26,81.6
2016-09-27,80.2
2016-09-28,81.6
2016-09-29,74.6
2016-09-30,76.35
2016-10-03,78.55
2016-10-04,83.2
2016-10-05,83.45
2016-10-06,79.15
2016-10-07,80.45
2016-10-13,77.4
2016-10-14,76.6
2016-10-17,76
2016-10-18,76.7
2016-10-19,76
2016-10-20,76.95
2016-10-21,76.15
2016-10-24,76.95
2016-10-25,76.5
2016-10-26,77.2
2016-10-27,76.3
2016-10-28,75.25
2016-11-01,77.55
2016-11-02,74.55
2016-11-03,72.4
2016-11-04,68.55
2016-11-07,70.65
2016-11-08,72
2016-11-09,70.1
2016-11-10,77
2016-11-11,75.15
2016-11-15,69.95
2016-11-16,67.75
2016-11-17,68.2
2016-11-18,67.75
2016-11-21,64.7
2016-11-22,67.1
2016-11-23,66.9
2016-11-24,64.85
2016-11-25,66.35
2016-11-28,70.8
2016-11-29,70.7
2016-11-30,70.45
2016-12-01,68.45
2016-12-02,67.55
2016-12-05,69.15
2016-12-06,70.75
2016-12-07,72.1
2016-12-08,73.45
2016-12-09,74.7
2016-12-16,72.85
2016-12-19,73.25
2016-12-20,71.7
2016-12-21,71.85
2016-12-22,68.25
2016-12-23,67.95
2016-12-26,65.2
2016-12-27,66.5
2016-12-28,67.85
2016-12-29,69.4
2016-12-30,68.85
2017-01-02,70.25
2017-01-03,70.35
2017-01-04,71.2
2017-01-05,75.15
2017-01-06,73.55
2017-01-09,74.35
2017-01-10,74.7
2017-01-11,81.8
2017-01-12,80.65
2017-01-13,78.5
2017-01-16,78.4
2017-01-17,77.45
2017-01-18,80.4
2017-01-19,79.65
2017-01-20,77.15
2017-01-23,79.35
2017-01-24,80.95
2017-01-25,82.2
2017-01-27,79.2
2017-01-30,81.75
2017-01-31,80.05
2017-02-01,83.6
2017-02-02,85.8
2017-02-03,92.25
2017-02-06,90.2
2017-02-07,89.9
2017-02-08,91.75
2017-02-09,91.55
2017-02-10,91
2017-02-13,88.1
2017-02-14,87.45
2017-02-20,100.2
2017-02-21,109.6
2017-02-22,110.6
2017-02-23,116.1
2017-02-27,124.8
2017-02-28,125.3
2017-03-01,126.8
2017-03-02,125.4
2017-03-03,127.85
2017-03-06,125.15
2017-03-07,124.6
2017-03-08,121.55
2017-03-09,117.55
2017-03-10,125.1
2017-03-14,124.25
2017-03-15,122.65
2017-03-16,128.7
2017-03-17,129.9
2017-03-20,128.7
2017-03-21,128
2017-03-22,124.45
2017-03-23,125.5
2017-03-24,119.5
2017-03-27,116.85
2017-03-28,120.45
2017-03-29,118.3
2017-03-30,119.7
2017-03-31,121.05
2017-04-03,123.4
2017-04-05,124.7
2017-04-06,133.45
2017-04-07,128.5
2017-04-10,128.1
2017-04-11,127.25
2017-04-12,126.6
2017-04-13,122.4
2017-04-17,121.4
2017-04-18,118.9
2017-04-19,111.8
2017-04-20,111.55
2017-04-25,112.85
2017-04-26,112.45
2017-04-27,114.2
2017-04-28,113.9
2017-05-02,113.5
2017-05-03,112.45
2017-05-04,112.8
2017-05-05,107.4
2017-05-08,111.25
2017-05-09,113.8
2017-05-10,114.35
2017-05-11,114.35
2017-05-12,111.8
2017-05-15,114.7
2017-05-16,113.75
2017-05-17,116.35
2017-05-18,112.95
2017-05-19,112.7
2017-05-22,114.45
2017-05-23,108.1
2017-05-24,110.85
2017-05-25,118.15
2017-05-26,124.9
2017-05-29,120.75
2017-05-30,123.25
2017-05-31,121.4
2017-06-01,120.85
2017-06-02,121.95
2017-06-05,121.4
2017-06-06,117.65
2017-06-07,119.35
2017-06-08,121.85
2017-06-09,122.9
2017-06-12,121.95
2017-06-13,122.95
2017-06-14,122.9
2017-06-15,125.85
2017-06-16,123.95
2017-06-19,127.2
2017-06-20,126.45
2017-06-21,124.65
2017-06-22,121.8
2017-06-23,118.75
2017-06-29,123.2
2017-06-30,123.1
2017-07-03,128.7
2017-07-04,125.95
2017-07-05,131.25
2017-07-06,130.9
2017-07-07,131.85
2017-07-10,134.2
2017-07-11,138.9
2017-07-12,139.8
2017-07-13,138.1
2017-07-14,137.2
2017-07-17,141.4
2017-07-18,139.9
2017-07-19,143
2017-07-20,140.8
2017-07-21,136.75
2017-07-24,138.65
2017-07-25,140.8
2017-07-26,151.15
