date1,close
2015-02-02,1547
2015-02-03,1545
2015-02-04,1578.7
2015-02-05,1573.9
2015-02-06,1569.25
2015-02-09,1549.95
2015-02-10,1564.05
2015-02-11,1589.15
2015-02-12,1630.8
2015-02-13,1677
2015-02-16,1664
2015-02-18,1681.1
2015-02-19,1681.55
2015-02-20,1689
2015-02-23,1653.8
2015-02-24,1656
2015-02-25,1669
2015-02-26,1715
2015-02-27,1735
2015-02-28,1749
2015-03-02,1795
2015-03-09,1869.95
2015-03-10,1899.8
2015-03-11,1867
2015-03-12,1875.25
2015-03-13,1879
2015-03-16,1863.9
2015-03-17,1875
2015-03-18,1875
2015-03-19,1926.75
2015-03-20,1912
2015-03-23,1926.3
2015-03-24,2024
2015-03-25,2003
2015-03-26,1976.1
2015-03-27,1957
2015-03-30,2000
2015-03-31,2000.05
2015-04-01,2033.05
2015-04-06,2090.2
2015-04-07,2097
2015-04-08,2080.8
2015-04-09,2014.1
2015-04-10,1974
2015-04-13,1983.8
2015-04-15,1937.55
2015-04-16,1903.45
2015-04-17,1776
2015-04-20,1790
2015-04-21,1762
2015-04-22,1745.25
2015-04-23,1725
2015-04-24,1762.05
2015-04-27,1716
2015-04-28,1723
2015-04-29,1745.2
2015-04-30,1776
2015-05-04,1818
2015-05-05,1810.85
2015-05-06,1752.4
2015-05-11,1775
2015-05-12,1740.3
2015-05-13,1685.5
2015-05-14,1636
2015-05-15,1694.5
2015-05-18,1739
2015-05-19,1725
2015-05-20,1721
2015-05-21,1710.3
2015-05-22,1732.85
2015-05-25,1755.2
2015-05-26,1760
2015-05-27,1743
2015-05-28,1744
2015-05-29,1770
2015-06-01,1787
2015-06-02,1804.5
2015-06-03,1796
2015-06-04,1748
2015-06-05,1783
2015-06-08,1775.35
2015-06-09,1767
2015-06-10,1754
2015-06-11,1712.5
2015-06-12,1720.2
2015-06-15,1715
2015-06-16,1692
2015-06-17,1734
2015-06-18,1810
2015-06-19,1813
2015-06-22,1804
2015-06-23,1769
2015-06-24,1805.6
2015-06-25,1838.1
2015-06-26,1834
2015-06-29,1828
2015-06-30,1878.7
2015-07-01,1877
2015-07-02,1868
2015-07-03,1902.95
2015-07-06,1922
2015-07-07,1906.5
2015-07-08,1873
2015-07-09,1890
2015-07-10,1873
2015-07-15,1945
2015-07-16,1957.8
2015-07-17,1973
2015-07-20,1978
2015-07-21,1878.3
2015-07-22,1820.95
2015-07-23,1728
2015-07-24,1679.95
2015-07-27,1616.55
2015-07-28,1605.5
2015-07-29,1641
2015-07-30,1629.8
2015-07-31,1698.05
2015-08-03,1664.9
2015-08-04,1643.55
2015-08-05,1681
2015-08-06,1705
2015-08-07,1693.15
2015-08-10,1686.85
2015-08-11,1701
2015-08-12,1729
2015-08-13,1765
2015-08-14,1794.35
2015-08-17,1799.55
2015-08-18,1751
2015-08-19,1804
2015-08-20,1895
2015-08-21,1871.65
2015-08-24,1810
2015-08-25,1837.1
2015-08-26,1810
2015-08-27,1890
