date1,close
2015-02-02,3668
2015-02-03,3603
2015-02-04,3558.95
2015-02-05,3510.6
2015-02-06,3508.75
2015-02-09,3404.95
2015-02-10,3410
2015-02-11,3461
2015-02-12,3553
2015-02-13,3620
2015-02-16,3564.1
2015-02-18,3559
2015-02-19,3599
2015-02-20,3544.85
2015-02-23,3553
2015-02-24,3594.75
2015-02-25,3579.5
2015-02-26,3498.9
2015-02-27,3600
2015-02-28,3621.45
2015-03-02,3730
2015-03-09,3675
2015-03-10,3653.9
2015-03-11,3652.05
2015-03-12,3682.3
2015-03-13,3650
2015-03-16,3645.4
2015-03-17,3656
2015-03-18,3660.65
2015-03-19,3654
2015-03-20,3620
2015-03-23,3589.2
2015-03-24,3596.05
2015-03-25,3608.6
2015-03-26,3555.3
2015-03-27,3609.15
2015-03-30,3662
2015-03-31,3695.35
2015-04-01,3644
2015-04-06,3628.1
2015-04-07,3614.1
2015-04-08,3625
2015-04-09,3656
2015-04-10,3655.35
2015-04-13,3680
2015-04-15,3671.75
2015-04-16,3664.15
2015-04-17,3637
2015-04-20,3605.05
2015-04-21,3500
2015-04-22,3490
2015-04-23,3496.65
2015-04-24,3556
2015-04-27,3650.3
2015-04-28,3830
2015-04-29,3754
2015-04-30,3735.4
2015-05-04,3765
2015-05-05,3790.05
2015-05-06,3630
2015-05-11,3640.25
2015-05-12,3582
2015-05-13,3605
2015-05-14,3650
2015-05-15,3658
2015-05-18,3700
2015-05-19,3703
2015-05-20,3707
2015-05-21,3693.25
2015-05-22,3702
2015-05-25,3698.5
2015-05-26,3725.05
2015-05-27,3721
2015-05-28,3715
2015-05-29,3781.15
2015-06-01,3876
2015-06-02,3817
2015-06-03,3797.4
2015-06-04,3772.8
2015-06-05,3757.05
2015-06-08,3718
2015-06-09,3700
2015-06-10,3745.05
2015-06-11,3710.9
2015-06-12,3754
2015-06-15,3765.15
2015-06-16,3810
2015-06-17,3797.3
2015-06-18,3877
2015-06-19,3948
2015-06-22,3980
2015-06-23,4012.95
2015-06-24,3991.6
2015-06-25,4040.2
2015-06-26,4063
2015-06-29,3997
2015-06-30,4017.2
2015-07-01,4029
2015-07-02,3988.65
2015-07-03,4005
2015-07-06,3988
2015-07-07,3973
2015-07-08,3948
2015-07-09,3931
2015-07-10,3945
2015-07-15,4151
2015-07-16,4175.75
2015-07-17,4185
2015-07-20,4173
2015-07-21,4157.35
2015-07-22,4183.9
2015-07-23,4225.5
2015-07-24,4233.45
2015-07-27,4185
2015-07-28,4200
2015-07-29,4274
2015-07-30,4288.85
2015-07-31,4328
2015-08-03,4434
2015-08-04,4444
2015-08-05,4471
2015-08-06,4454
2015-08-07,4457
2015-08-10,4500
2015-08-11,4507.95
2015-08-12,4444
2015-08-13,4517.8
2015-08-14,4588.35
2015-08-17,4547.65
2015-08-18,4647.9
2015-08-19,4652.4
2015-08-20,4655
2015-08-21,4566
2015-08-24,4232
2015-08-25,4202.85
2015-08-26,4206
2015-08-27,4199.9
2015-08-28,4210
2015-08-31,4174.9
2015-09-01,4053.2
2015-09-02,4031.1
2015-09-03,4146
2015-09-04,4057
2015-09-07,4062.15
2015-09-08,4152.95
2015-09-09,4295.2
2015-09-10,4310
2015-09-11,4316.45
2015-09-18,4406.15
2015-09-21,4508
2015-09-22,4443
2015-09-23,4504.15
2015-09-24,4575
2015-09-28,4540
2015-09-29,4683.45
2015-09-30,4670
2015-10-01,4580
2015-10-05,4422.5
2015-10-06,4364.95
2015-10-07,4369.45
2015-10-08,4360
2015-10-09,4269
2015-10-12,4229.9
2015-10-13,4267
2015-10-14,4244
2015-10-15,4381.05
2015-10-16,4445.1
2015-10-19,4457
2015-10-20,4505
2015-10-21,4460
2015-10-23,4384
2015-10-26,4393.9
2015-10-27,4517.05
2015-10-28,4488.2
2015-10-29,4446.05
2015-10-30,4461
2015-11-02,4484.05
2015-11-03,4467
2015-11-04,4521.35
2015-11-05,4518
2015-11-06,4533.95
2015-11-09,4627
2015-11-10,4715.15
2015-11-13,4620
2015-11-16,4660
2015-11-17,4634.95
2015-11-23,4737.9
2015-11-24,4634
2015-11-26,4617.3
2015-11-27,4580
2015-11-30,4555
2015-12-01,4545
2015-12-02,4619
2015-12-03,4630.2
2015-12-04,4603
2015-12-07,4559.95
2015-12-08,4544
2015-12-09,4473
2015-12-10,4517.45
2015-12-11,4497
2015-12-14,4590
2015-12-15,4630
2015-12-16,4612.65
2015-12-17,4671
2015-12-18,4617
2015-12-21,4635
2015-12-22,4620.9
2015-12-23,4633
2015-12-24,4600
2015-12-28,4635.55
2015-12-29,4635.8
2015-12-30,4586.4
2015-12-31,4620
2016-01-04,4576.1
2016-01-05,4570.8
2016-01-06,4481.25
2016-01-07,4292.4
2016-01-08,4223.8
2016-01-11,4292
2016-01-12,4269
2016-01-13,4285
2016-01-14,4255.9
2016-01-15,4263.45
2016-01-18,4215
2016-01-19,4194
2016-01-20,4055
2016-01-21,3899.55
2016-01-27,4128.65
2016-01-28,4109
2016-01-29,4111.95
2016-02-01,3950
2016-02-02,3870
2016-02-03,3835
2016-02-04,3793.05
2016-02-05,3735
2016-02-08,3729.95
2016-02-09,3659.9
2016-02-10,3692.45
2016-02-11,3550
2016-02-12,3544.5
2016-02-15,3711
2016-02-16,3693.05
2016-02-17,3751
2016-02-18,3646
2016-02-19,3560
2016-02-22,3524.3
2016-02-23,3488
2016-02-24,3492
2016-02-25,3430
2016-02-26,3420.5
2016-02-29,3263
2016-03-01,3496
2016-03-02,3615
2016-03-03,3611.3
2016-03-04,3573
2016-03-08,3457
