date1,close
2015-02-02,619.68
2015-02-03,599.58
2015-02-04,605
2015-02-05,588.25
2015-02-06,573.83
2015-02-09,557.93
2015-02-10,573
2015-02-11,565.5
2015-02-12,567.5
2015-02-13,597.1
2015-02-16,604.65
2015-02-18,613.43
2015-02-19,629
2015-02-20,624.5
2015-02-23,632.5
2015-02-24,629.98
2015-02-25,633.4
2015-02-26,626.5
2015-02-27,637.43
2015-02-28,651.5
2015-03-02,640
2015-03-09,606
2015-03-10,615.08
2015-03-11,628.03
2015-03-12,620.5
2015-03-13,612.6
2015-03-16,611.13
2015-03-17,616.78
2015-03-18,605
2015-03-19,601.7
2015-03-20,586.08
2015-03-23,591.03
2015-03-24,596.55
2015-03-25,604
2015-03-26,597.25
2015-03-27,595.5
2015-03-30,600.48
2015-03-31,592.45
2015-04-01,600.45
2015-04-06,617.55
2015-04-07,640
2015-04-08,636.45
2015-04-09,637.5
2015-04-10,640.85
2015-04-13,623
2015-04-15,605
2015-04-16,612.5
2015-04-17,611.5
2015-04-20,593
2015-04-21,597.5
2015-04-22,604.08
2015-04-23,600.03
2015-04-24,585.75
2015-04-27,584.5
2015-04-28,589.03
2015-04-29,586.5
2015-04-30,576.5
2015-05-04,603
2015-05-05,588.33
2015-05-06,585.85
2015-05-12,588.03
2015-05-13,603.05
2015-05-14,612.5
2015-05-15,621.5
2015-05-18,633.93
2015-05-19,623.5
2015-05-20,624.5
2015-05-21,622
2015-05-22,628.75
2015-05-25,629.25
2015-05-26,630.03
2015-05-27,609.75
2015-05-28,600
2015-05-29,626.9
2015-06-01,629.65
2015-06-02,611.8
2015-06-03,601.53
2015-06-04,598.38
2015-06-05,600.35
2015-06-08,603.3
2015-06-09,598.75
2015-06-10,609.85
2015-06-11,597
2015-06-12,598.5
2015-06-15,612.45
2015-06-16,617.5
2015-06-17,628.5
2015-06-18,632.5
2015-06-19,651.03
2015-06-22,654.5
2015-06-23,668.43
2015-06-24,648
2015-06-25,654
2015-06-26,652.98
2015-06-29,644.2
2015-06-30,643.23
2015-07-01,645.7
2015-07-02,657.5
2015-07-03,655.25
2015-07-06,660
2015-07-07,659
2015-07-08,639.48
2015-07-09,631
2015-07-10,624.98
2015-07-16,638.4
2015-07-17,650.03
2015-07-20,658.5
2015-07-21,652
2015-07-22,671
2015-07-23,680
2015-07-24,668
2015-07-27,661
2015-07-28,657.3
2015-07-29,657.85
2015-07-30,661.5
2015-07-31,679.38
2015-08-03,671.25
2015-08-04,681.78
2015-08-05,693.45
2015-08-06,697.35
2015-08-07,693
2015-08-10,677
2015-08-11,667.75
2015-08-12,650
2015-08-13,673
2015-08-14,687.5
2015-08-17,676.05
2015-08-18,683.5
2015-08-19,684.6
2015-08-20,668.63
