date1,close
2015-02-02,809
2015-02-03,793.4
2015-02-04,798
2015-02-05,803
2015-02-06,804
2015-02-09,810
2015-02-10,814.8
2015-02-11,804
2015-02-12,812.4
2015-02-13,815
2015-02-16,820
2015-02-18,828
2015-02-19,816
2015-02-20,822.75
2015-02-23,810
2015-02-24,808.15
2015-02-25,802
2015-02-26,803.25
2015-02-27,815
2015-02-28,823
2015-03-02,807.95
2015-03-09,907
2015-03-10,865
2015-03-11,843.2
2015-03-12,825
2015-03-13,848
2015-03-16,838.6
2015-03-17,833
2015-03-18,834.4
2015-03-19,819
2015-03-20,842.9
2015-03-23,825.95
2015-03-24,865
2015-03-25,835.25
2015-03-26,814.25
2015-03-27,809.65
2015-03-30,818.8
2015-03-31,838.4
2015-04-01,838.5
2015-04-06,836.8
2015-04-07,839
2015-04-08,826
2015-04-09,810
2015-04-10,800.5
2015-04-13,842
2015-04-15,863.25
2015-04-16,883.2
2015-04-17,847.2
2015-04-20,828
2015-04-21,845
2015-04-22,853.5
2015-04-23,831
2015-04-24,820.15
2015-04-27,805
2015-04-28,781.95
2015-04-29,780
2015-04-30,773
2015-05-04,772
2015-05-05,773
2015-05-06,736.15
2015-05-11,726.15
2015-05-12,728.1
2015-05-13,710
2015-05-14,716.5
2015-05-15,720
2015-05-18,714.7
2015-05-19,743
2015-05-20,762
2015-05-21,815
2015-05-22,837
2015-05-25,794
2015-05-26,795
2015-05-27,781
2015-05-28,776
2015-05-29,817
2015-06-01,808.4
2015-06-02,787.45
2015-06-03,790
2015-06-04,790
2015-06-05,783
2015-06-08,783
2015-06-09,785.35
2015-06-10,802.5
2015-06-11,814
2015-06-12,820
2015-06-15,815.5
2015-06-16,811
2015-06-17,817
2015-06-18,848.6
2015-06-19,838.1
2015-06-22,864.5
2015-06-23,845.25
2015-06-24,864.9
2015-06-25,887
2015-06-26,872.05
2015-06-29,851
2015-06-30,853.5
2015-07-01,866.55
2015-07-02,874.9
2015-07-03,846.2
2015-07-06,851
2015-07-07,887
2015-07-08,858
2015-07-09,846
2015-07-10,842.95
2015-07-15,868
2015-07-16,872
2015-07-17,880
2015-07-20,870
2015-07-21,870
2015-07-22,887
2015-07-23,895.4
2015-07-24,900
2015-07-27,856.95
2015-07-28,827.85
2015-07-29,815.5
2015-07-30,815.9
2015-07-31,834
2015-08-03,840
2015-08-04,840
2015-08-05,864.5
2015-08-06,871
2015-08-07,846.1
2015-08-10,837
2015-08-11,837
2015-08-12,834
2015-08-13,830.5
2015-08-14,834.9
2015-08-17,845
2015-08-18,851.5
2015-08-19,838
2015-08-20,816
2015-08-21,810.5
2015-08-24,773.2
2015-08-25,742.7
2015-08-26,723.9
2015-08-27,751
2015-08-28,764
2015-08-31,749.95
2015-09-01,750.6
2015-09-02,738.55
2015-09-03,750
2015-09-04,749
2015-09-07,732.8
2015-09-08,765
2015-09-09,804
2015-09-10,780
2015-09-11,765.1
2015-09-18,784
2015-09-21,780
2015-09-22,787
2015-09-23,793
2015-09-24,796
2015-09-28,796
2015-09-29,800
2015-09-30,800
2015-10-01,800
2015-10-05,798.85
2015-10-06,795.05
2015-10-07,792
2015-10-08,788.8
2015-10-09,795
2015-10-12,787.35
2015-10-13,788
2015-10-14,800
2015-10-15,794
2015-10-16,791
2015-10-19,790
2015-10-20,792
2015-10-21,787
2015-10-23,789.85
2015-10-26,761
2015-10-27,761.2
2015-10-28,761.2
2015-10-29,740
2015-10-30,755
2015-11-02,758.95
2015-11-03,738
2015-11-04,740
2015-11-05,721.5
2015-11-06,713.5
2015-11-09,729.95
2015-11-10,733
2015-11-13,747
2015-11-16,746.85
2015-11-17,764.8
2015-11-23,828
2015-11-24,826.05
2015-11-26,815
2015-11-27,818
2015-11-30,900.05
2015-12-01,885.1
2015-12-02,874
2015-12-03,859.65
2015-12-04,855
2015-12-07,850
2015-12-08,855
2015-12-09,861.9
2015-12-10,855.5
2015-12-11,838
2015-12-14,830.9
2015-12-15,828.5
2015-12-16,831.95
2015-12-17,875
2015-12-18,844.85
2015-12-21,829
2015-12-22,825
2015-12-23,830.1
2015-12-24,837.5
2015-12-28,842
2015-12-29,890
2015-12-30,863
2015-12-31,849
2016-01-04,831
2016-01-05,822.5
2016-01-06,813.9
2016-01-07,820
2016-01-08,840
2016-01-11,824
2016-01-12,820
2016-01-13,831.3
2016-01-14,807.45
2016-01-15,795.85
2016-01-18,800
2016-01-19,794.9
2016-01-20,800
2016-01-21,808
2016-01-27,807.95
2016-01-28,799
2016-01-29,804
2016-02-01,795
2016-02-02,765
2016-02-03,763.1
2016-02-04,785
2016-02-05,781.8
2016-02-08,780
2016-02-09,762.9
2016-02-10,761.15
2016-02-11,750
2016-02-12,727.25
2016-02-15,733
2016-02-16,752.8
2016-02-17,726
2016-02-18,742.2
2016-02-19,730
2016-02-22,735.5
2016-02-23,724.05
2016-02-24,737
2016-02-25,707
2016-02-26,720
2016-02-29,699.95
2016-03-01,705
2016-03-02,731.75
2016-03-03,745
2016-03-04,769
2016-03-08,826.5
2016-03-09,782
2016-03-10,786
2016-03-11,777.8
2016-03-14,793.75
2016-03-15,778.1
2016-03-16,788
2016-03-17,775
2016-03-18,785
2016-03-21,767
2016-03-22,767
2016-03-23,764
2016-03-31,765
2016-04-01,765
2016-04-04,777.25
2016-04-05,777
2016-04-06,782.5
2016-04-07,766.05
2016-04-08,803
2016-04-11,801
2016-04-12,776.8
2016-04-13,791.3
2016-04-18,799
2016-04-20,800
2016-04-21,802
2016-04-22,806
2016-04-25,800
2016-04-26,790.05
2016-04-27,790
2016-04-28,750
2016-04-29,751.1
2016-05-02,750
2016-05-03,743
2016-05-04,732.5
2016-05-05,727.55
2016-05-06,724
2016-05-09,715
2016-05-10,756.45
2016-05-11,734.85
2016-05-12,742.2
2016-05-13,740.1
2016-05-16,746.25
2016-05-17,740
2016-05-18,740
2016-05-19,741.05
2016-05-20,750
2016-05-23,746.55
2016-05-24,759.9
2016-05-25,767
2016-05-26,785.45
2016-05-27,800
2016-05-30,807.95
2016-06-06,783
2016-06-07,798.9
2016-06-08,808
2016-06-09,816
2016-06-10,808
2016-06-13,795
2016-06-14,782
2016-06-15,814
2016-06-16,805.4
2016-06-17,800
2016-06-20,816.65
2016-06-21,814
2016-06-22,812
2016-06-23,806
2016-06-24,795
2016-06-27,799.9
2016-06-28,808.55
2016-06-29,810.05
2016-06-30,821
2016-07-01,858
2016-07-04,850.05
2016-07-05,843
2016-07-07,843.6
2016-07-08,846.35
2016-07-11,825
2016-07-12,840.15
2016-07-13,826.2
2016-07-14,840.05
2016-07-15,839
2016-07-18,834
2016-07-19,825
2016-07-20,823
2016-07-21,859.85
2016-07-22,868
2016-07-25,860.5
2016-07-26,825.1
2016-07-27,825.1
2016-07-28,820
2016-07-29,819.1
2016-08-01,811.9
2016-08-02,805
2016-08-03,823.75
2016-08-08,870
2016-08-09,871
2016-08-10,867
2016-08-11,852.9
2016-08-12,850
2016-08-16,855
2016-08-17,838
2016-08-18,836.1
2016-08-19,834
2016-08-22,842.8
2016-08-23,832.5
2016-08-24,850
2016-08-25,837
2016-08-26,838.5
2016-08-29,832.4
2016-08-30,833.75
2016-08-31,822.7
2016-09-01,838
2016-09-02,830.15
2016-09-06,838.5
2016-09-07,839
2016-09-08,836
2016-09-09,838
2016-09-12,842.2
2016-09-14,848
2016-09-15,850
2016-09-16,865
2016-09-19,863.95
2016-09-20,864
2016-09-21,860.05
2016-09-22,852.6
2016-09-23,861.9
2016-09-26,860
2016-09-27,860.5
2016-09-28,845.05
2016-09-29,860
2016-09-30,848
2016-10-03,869.9
2016-10-04,893.25
2016-10-05,944.95
2016-10-06,998
2016-10-07,935.7
2016-10-13,893.2
2016-10-14,885
2016-10-17,861
2016-10-18,855
2016-10-19,890
2016-10-20,900
2016-10-21,888
2016-10-24,876.05
2016-10-25,885
2016-10-26,882
2016-10-27,891.35
2016-10-28,896.6
2016-11-01,970
2016-11-02,949.9
2016-11-03,945
2016-11-04,911.6
2016-11-07,889
