date1,close
2015-02-02,141.55
2015-02-03,141.65
2015-02-04,140.3
2015-02-05,138.15
2015-02-06,140.5
2015-02-09,140.3
2015-02-10,140
2015-02-11,139.1
2015-02-12,139.9
2015-02-13,142.15
2015-02-16,145.8
2015-02-18,139.1
2015-02-19,142
2015-02-20,142.35
2015-02-23,137.05
2015-02-24,137.55
2015-02-25,136.25
2015-02-26,137.95
2015-02-27,142.85
2015-02-28,139.1
2015-03-02,138.35
2015-03-09,127.45
2015-03-10,130.2
2015-03-11,128.75
2015-03-12,131.9
2015-03-13,130.45
2015-03-16,129.05
2015-03-17,129.05
2015-03-18,132
2015-03-19,133.1
2015-03-20,131.75
2015-03-23,128.05
2015-03-24,127.2
2015-03-25,124.5
2015-03-26,124.8
2015-03-27,125.9
2015-03-30,130.25
2015-03-31,126.8
2015-04-01,129.2
2015-04-06,128.1
2015-04-07,130.1
2015-04-08,130
2015-04-09,132
2015-04-10,135
2015-04-13,135.05
2015-04-15,135
2015-04-16,134.6
2015-04-17,133.8
2015-04-20,126.4
2015-04-21,127.3
2015-04-22,127.05
2015-04-23,124.5
2015-04-24,128.85
2015-04-27,126.8
2015-04-28,127.6
2015-04-29,127.75
2015-04-30,129.25
2015-05-04,129.5
2015-05-05,136.6
2015-05-06,131.1
2015-05-11,132
2015-05-12,130.3
2015-05-13,132.1
2015-05-14,132.75
2015-05-15,132
2015-05-18,133.5
2015-05-19,132.5
2015-05-20,132.25
2015-05-21,130.9
2015-05-22,129.5
2015-05-25,130.6
2015-05-26,129.65
2015-05-27,132.55
2015-05-28,132
2015-05-29,129.1
2015-06-01,128.3
2015-06-02,126.55
2015-06-03,122.95
2015-06-04,117.4
2015-06-05,120.8
2015-06-08,121.4
2015-06-09,122.9
2015-06-10,120.4
2015-06-11,118
2015-06-12,115.4
2015-06-15,116.3
2015-06-16,118.4
2015-06-17,118.05
2015-06-18,118.35
2015-06-19,120.3
2015-06-22,120.3
2015-06-23,118.4
2015-06-24,117.15
2015-06-25,118.45
2015-06-26,118.05
2015-06-29,118
2015-06-30,118.4
2015-07-01,118.2
2015-07-02,117.65
2015-07-03,118
2015-07-06,115.5
2015-07-07,115.5
2015-07-08,113.1
2015-07-09,113.9
2015-07-10,114.4
2015-07-15,114.95
2015-07-16,113.2
2015-07-17,114
2015-07-20,113.5
2015-07-21,113.35
2015-07-22,114.4
2015-07-23,114.45
2015-07-24,113.3
2015-07-27,110.4
2015-07-28,105.4
2015-07-29,105.35
2015-07-30,102.3
2015-07-31,102.05
2015-08-03,101.35
2015-08-04,101.8
2015-08-05,101.6
2015-08-06,102.6
2015-08-07,104.15
2015-08-10,104.3
2015-08-11,103
2015-08-12,99.8
2015-08-13,97.5
2015-08-14,97.2
2015-08-17,99.05
2015-08-18,95.35
2015-08-19,96
2015-08-20,94.05
2015-08-21,93.2
2015-08-24,93.05
2015-08-25,93
2015-08-26,92.4
2015-08-27,98.35
2015-08-28,100.85
2015-08-31,100.6
2015-09-01,99.75
2015-09-02,100.25
2015-09-03,103
2015-09-04,98.5
2015-09-07,93.9
2015-09-08,95.5
2015-09-09,103.45
2015-09-10,101
2015-09-11,99.8
2015-09-18,104.4
2015-09-21,103.5
2015-09-22,102.8
2015-09-23,98.25
2015-09-24,95
2015-09-28,93.55
2015-09-29,91.3
2015-09-30,92.7
2015-10-01,94.05
2015-10-05,95.4
2015-10-06,95.05
2015-10-07,95.75
2015-10-08,96.2
2015-10-09,96
2015-10-12,99.1
2015-10-13,99.25
2015-10-14,98.35
2015-10-15,100.35
2015-10-16,105
2015-10-19,104.25
2015-10-20,101.3
2015-10-21,101.35
2015-10-23,100.95
2015-10-26,97.6
2015-10-27,98
2015-10-28,100
2015-10-29,102.3
2015-10-30,100.6
2015-11-02,96.15
2015-11-03,94.95
2015-11-04,94.95
2015-11-05,94.1
2015-11-06,92.9
2015-11-09,93.2
2015-11-10,91
2015-11-13,91.2
2015-11-16,91.5
2015-11-17,93.75
2015-11-23,92.45
2015-11-24,91.55
2015-11-26,91.65
2015-11-27,92.9
2015-11-30,95.05
2015-12-01,95.9
2015-12-02,94.45
2015-12-03,92.2
2015-12-04,92
2015-12-07,89.95
2015-12-08,88.1
2015-12-09,87
2015-12-10,88.45
2015-12-11,88.25
2015-12-14,87.9
2015-12-15,89.2
2015-12-16,89.25
2015-12-17,92.25
2015-12-18,90.3
2015-12-21,91
2015-12-22,88.9
2015-12-23,90.15
2015-12-24,91
2015-12-28,91.2
2015-12-29,91.2
2015-12-30,90.15
2015-12-31,90.2
2016-01-04,89.85
2016-01-05,93.35
2016-01-06,90.75
2016-01-07,88
2016-01-08,88.75
2016-01-11,87.75
2016-01-12,89.7
2016-01-13,88.7
2016-01-14,87.5
2016-01-15,85.95
2016-01-18,84.2
