date1,close
2015-02-02,6322
2015-02-03,6275
2015-02-04,6251
2015-02-05,6249
2015-02-06,6290
2015-02-09,6210
2015-02-10,6580.3
2015-02-11,6710.2
2015-02-12,6910
2015-02-13,6870
2015-02-16,7085
2015-02-18,7154
2015-02-19,7149
2015-02-20,7037.95
2015-02-23,6835
2015-02-24,6870
2015-02-25,6950
2015-02-26,6901.25
2015-02-27,7000
2015-02-28,6870
2015-03-02,7040
2015-03-09,6997
2015-03-10,6959.65
2015-03-11,7260
2015-03-12,7270
2015-03-13,7246.9
2015-03-16,7180
2015-03-17,7299.8
2015-03-18,7366
2015-03-19,7370
2015-03-20,7325
2015-03-23,7197
2015-03-24,7250
2015-03-25,7204.9
2015-03-26,7130
2015-03-27,7180.95
2015-03-30,7225
2015-03-31,7211
2015-04-01,7175
2015-04-06,7220
2015-04-07,7161
2015-04-08,7183.5
2015-04-09,7150
2015-04-10,7138
2015-04-13,7112
2015-04-15,7080.55
2015-04-16,7149.95
2015-04-17,7140
2015-04-20,6988
2015-04-21,6952.25
2015-04-22,6782
2015-04-23,6810
2015-04-24,6671.35
2015-04-27,6460
2015-04-28,6680.15
2015-04-29,6690
2015-04-30,6880
2015-05-04,6799.8
2015-05-05,6821
2015-05-06,6690
2015-05-11,6810.25
2015-05-12,6800.05
2015-05-13,6713.3
2015-05-14,6772
2015-05-15,6762
2015-05-18,6710
2015-05-19,6660
2015-05-20,6660
2015-05-21,6625
2015-05-22,6650
2015-05-25,6600
2015-05-26,6519
2015-05-27,6619
2015-05-28,6411
2015-05-29,6400
2015-06-01,6470
2015-06-02,6405.1
2015-06-03,6460
2015-06-04,6302
2015-06-05,6400
2015-06-08,6377
2015-06-09,6350
2015-06-10,6330
2015-06-11,6308.8
2015-06-12,6260
2015-06-15,6335
2015-06-16,6195
2015-06-17,6300
2015-06-18,6400
2015-06-19,6385
2015-06-22,6401.05
2015-06-23,6490
2015-06-24,6400
2015-06-25,6470
2015-06-26,6565
2015-06-29,6500
2015-06-30,6950
2015-07-01,6770
2015-07-02,6669.7
2015-07-03,6603.05
2015-07-06,6560
2015-07-07,6680
2015-07-08,6551
2015-07-09,6509.9
2015-07-10,6388
2015-07-15,6360
2015-07-16,6475
2015-07-17,6440
2015-07-20,6410.05
2015-07-21,6390
2015-07-22,6356.6
2015-07-23,6360
2015-07-24,6300
2015-07-27,6200
2015-07-28,6209
2015-07-29,6225
2015-07-30,6330
2015-07-31,6350
2015-08-03,6201
2015-08-04,6321
2015-08-05,6489
2015-08-06,6470
2015-08-07,6555
2015-08-10,6522.6
2015-08-11,6526
2015-08-12,6480
2015-08-13,6372
2015-08-14,6365
2015-08-17,6300
2015-08-18,6282
2015-08-19,6280
2015-08-20,6260
2015-08-21,6297
2015-08-24,6073
2015-08-25,6039
2015-08-26,5995.1
