date1,close
2015-02-02,542.7
2015-02-03,540
2015-02-04,538.1
2015-02-05,530
2015-02-06,535.05
2015-02-09,544
2015-02-10,547
2015-02-11,575.5
2015-02-12,577
2015-02-13,574.85
2015-02-16,581.45
2015-02-18,579.15
2015-02-19,580.6
2015-02-20,569.95
2015-02-23,563.45
2015-02-24,565.1
2015-02-25,553
2015-02-26,542.05
2015-02-27,556.95
2015-02-28,562
2015-03-02,584.3
2015-03-09,590
2015-03-10,576.35
2015-03-11,578
2015-03-12,578.45
2015-03-13,605
2015-03-16,615.45
2015-03-17,623
2015-03-18,624
2015-03-19,626.95
2015-03-20,617
2015-03-23,608.8
2015-03-24,604
2015-03-25,599.25
2015-03-26,596.3
2015-03-27,598.25
2015-03-30,595.4
2015-03-31,600
2015-04-01,600.35
2015-04-06,588.95
2015-04-07,581.25
2015-04-08,573.5
2015-04-09,594.9
2015-04-10,594.5
2015-04-13,592
2015-04-15,589
2015-04-16,595.05
2015-04-17,595
2015-04-20,586
2015-04-21,576
2015-04-22,582
2015-04-23,571.5
2015-04-24,558
2015-04-27,544
2015-04-28,560.95
2015-04-29,561
2015-04-30,564.7
2015-05-04,576.1
2015-05-05,585
2015-05-06,569.4
2015-05-11,583.7
2015-05-12,588.5
2015-05-13,584.8
2015-05-14,592.75
2015-05-15,591.4
2015-05-18,599
2015-05-19,594
2015-05-20,585
2015-05-21,550
2015-05-22,550.2
2015-05-25,550.85
2015-05-26,547.9
2015-05-27,550
2015-05-28,551.35
2015-05-29,550.05
2015-06-01,554.05
2015-06-02,547
2015-06-03,541.6
2015-06-04,538.4
2015-06-05,542
2015-06-08,532
2015-06-09,538.5
2015-06-10,550
2015-06-11,539
2015-06-12,538.8
2015-06-15,534.5
2015-06-16,526
2015-06-17,532.1
2015-06-18,542.8
2015-06-19,554.1
2015-06-22,549.4
2015-06-23,547.35
2015-06-24,542.15
2015-06-25,557
2015-06-26,564.5
2015-06-29,555.85
2015-06-30,549.45
2015-07-01,554.95
2015-07-02,545
2015-07-03,544.3
2015-07-06,541.95
2015-07-07,573
2015-07-08,560.35
2015-07-09,546.4
2015-07-10,543.65
2015-07-15,551.05
2015-07-16,561.25
2015-07-17,559.3
2015-07-20,560
2015-07-21,546
2015-07-22,545.5
2015-07-23,548.05
2015-07-24,546.7
2015-07-27,538.5
2015-07-28,545
2015-07-29,557.95
2015-07-30,559.9
2015-07-31,558.05
2015-08-03,557
2015-08-04,593
2015-08-05,597.55
2015-08-06,593.1
2015-08-07,594
2015-08-10,595.3
2015-08-11,588.2
2015-08-12,573.5
2015-08-13,572
2015-08-14,577
2015-08-17,582.8
2015-08-18,580
2015-08-19,576.4
2015-08-20,568.6
2015-08-21,567
2015-08-24,548.1
2015-08-25,545.9
2015-08-26,550
2015-08-27,563.1
2015-08-28,565.2
2015-08-31,568.2
2015-09-01,554.05
2015-09-02,558.5
2015-09-03,557.3
2015-09-04,557.45
2015-09-07,554
2015-09-08,549.6
2015-09-09,555.9
2015-09-10,571
2015-09-11,567.5
2015-09-18,558.05
2015-09-21,561.25
2015-09-22,548
2015-09-23,554.65
2015-09-24,554
2015-09-28,553.95
2015-09-29,554.9
2015-09-30,569
2015-10-01,578.3
2015-10-05,577.4
2015-10-06,577.45
2015-10-07,574
2015-10-08,578
2015-10-09,579.1
2015-10-12,573.8
2015-10-13,575.8
2015-10-14,579.9
2015-10-15,579.6
2015-10-16,579.3
2015-10-19,577.15
2015-10-20,579.75
2015-10-21,575.2
2015-10-23,568.8
2015-10-26,571.25
2015-10-27,570
2015-10-28,561.65
2015-10-29,569.1
2015-10-30,565.35
2015-11-02,573.05
2015-11-03,568.5
2015-11-04,559.55
2015-11-05,547.2
2015-11-06,539
2015-11-09,546.45
2015-11-10,531.95
2015-11-13,533.7
2015-11-16,533.65
2015-11-17,537
2015-11-23,541
2015-11-24,543
2015-11-26,538
2015-11-27,548.65
2015-11-30,559.4
2015-12-01,553
2015-12-02,554.4
2015-12-03,551.5
2015-12-04,555
2015-12-07,558.6
2015-12-08,544
2015-12-09,535
2015-12-10,536
2015-12-11,527
2015-12-14,532.85
2015-12-15,537.5
2015-12-16,544.05
2015-12-17,544
2015-12-18,542.75
2015-12-21,542.7
2015-12-22,542
2015-12-23,549
2015-12-24,553.95
2015-12-28,555.25
2015-12-29,549
2015-12-30,551
2015-12-31,553
2016-01-04,559
2016-01-05,567
2016-01-06,562.75
2016-01-07,561
2016-01-08,557.55
2016-01-11,552
2016-01-12,547
2016-01-13,550
2016-01-14,558
2016-01-15,556
2016-01-18,538.1
2016-01-19,539.8
2016-01-20,537.5
2016-01-21,531.65
2016-01-27,564.2
2016-01-28,560
2016-01-29,567.25
2016-02-01,570
2016-02-02,572
2016-02-03,569
2016-02-04,582
2016-02-05,597.5
2016-02-08,598.5
2016-02-09,575.25
2016-02-10,592.9
2016-02-11,582.75
2016-02-12,581.15
2016-02-15,590
2016-02-16,580.6
2016-02-17,602.95
2016-02-18,620.05
2016-02-19,627.9
2016-02-22,636.25
2016-02-23,610.8
2016-02-24,607.15
2016-02-25,599
2016-02-26,581.15
2016-02-29,587
2016-03-01,585
2016-03-02,599.35
2016-03-03,605.8
2016-03-04,598
2016-03-08,594.5
2016-03-09,600
2016-03-10,601.3
2016-03-11,604.25
2016-03-14,599.45
2016-03-15,596.1
2016-03-16,588.7
2016-03-17,595.8
2016-03-18,592.9
2016-03-21,594.9
2016-03-22,595.65
2016-03-23,600.8
2016-03-31,590
2016-04-01,587.15
2016-04-04,586.1
2016-04-05,588
2016-04-06,599
2016-04-07,596
2016-04-08,600.55
2016-04-11,602.5
2016-04-12,604.75
2016-04-13,613
2016-04-18,623
2016-04-20,620.2
2016-04-21,605.65
2016-04-22,599.1
2016-04-25,602
2016-04-26,605.85
2016-04-27,605.25
2016-04-28,600.5
2016-04-29,604
2016-05-02,605.35
2016-05-03,599
2016-05-04,588
2016-05-05,590.45
2016-05-06,593
2016-05-09,598.5
2016-05-10,598.5
2016-05-11,601
2016-05-12,603.5
2016-05-13,605.35
2016-05-16,606.3
2016-05-17,606
2016-05-18,609
2016-05-19,613.5
2016-05-20,655
2016-05-23,650.25
2016-05-24,655.9
2016-05-25,684.2
2016-05-26,681.15
2016-05-27,693
2016-05-30,695
2016-06-06,708.5
2016-06-07,711.7
2016-06-08,707.9
2016-06-09,701
2016-06-10,695.55
2016-06-13,699.65
2016-06-14,691.1
2016-06-15,693.25
2016-06-16,697
2016-06-17,700
2016-06-20,698.65
2016-06-21,691.15
2016-06-22,685.25
2016-06-23,684.35
2016-06-24,692
2016-06-27,707.85
2016-06-28,708
2016-06-29,721.05
2016-06-30,717.8
2016-07-01,719
2016-07-04,718.3
2016-07-05,711.8
2016-07-07,714
2016-07-08,728.15
2016-07-11,722
2016-07-12,720.95
2016-07-13,713.15
2016-07-14,716
2016-07-15,716.2
2016-07-18,712
2016-07-19,726.65
2016-07-20,728.5
2016-07-21,728.5
2016-07-22,730
2016-07-25,734.15
2016-07-26,724.2
2016-07-27,730.5
2016-07-28,757
2016-07-29,728
2016-08-01,733.15
2016-08-02,740.15
2016-08-03,720
2016-08-08,728.5
2016-08-09,722.25
2016-08-10,707.75
2016-08-11,712.5
2016-08-12,711
2016-08-16,710
2016-08-17,707.1
2016-08-18,708.15
2016-08-19,699.7
2016-08-22,706.5
2016-08-23,704
2016-08-24,695
2016-08-25,688.9
2016-08-26,685
2016-08-29,681
2016-08-30,698.2
2016-08-31,698
2016-09-01,698.25
2016-09-02,698.95
2016-09-06,719
2016-09-07,713.65
2016-09-08,715.3
2016-09-09,711.05
2016-09-12,700.55
2016-09-14,705.5
2016-09-15,715
2016-09-16,712
2016-09-19,706.5
2016-09-20,710.05
2016-09-21,709
2016-09-22,705.35
2016-09-23,704
2016-09-26,693.95
2016-09-27,699.6
2016-09-28,688.75
2016-09-29,668.1
2016-09-30,682
2016-10-03,725.5
2016-10-04,740.1
2016-10-05,732
2016-10-06,731
2016-10-07,720
2016-10-13,725
2016-10-14,728.2
2016-10-17,718
2016-10-18,723.45
2016-10-19,717.15
2016-10-20,714.95
2016-10-21,713.1
2016-10-24,712.85
2016-10-25,711.95
2016-10-26,707.9
2016-10-27,715.5
2016-10-28,717.45
2016-11-01,712
2016-11-02,703.5
2016-11-03,688
2016-11-04,694
2016-11-07,692.5
2016-11-08,691.9
2016-11-09,678
2016-11-10,665.05
2016-11-11,665.6
2016-11-15,618
2016-11-16,623
2016-11-17,616.85
2016-11-18,615.05
2016-11-21,605.8
2016-11-22,615
2016-11-23,615.95
2016-11-24,614.05
2016-11-25,626.7
2016-11-28,624.6
2016-11-29,630
2016-11-30,640.05
2016-12-01,641.05
2016-12-02,634.9
2016-12-05,633.65
2016-12-06,636
2016-12-07,641
2016-12-08,645.25
2016-12-09,638.75
2016-12-16,608.95
2016-12-19,600.8
2016-12-20,602.05
2016-12-21,588.8
2016-12-22,594.8
2016-12-23,585.6
2016-12-26,573.9
2016-12-27,582.05
2016-12-28,589
2016-12-29,589
2016-12-30,588.5
2017-01-02,606.8
2017-01-03,607.7
2017-01-04,606.5
2017-01-05,611.1
2017-01-06,613.75
2017-01-09,611.25
2017-01-10,631.8
2017-01-11,631.6
2017-01-12,635
2017-01-13,638.4
2017-01-16,635.75
2017-01-17,625.05
2017-01-18,634.45
2017-01-19,630.1
2017-01-20,625.15
2017-01-23,630
2017-01-24,658
2017-01-25,700.65
2017-01-27,678
