date1,close
2015-02-02,505
2015-02-03,500
2015-02-04,491.05
2015-02-05,505
2015-02-06,496
2015-02-09,499.3
2015-02-10,495
2015-02-11,508
2015-02-12,512
2015-02-13,585
2015-02-16,563.05
2015-02-18,613.9
2015-02-19,619.95
2015-02-20,635
2015-02-23,628
2015-02-24,629
2015-02-25,630
2015-02-26,608.55
2015-02-27,594
2015-02-28,606
2015-03-02,612
2015-03-09,670
2015-03-10,660
2015-03-11,652.9
2015-03-12,658.1
2015-03-13,657
2015-03-16,648
2015-03-17,665.4
2015-03-18,675
2015-03-19,679
2015-03-20,697
2015-03-23,677.8
2015-03-24,659.2
2015-03-25,643
2015-03-26,626.7
2015-03-27,625
2015-03-30,623
2015-03-31,610
2015-04-01,605.1
2015-04-06,632.15
2015-04-07,637.95
2015-04-08,655.9
2015-04-09,700
2015-04-10,699
2015-04-13,708.5
2015-04-15,690.85
2015-04-16,688
2015-04-17,681
2015-04-20,674
2015-04-21,676.2
2015-04-22,665.95
2015-04-23,654
2015-04-24,640
2015-04-27,620.05
2015-04-28,614.85
2015-04-29,634
2015-04-30,654
2015-05-04,650
2015-05-05,658
2015-05-06,650
2015-05-11,671
2015-05-12,664.1
2015-05-13,663.25
2015-05-14,670
2015-05-15,687
2015-05-18,685
2015-05-19,710
2015-05-20,710.9
2015-05-21,699
2015-05-22,713.1
2015-05-25,717.5
2015-05-26,680.5
2015-05-27,684
2015-05-28,679
2015-05-29,679.4
2015-06-01,676
2015-06-02,661
2015-06-03,665
2015-06-04,671
2015-06-05,667
2015-06-08,662.5
2015-06-09,654.35
2015-06-10,648.2
2015-06-11,631.5
2015-06-12,616.2
2015-06-15,607.6
2015-06-16,636.05
2015-06-17,655
2015-06-18,650
2015-06-19,644.5
2015-06-22,649.5
2015-06-23,646.05
2015-06-24,646
2015-06-25,648.15
2015-06-26,648
2015-06-29,636
2015-06-30,643
2015-07-01,658
2015-07-02,663.6
2015-07-03,666
2015-07-06,677.5
2015-07-07,668.35
2015-07-08,641
2015-07-09,634.2
2015-07-10,657
2015-07-15,665
2015-07-16,676
2015-07-17,667.5
2015-07-20,670
2015-07-21,660
2015-07-22,654
2015-07-23,654.9
2015-07-24,650
2015-07-27,648.5
2015-07-28,645.4
2015-07-29,654.95
2015-07-30,655.2
2015-07-31,656
2015-08-03,645
2015-08-04,666
2015-08-05,674.3
2015-08-06,690.25
2015-08-07,719.15
2015-08-10,718.5
2015-08-11,702
2015-08-12,677.5
2015-08-13,684.2
2015-08-14,699
2015-08-17,698
2015-08-18,690.6
2015-08-19,696
2015-08-20,688.05
2015-08-21,695.6
2015-08-24,639.8
2015-08-25,676.7
2015-08-26,679.8
2015-08-27,688.2
2015-08-28,697
2015-08-31,725
2015-09-01,713.5
2015-09-02,715
2015-09-03,701
2015-09-04,670.75
2015-09-07,672
2015-09-08,661.5
2015-09-09,672
2015-09-10,674.65
2015-09-11,661.15
2015-09-18,646.1
2015-09-21,638.1
2015-09-22,636.3
2015-09-23,636.55
2015-09-24,628
2015-09-28,634.55
2015-09-29,636
2015-09-30,637
2015-10-01,633
2015-10-05,644.95
2015-10-06,650
2015-10-07,650.05
2015-10-08,651.7
2015-10-09,660
2015-10-12,682
2015-10-13,678
2015-10-14,682
2015-10-15,688
2015-10-16,669.45
2015-10-19,668
2015-10-20,687.1
2015-10-21,677
2015-10-23,671.5
2015-10-26,681.8
2015-10-27,681.5
2015-10-28,659
2015-10-29,647.2
2015-10-30,667.4
2015-11-02,680
2015-11-03,666.6
2015-11-04,655
2015-11-05,645
2015-11-06,642.15
2015-11-09,634
2015-11-10,621
2015-11-13,619
2015-11-16,633
2015-11-17,635.5
2015-11-23,640.3
2015-11-24,646.5
2015-11-26,642.5
2015-11-27,635.1
2015-11-30,637
2015-12-01,640.5
2015-12-02,642
2015-12-03,642.5
2015-12-04,628
2015-12-07,626.95
2015-12-08,622.7
2015-12-09,625.1
2015-12-10,684
2015-12-11,603
2015-12-14,605
2015-12-15,607
2015-12-16,616.7
2015-12-17,630.9
2015-12-18,634.4
2015-12-21,626.6
2015-12-22,628.2
2015-12-23,625.35
2015-12-24,631.3
2015-12-28,630
2015-12-29,628
2015-12-30,636.3
2015-12-31,650.8
2016-01-04,654.9
2016-01-05,677.85
2016-01-06,682
2016-01-07,686.15
2016-01-08,702
2016-01-11,696.1
2016-01-12,709.8
2016-01-13,678
2016-01-14,688
2016-01-15,658
2016-01-18,615
2016-01-19,616.3
2016-01-20,607
2016-01-21,625.55
2016-01-27,630
2016-01-28,631.05
2016-01-29,643.3
2016-02-01,644
2016-02-02,649
2016-02-03,645.05
2016-02-04,662.5
2016-02-05,671
2016-02-08,676.85
2016-02-09,659.95
2016-02-10,650
2016-02-11,639
2016-02-12,635
2016-02-15,632.45
2016-02-16,569.95
2016-02-17,553.95
2016-02-18,555
2016-02-19,557
2016-02-22,553.5
2016-02-23,545
2016-02-24,533.5
2016-02-25,526
2016-02-26,520.55
2016-02-29,571.7
2016-03-01,567
2016-03-02,573
2016-03-03,588
2016-03-04,589
2016-03-08,588
2016-03-09,583.1
2016-03-10,557.5
2016-03-11,575
2016-03-14,577.55
2016-03-15,580
2016-03-16,569.5
2016-03-17,570.65
2016-03-18,556.7
2016-03-21,577
2016-03-22,578
2016-03-23,578.1
2016-03-31,567.05
2016-04-01,570
2016-04-04,569.95
2016-04-05,558
2016-04-06,554.2
2016-04-07,563.75
2016-04-08,585
2016-04-11,585
2016-04-12,617
2016-04-13,650.3
2016-04-18,656.25
2016-04-20,653.25
2016-04-21,647
2016-04-22,638.55
2016-04-25,624
2016-04-26,644
2016-04-27,633.05
2016-04-28,633.5
2016-04-29,643
2016-05-02,640
2016-05-03,640
2016-05-04,629
2016-05-05,610
2016-05-06,625.5
2016-05-09,625
2016-05-10,622.1
2016-05-11,629
2016-05-12,636
2016-05-13,625
2016-05-16,614
2016-05-17,619.3
2016-05-18,628
2016-05-19,624.35
2016-05-20,630.55
2016-05-23,630
2016-05-24,596
2016-05-25,635.4
2016-05-26,675
2016-05-27,665
2016-05-30,669
2016-06-06,685
2016-06-07,685
2016-06-08,683.85
2016-06-09,683
2016-06-10,679
2016-06-13,685
2016-06-14,679.5
2016-06-15,678.95
2016-06-16,677
2016-06-17,675.05
2016-06-20,675
2016-06-21,685.1
2016-06-22,683.2
2016-06-23,687.85
2016-06-24,706.1
2016-06-27,696
2016-06-28,711.45
2016-06-29,718.8
2016-06-30,722
2016-07-01,719.85
2016-07-04,719.95
2016-07-05,710.95
2016-07-07,710.95
2016-07-08,696.35
2016-07-11,722
2016-07-12,723
2016-07-13,726
2016-07-14,735
2016-07-15,733.95
2016-07-18,730.25
2016-07-19,735
2016-07-20,738.65
2016-07-21,735.1
2016-07-22,741
2016-07-25,738.95
2016-07-26,726.05
2016-07-27,748.85
2016-07-28,765
2016-07-29,756.75
2016-08-01,785
2016-08-02,795
2016-08-03,778
2016-08-08,768
2016-08-09,786.1
2016-08-10,793.6
2016-08-11,800
2016-08-12,796
2016-08-16,797
2016-08-17,791.5
2016-08-18,790
2016-08-19,789
2016-08-22,780
2016-08-23,783.3
2016-08-24,800.15
2016-08-25,811.5
2016-08-26,810
2016-08-29,802.5
2016-08-30,804.85
2016-08-31,811.95
2016-09-01,820
2016-09-02,823
2016-09-06,816
2016-09-07,878
2016-09-08,858
2016-09-09,839
2016-09-12,817.9
2016-09-14,811.95
2016-09-15,804.75
2016-09-16,807.6
2016-09-19,823
2016-09-20,815
2016-09-21,814.6
2016-09-22,821
2016-09-23,860
2016-09-26,837
2016-09-27,833
2016-09-28,814
2016-09-29,815.5
2016-09-30,832.3
2016-10-03,831
2016-10-04,841.5
2016-10-05,826.25
2016-10-06,822.45
2016-10-07,825
2016-10-13,811
2016-10-14,807.95
2016-10-17,792
2016-10-18,786.1
2016-10-19,792
2016-10-20,785.5
2016-10-21,815
2016-10-24,823.4
2016-10-25,831.8
2016-10-26,852.35
2016-10-27,847
2016-10-28,866
2016-11-01,910
2016-11-02,886
2016-11-03,900
2016-11-04,834
