date1,close
2020-03-16,678.95
2020-03-17,737
2020-03-18,687
2020-03-19,690.35
2020-03-20,725.35
2020-03-23,584.1
2020-03-24,619.9
2020-03-25,620
2020-03-26,652.5
2020-03-27,655.3
2020-03-30,618
2020-03-31,618.4
2020-04-01,608.05
2020-04-03,591.45
2020-04-07,585.7
2020-04-08,578.7
2020-04-09,593.15
2020-04-13,505
2020-04-15,505.5
2020-04-16,533.5
2020-04-17,532
2020-04-20,540.95
2020-04-21,525.5
2020-04-22,534.9
2020-04-23,565.55
2020-04-24,555.5
2020-04-27,551.9
2020-04-28,551.15
2020-04-29,581
2020-05-04,568.35
2020-05-05,552.9
2020-05-06,568
2020-05-07,574
2020-05-08,552.95
2020-05-11,548.45
2020-05-12,542
2020-05-13,548
2020-05-14,539.2
2020-05-15,538.95
2020-05-18,531.65
2020-05-19,539
2020-05-20,537.45
2020-05-21,544.4
2020-05-22,510
2020-05-26,500.2
2020-05-27,517.2
2020-05-28,532
2020-05-29,538
2020-06-01,548.3
2020-06-02,570.2
2020-06-03,613
2020-06-04,613.1
2020-06-05,625.5
2020-06-08,617.15
2020-06-09,611.95
2020-06-10,600
2020-06-11,591.5
2020-06-12,589.5
2020-06-15,591.95
2020-06-16,585
2020-06-17,578.8
2020-06-18,584.9
2020-06-19,615.5
2020-06-22,658.3
2020-06-23,681
2020-06-24,668
2020-06-25,654.5
2020-06-26,652
2020-06-29,635.3
2020-06-30,629.3
2020-07-01,650.2
2020-07-02,654.5
2020-07-03,672
2020-07-08,696
2020-07-09,698.6
2020-07-10,700
2020-07-13,699
2020-07-14,691.5
2020-07-15,691.85
2020-07-16,717.95
2020-07-17,753.1
2020-07-20,766
2020-07-21,775.5
2020-07-22,751.45
2020-07-23,744.7
2020-07-24,739.95
2020-07-27,754.8
2020-07-28,752
2020-07-29,745.15
2020-07-30,732
2020-07-31,727
2020-08-03,733.05
2020-08-04,760
2020-08-05,758
2020-08-06,758.5
2020-08-07,755.4
2020-08-10,761
2020-08-11,777.9
2020-08-12,788.4
2020-08-13,792.2
2020-08-14,777.4
2020-08-17,802.8
2020-08-18,824.75
2020-08-19,825
2020-08-20,809.9
2020-08-21,832.9
2020-08-24,835
2020-08-25,830
2020-08-26,824
2020-08-27,821.5
2020-08-28,837
2020-08-31,804
2020-09-01,804.6
2020-09-02,810
2020-09-03,827
2020-09-04,817.8
2020-09-11,849.95
2020-09-14,856.95
2020-09-15,856.8
2020-09-16,852.7
2020-09-17,851.1
2020-09-18,855
2020-09-21,824.4
2020-09-22,813
2020-09-23,821.4
2020-09-24,810
2020-09-25,811.5
2020-09-28,840.65
2020-09-29,845
2020-09-30,845.55
2020-10-01,838
2020-10-05,846.9
2020-10-06,842
2020-10-07,842
2020-10-08,847
2020-10-09,849.5
2020-10-12,846
2020-10-13,855.25
2020-10-14,891
2020-10-15,890.1
2020-10-16,879.9
2020-10-19,883
2020-10-20,897.55
2020-10-21,895
2020-10-22,829
2020-10-23,805
2020-10-26,794.7
2020-10-27,815.15
2020-10-28,809
2020-10-29,812
2020-10-30,798
2020-11-02,809
2020-11-03,814.4
2020-11-04,818
2020-11-05,827.4
2020-11-06,845.1
2020-11-09,837.8
2020-11-10,841.9
2020-11-17,784.2
2020-11-18,814
2020-11-19,806.5
2020-11-20,809
2020-11-23,815.15
2020-11-24,805.9
2020-11-25,807.35
2020-11-26,809.15
2020-11-27,798.7
2020-12-01,799.8
2020-12-02,797
2020-12-03,840.15
2020-12-04,857
2020-12-07,847
2020-12-08,855
2020-12-09,843.4
2020-12-10,830
2020-12-11,820
2020-12-14,815.85
2020-12-15,819.5
2020-12-16,825.2
2020-12-17,841.7
2020-12-18,840.1
2020-12-21,810.25
2020-12-22,821
2020-12-23,825.95
2020-12-24,835.15
2020-12-28,839.9
2020-12-29,841.9
2020-12-30,850.5
2020-12-31,850.9
2021-01-01,852
2021-01-04,888.9
2021-01-05,916.1
2021-01-06,971.1
2021-01-07,973
2021-01-08,960
2021-01-11,965
2021-01-12,958
2021-01-13,975.1
2021-01-14,961.05
2021-01-19,969.5
2021-01-20,997
2021-01-21,980
2021-01-22,1030
2021-01-25,1014
2021-01-27,976.95
2021-01-28,978
2021-01-29,978.9
2021-02-01,1012.8
2021-02-02,1007
2021-02-03,995.95
2021-02-04,984
2021-02-05,984.9
2021-02-08,985.05
2021-02-09,1018.4
2021-02-10,1025.6
2021-02-11,1022.8
2021-02-12,1019.5
2021-02-15,1018.9
2021-02-16,1018.8
2021-02-17,1024
2021-02-18,1074
2021-02-19,1029.8
2021-02-22,1016
2021-02-23,1031
2021-02-25,1113
2021-02-26,1069.3
2021-03-01,1096.1
2021-03-02,1106
2021-03-03,1095.8
2021-03-04,1087.1
2021-03-05,1064.2
2021-03-08,1070
2021-03-09,1053
2021-03-10,1027.55
2021-03-12,1018
2021-03-15,1016
2021-03-16,1021.15
2021-03-17,970.55
2021-03-18,1004
2021-03-19,989.95
2021-03-25,926
2021-03-26,947.55
2021-03-30,943
2021-03-31,931.25
2021-04-01,979
2021-04-05,941.5
2021-04-06,950.3
2021-04-07,981.9
2021-04-08,957
2021-04-09,964
2021-04-12,891
2021-04-13,897.1
2021-04-15,906.05
2021-04-16,966
2021-04-19,943.5
2021-04-20,964.05
2021-04-22,944
2021-04-23,936.75
2021-04-26,920.55
2021-04-27,952.55
2021-04-28,990
2021-04-29,991
2021-04-30,979.95
2021-05-03,978
2021-05-04,949.95
2021-05-05,965.5
2021-05-06,974.95
2021-05-07,980.5
2021-05-10,976.75
2021-05-11,970
2021-05-12,976.9
2021-05-14,969.05
2021-05-17,980
2021-05-18,992.3
2021-05-19,1009.7
2021-05-20,1031
2021-05-21,1070
2021-05-24,1095.2
2021-05-31,1044.05
2021-06-01,1044
2021-06-02,1055
2021-06-03,1051
2021-06-04,1049
2021-06-07,1044.9
2021-06-08,1065.35
2021-06-09,1109
2021-06-10,1103
2021-06-11,1091
2021-06-14,1076.5
2021-06-15,1075.95
2021-06-16,1071
2021-06-17,1049.95
2021-06-18,1007.8
2021-06-21,999.95
2021-06-22,971.5
2021-06-23,933.5
2021-06-24,975
2021-06-25,972.05
2021-06-28,960.4
2021-06-29,972.95
2021-06-30,970.1
2021-07-01,981
2021-07-02,983.5
2021-07-05,988.05
2021-07-06,995.5
2021-07-07,988.05
2021-07-08,990.9
2021-07-09,975
2021-07-12,979.2
2021-07-13,985.75
2021-07-14,980
2021-07-15,977.7
2021-07-16,987.35
2021-07-19,972
2021-07-20,964.95
