date1,close
2017-10-03,713.3
2017-10-04,702.05
2017-10-05,695
2017-10-06,694.1
2017-10-09,695.5
2017-10-10,698
2017-10-11,689
2017-10-12,685
2017-10-13,691.25
2017-10-16,669.75
2017-10-17,671.25
2017-10-18,668
2017-10-23,665.1
2017-10-24,670
2017-10-25,668.05
2017-10-26,665
2017-10-27,663
2017-10-30,655.45
2017-10-31,656.85
2017-11-01,644
2017-11-06,655
2017-11-07,643
2017-11-08,632
2017-11-09,658.6
2017-11-10,674
2017-11-13,664.7
2017-11-14,659.55
2017-11-15,648.5
2017-11-16,649
2017-11-17,655.9
2017-11-20,661.3
2017-11-21,688.5
2017-11-22,693.5
2017-11-23,667
2017-11-24,656
2017-11-27,653
2017-11-28,654
2017-11-29,656
2017-11-30,655.5
2017-12-01,656
2017-12-04,661.2
2017-12-05,659.25
2017-12-06,655
2017-12-07,667.1
2017-12-08,682.6
2017-12-11,671.2
2017-12-12,675.55
2017-12-13,678.9
2017-12-14,680.35
2017-12-15,690
2017-12-18,690
2017-12-19,697.3
2017-12-20,695
2017-12-21,698
2017-12-22,702.5
2017-12-26,700
2017-12-27,699.85
2017-12-28,695.05
2017-12-29,695.25
2018-01-01,700.25
2018-01-02,682.9
2018-01-03,694.6
2018-01-04,700.05
2018-01-05,701
2018-01-10,709.95
2018-01-11,701.5
2018-01-12,701.45
2018-01-15,715
2018-01-16,700.9
2018-01-17,704
2018-01-18,705
2018-01-19,710
2018-01-22,716.55
2018-01-23,715.2
2018-01-24,700.5
2018-01-25,683
2018-01-29,683
2018-01-30,667.95
2018-01-31,660
2018-02-01,708
2018-02-02,710.25
2018-02-05,693.9
2018-02-06,692
2018-02-07,714
2018-02-08,714
2018-02-09,710
2018-02-12,687
2018-02-14,684
2018-02-15,683
2018-02-16,692
2018-02-19,687
2018-02-20,673.75
2018-02-21,675.1
2018-02-22,665.7
2018-02-23,675
2018-02-26,674.85
2018-02-27,689.4
2018-02-28,692
2018-03-01,689.5
2018-03-05,675.8
2018-03-06,652
2018-03-07,654.5
2018-03-08,648
2018-03-09,670
2018-03-16,672.5
2018-03-19,675.1
2018-03-20,688.5
2018-03-21,675
2018-03-22,668.9
2018-03-23,664
2018-03-26,663.15
2018-03-27,668
2018-03-28,681
2018-04-02,682.95
2018-04-03,680.4
2018-04-04,677.1
2018-04-05,675
2018-04-06,679.5
2018-04-09,677.8
2018-04-10,697
2018-04-11,718.5
2018-04-12,715.1
2018-04-13,717.6
2018-04-16,711.45
2018-04-17,720.05
2018-04-18,724
2018-04-19,723.25
2018-04-20,716.5
2018-04-23,721.05
2018-04-24,753
2018-04-25,766.5
2018-04-26,750.65
2018-04-27,754.5
2018-04-30,741
2018-05-02,742
2018-05-03,721
2018-05-04,700.7
2018-05-07,704.2
2018-05-08,702.65
2018-05-09,705.2
2018-05-10,715.95
2018-05-11,697.15
2018-05-14,691
2018-05-15,679.05
2018-05-21,655.85
2018-05-22,662
2018-05-23,675
2018-05-24,674.5
2018-05-25,683.5
2018-05-28,685.5
2018-05-29,694.9
2018-05-30,692.9
2018-05-31,689.4
2018-06-01,674.45
2018-06-04,660.05
2018-06-05,669
2018-06-06,681.15
2018-06-07,692
2018-06-08,692.4
2018-06-11,712.55
2018-06-12,720.2
2018-06-13,701
2018-06-14,689.5
2018-06-15,674.5
2018-06-18,670
2018-06-19,674
2018-06-20,677.7
2018-06-21,675.5
2018-06-22,684.95
2018-06-25,689
2018-06-26,681.55
2018-06-27,679
2018-06-28,674
2018-06-29,675.3
2018-07-02,671
2018-07-03,670
2018-07-04,663.2
2018-07-05,663
2018-07-06,667.5
2018-07-09,664.6
2018-07-10,660.9
2018-07-11,663
2018-07-12,664
2018-07-13,661
2018-07-16,655
2018-07-17,666
2018-07-18,653.9
2018-07-19,631.5
2018-07-24,650
2018-07-25,661
2018-07-26,670
2018-07-27,694.95
2018-07-30,688.4
2018-07-31,689.75
2018-08-01,696.7
2018-08-02,694.95
2018-08-03,688.7
2018-08-06,687.05
2018-08-07,686
2018-08-08,675
2018-08-09,672.8
2018-08-10,650.25
2018-08-13,654.9
2018-08-14,658.85
2018-08-16,647.3
2018-08-17,655
2018-08-20,672
2018-08-21,670.05
2018-08-23,670
2018-08-24,660.5
2018-08-27,660.25
2018-08-28,658
2018-08-29,668.35
2018-08-30,662
2018-08-31,675
2018-09-03,667.85
2018-09-04,667
2018-09-05,672
2018-09-06,680
2018-09-07,685
2018-09-10,673
2018-09-11,673
2018-09-12,670.05
2018-09-14,670.05
2018-09-17,635
