date1,close
2015-02-02,10889
2015-02-03,10989.4
2015-02-04,10125.2
2015-02-05,10980
2015-02-06,11065
2015-02-09,11070
2015-02-10,11000
2015-02-11,11060.1
2015-02-12,11100
2015-02-13,11248
2015-02-16,11100
2015-02-18,10900
2015-02-19,10999.75
2015-02-20,11105
2015-02-23,11100
2015-02-24,11000
2015-02-25,11000
2015-02-26,10950
2015-02-27,11009
2015-02-28,10400
2015-03-02,11450
2015-03-09,11199
2015-03-10,11000
2015-03-11,10655
2015-03-12,10700
2015-03-13,10611
2015-03-16,10748
2015-03-17,10700
2015-03-18,11225
2015-03-19,11000
2015-03-20,11055.6
2015-03-23,10715
2015-03-24,10565.75
2015-03-25,11090
2015-03-26,11000
2015-03-27,10936.15
2015-03-30,10800
2015-03-31,10800
2015-04-01,10850
2015-04-06,10869.95
2015-04-07,10905
2015-04-08,10750
2015-04-09,10995
2015-04-10,10800.05
2015-04-13,10463
2015-04-15,10405
2015-04-16,10450
2015-04-17,10050
2015-04-20,10052
2015-04-21,10025
2015-04-22,10100
2015-04-23,10340
2015-04-24,10000
2015-04-27,9929.95
2015-04-28,10152
2015-04-29,10250
2015-04-30,10200
2015-05-04,10330
2015-05-05,10430
2015-05-06,10330
2015-05-11,10290
2015-05-12,10080
2015-05-13,10951
2015-05-14,11348
2015-05-15,11780
2015-05-18,11820
2015-05-19,11649.95
2015-05-20,11650
2015-05-21,11690
2015-05-22,11640
2015-05-25,11750
2015-05-26,11790.75
2015-05-27,11419.9
2015-05-28,10900
2015-05-29,10950
2015-06-01,11352
2015-06-02,11256.7
2015-06-03,10870
2015-06-04,11279
2015-06-05,11211.55
2015-06-08,10929.85
2015-06-09,10900.5
2015-06-10,10705
2015-06-11,10799.95
2015-06-12,10740
2015-06-15,10470
2015-06-16,10210
2015-06-17,10680
2015-06-18,10711
2015-06-19,10780.55
2015-06-22,11180
2015-06-23,10852.1
2015-06-24,10924.7
2015-06-25,10993
2015-06-26,11200
2015-06-29,11240
2015-06-30,11380
2015-07-01,11450
2015-07-02,11120
2015-07-03,10940.05
2015-07-06,11125
2015-07-07,10940
2015-07-08,11100
2015-07-09,11105.2
2015-07-10,10970
2015-07-15,11295
2015-07-16,11599
2015-07-17,11688.9
2015-07-20,11325
2015-07-21,11260
2015-07-22,10797
2015-07-23,10811
2015-07-24,10960
2015-07-27,10800
2015-07-28,10825
2015-07-29,11072.85
2015-07-30,11100
2015-07-31,11500
2015-08-03,11420
2015-08-04,11475
2015-08-05,11700
2015-08-06,11450.05
2015-08-07,11315
2015-08-10,11305
2015-08-11,11220
2015-08-12,11030.1
2015-08-13,11000
2015-08-14,10900
2015-08-17,10800
2015-08-18,11144.8
2015-08-19,11190
2015-08-20,11010
2015-08-21,11090
2015-08-24,10999.9
2015-08-25,10500
2015-08-26,10270
2015-08-27,10860
2015-08-28,11017
2015-08-31,10705
2015-09-01,10900.25
2015-09-02,10900.05
2015-09-03,10874.95
2015-09-04,10765.5
2015-09-07,10612
2015-09-08,10450
2015-09-09,10600
2015-09-10,11275
2015-09-11,11402
2015-09-18,12050
2015-09-21,11941
2015-09-22,11900
2015-09-23,11423
2015-09-24,11160
2015-09-28,11330
2015-09-29,11080
2015-09-30,11600
2015-10-01,12000
2015-10-05,13000
2015-10-06,12549
2015-10-07,12421.15
2015-10-08,12398
2015-10-09,12432
2015-10-12,12396.1
2015-10-13,12200
2015-10-14,11850
2015-10-15,11850
2015-10-16,11820.05
2015-10-19,12399
2015-10-20,12881
2015-10-21,12716.15
2015-10-23,12580
