date1,close
2015-02-02,3082
2015-02-03,3104.9
2015-02-04,3089.05
2015-02-05,3048.8
2015-02-06,3005
2015-02-09,2970.25
2015-02-10,2981.95
2015-02-11,3004.7
2015-02-12,3091.05
2015-02-13,3107.7
2015-02-16,3079.15
2015-02-18,3113.3
2015-02-19,3078.65
2015-02-20,3019
2015-02-23,2977.9
2015-02-24,2990
2015-02-25,3045
2015-02-26,2979
2015-02-27,3125
2015-02-28,3140
2015-03-02,3377
2015-03-09,3067.85
2015-03-10,3010.65
2015-03-11,2986
2015-03-12,3007
2015-03-13,2944.8
2015-03-16,2909
2015-03-17,2929.9
2015-03-18,2924.05
2015-03-19,2885
2015-03-20,2857.2
2015-03-23,2829.05
2015-03-24,2791.1
2015-03-25,2754
2015-03-26,2817.9
2015-03-27,2802
2015-03-30,2955.9
2015-03-31,2887
2015-04-01,2884.15
2015-04-06,2889.55
2015-04-07,2940
2015-04-08,2990.05
2015-04-09,2970
2015-04-10,2971
2015-04-13,2990.1
2015-04-15,2975
2015-04-16,2885
2015-04-17,2810
2015-04-20,2783.95
2015-04-21,2764
2015-04-22,2789
2015-04-23,2726.7
2015-04-24,2710
2015-04-27,2655.35
2015-04-28,2697.75
2015-04-29,2670
2015-04-30,2680
2015-05-04,2721.45
2015-05-05,2712
2015-05-06,2607
2015-05-11,2823
2015-05-12,2758.35
2015-05-13,2790
2015-05-14,2795.25
2015-05-15,2806
2015-05-18,2900
2015-05-19,2952
2015-05-20,3020.05
2015-05-21,3065
2015-05-22,2979.25
2015-05-25,2939.05
2015-05-26,2910.2
2015-05-27,2886.1
2015-05-28,2933
2015-05-29,2990
2015-06-01,2988
2015-06-02,2910.05
2015-06-03,2858
2015-06-04,2864
2015-06-05,2815
2015-06-08,2830
2015-06-09,2810
2015-06-10,2803
2015-06-11,2714
2015-06-12,2756
2015-06-15,2712.95
2015-06-16,2751
2015-06-17,2790.35
2015-06-18,2789.9
2015-06-19,2799.45
2015-06-22,2799.45
2015-06-23,2896.05
2015-06-24,2846.9
2015-06-25,2875.5
2015-06-26,2915
2015-06-29,2904
2015-06-30,2996.05
2015-07-01,3053.95
2015-07-02,3045
2015-07-03,3074.6
2015-07-06,3105
2015-07-07,3156.15
2015-07-08,3120
2015-07-09,3104.95
2015-07-10,3140
2015-07-15,3204.75
2015-07-16,3180
2015-07-17,3220
2015-07-20,3357.65
2015-07-21,3215.05
2015-07-22,3257.5
2015-07-23,3240.9
2015-07-24,3200
2015-07-27,3122
2015-07-28,3135
2015-07-29,3134
2015-07-30,3190
2015-07-31,3144.35
2015-08-03,3154
2015-08-04,3143.25
2015-08-05,3220
2015-08-06,3221.7
2015-08-07,3197.8
2015-08-10,3165.05
2015-08-11,3168
2015-08-12,3077.95
2015-08-13,3075
2015-08-14,3106
2015-08-17,3075.15
2015-08-18,3124.95
2015-08-19,3167
2015-08-20,3060
2015-08-21,2960
2015-08-24,2840.2
2015-08-25,2890
2015-08-26,2888
2015-08-27,2901
2015-08-28,2947.05
2015-08-31,2882.55
2015-09-01,2822.65
2015-09-02,2895
2015-09-03,3005
2015-09-04,2911.65
2015-09-07,2859
2015-09-08,2881.6
2015-09-09,2985
2015-09-10,2978.15
2015-09-11,2933
2015-09-18,2921
2015-09-21,2903
2015-09-22,2795
2015-09-23,2775
2015-09-24,2826.7
2015-09-28,2717.8
2015-09-29,2695.95
2015-09-30,2679.9
2015-10-01,2775.95
2015-10-05,2815.5
2015-10-06,2768.5
2015-10-07,2745.4
2015-10-08,2816
2015-10-09,2820
2015-10-12,2846
2015-10-13,2900
2015-10-14,2916
2015-10-15,2957.35
2015-10-16,2947.05
2015-10-19,2900
2015-10-20,2921
2015-10-21,2895
2015-10-23,2897.3
2015-10-26,2841.7
2015-10-27,2902
2015-10-28,2897.95
2015-10-29,2928.95
2015-10-30,2906
2015-11-02,2921
2015-11-03,2923.05
2015-11-04,2885.25
2015-11-05,2835.6
2015-11-06,2798.9
2015-11-09,2765
2015-11-10,2703.9
2015-11-13,2686
2015-11-16,2741
2015-11-17,2727.25
2015-11-23,2800
2015-11-24,2778
2015-11-26,2804.05
2015-11-27,2831
2015-11-30,2805.75
2015-12-01,2868.65
2015-12-02,2841.9
2015-12-03,2852
2015-12-04,2864
2015-12-07,2868
2015-12-08,2838
2015-12-09,2785
2015-12-10,2808
2015-12-11,2796.45
2015-12-14,2835.95
2015-12-15,2870
2015-12-16,2860
2015-12-17,2890.5
2015-12-18,2814
2015-12-21,2799.9
2015-12-22,2795
2015-12-23,2810.15
2015-12-24,2808.3
2015-12-28,2813
2015-12-29,2818
2015-12-30,2781
2015-12-31,2774.6
2016-01-04,2750
2016-01-05,2730
2016-01-06,2730
2016-01-07,2674
2016-01-08,2705
2016-01-11,2728
2016-01-12,2670
2016-01-13,2689
2016-01-14,2629.2
2016-01-15,2624.05
2016-01-18,2650
2016-01-19,2642
2016-01-20,2624.95
2016-01-21,2696
2016-01-27,2745.35
2016-01-28,2750
2016-01-29,2836.9
2016-02-01,2809.4
2016-02-02,2790
2016-02-03,2759.75
2016-02-04,2775
2016-02-05,2840.05
2016-02-08,2803.45
2016-02-09,2777
2016-02-10,2818
2016-02-11,2704.7
2016-02-12,2773.65
2016-02-15,2800.55
2016-02-16,2781.65
2016-02-17,2765.4
2016-02-18,2795
2016-02-19,2844.15
2016-02-22,2917
2016-02-23,2811.6
2016-02-24,2809
2016-02-25,2790
2016-02-26,2770
2016-02-29,2770.05
2016-03-01,2883
2016-03-02,2971
2016-03-03,2947
2016-03-04,2915.35
2016-03-08,2950
2016-03-09,2994
2016-03-10,2990.05
2016-03-11,2993
2016-03-14,3009.5
2016-03-15,2987
2016-03-16,2962.85
2016-03-17,3031
2016-03-18,3110
2016-03-21,3226
2016-03-22,3207
2016-03-23,3190.05
2016-03-31,3234.65
2016-04-01,3204
2016-04-04,3163.75
2016-04-05,3100
2016-04-06,3195
2016-04-07,3150
2016-04-08,3165
2016-04-11,3150
2016-04-12,3165
2016-04-13,3260
2016-04-18,3406
2016-04-20,3378
2016-04-21,3249.2
2016-04-22,3275.95
2016-04-25,3288
2016-04-26,3261.5
2016-04-27,3198
2016-04-28,3168
2016-04-29,3156.55
2016-05-02,3166.15
2016-05-03,3214.7
2016-05-04,3175.1
2016-05-05,3118
2016-05-06,3104
2016-05-09,3150
2016-05-10,3183.15
2016-05-11,3193.2
2016-05-12,3216.4
2016-05-13,3145
2016-05-16,3168
2016-05-17,3250
2016-05-18,3220
2016-05-19,3190
2016-05-20,3130
2016-05-23,3130
2016-05-24,3179.95
2016-05-25,3208
2016-05-26,3220
2016-05-27,3242
2016-05-30,3209.65
2016-06-06,3229
2016-06-07,3336.5
2016-06-08,3372
2016-06-09,3377
2016-06-10,3390
2016-06-13,3392
2016-06-14,3318.95
2016-06-15,3361.1
2016-06-16,3288.2
2016-06-17,3286.75
2016-06-20,3369
2016-06-21,3352.3
2016-06-22,3308.05
2016-06-23,3335.65
2016-06-24,3299.95
2016-06-27,3393.6
2016-06-28,3396
2016-06-29,3397.4
2016-06-30,3410.8
2016-07-01,3424
2016-07-04,3405
2016-07-05,3380
2016-07-07,3385
2016-07-08,3396
2016-07-11,3455.95
2016-07-12,3482.75
2016-07-13,3426
2016-07-14,3500
2016-07-15,3520.05
2016-07-18,3500
2016-07-19,3499.55
2016-07-20,3569
2016-07-21,3644.95
2016-07-22,3643
2016-07-25,3665
2016-07-26,3635.4
2016-07-27,3655
2016-07-28,3669.85
2016-07-29,3722
2016-08-01,3759.95
2016-08-02,3697
2016-08-03,3665
2016-08-08,3770
2016-08-09,3807.55
2016-08-10,3727.35
2016-08-11,3708
2016-08-12,3715.8
2016-08-16,3728.15
2016-08-17,3699.05
2016-08-18,3878.9
2016-08-19,3915.25
2016-08-22,3854.1
2016-08-23,3829.8
2016-08-24,3805
2016-08-25,3820
2016-08-26,3800.3
2016-08-29,3799
2016-08-30,3891.4
2016-08-31,4029.35
2016-09-01,4085
2016-09-02,4075.95
2016-09-06,4065.15
2016-09-07,4075
2016-09-08,4109.8
2016-09-09,3975
2016-09-12,3869.05
2016-09-14,3965
2016-09-15,3950
2016-09-16,3928.95
2016-09-19,3996.9
2016-09-20,3978.1
2016-09-21,3957.35
2016-09-22,3971.75
2016-09-23,3962.8
2016-09-26,3930
2016-09-27,3911.5
2016-09-28,3970.1
2016-09-29,3907.75
2016-09-30,3853
2016-10-03,3929
2016-10-04,3948.1
2016-10-05,4030.5
2016-10-06,3962
2016-10-07,3935
2016-10-13,3978.8
2016-10-14,4050
2016-10-17,4006.95
2016-10-18,4006
2016-10-19,4021
2016-10-20,4010
2016-10-21,3986
2016-10-24,3967.8
2016-10-25,4017.4
2016-10-26,3962.3
2016-10-27,3950
2016-10-28,3978.5
2016-11-01,3977.55
2016-11-02,3894.5
2016-11-03,3894
2016-11-04,3854.45
2016-11-07,3910.25
2016-11-08,3940.5
2016-11-09,3798
2016-11-10,3840
2016-11-11,3629
2016-11-15,3375
2016-11-16,3373.75
2016-11-17,3345.95
2016-11-18,3380
